model_label,sample,flow,dimension,metric,outcome,term,coefficient,std_error,t_stat,p_value,ci_low,ci_high,nobs,clusters,r_squared,status,candidate_rows,dropped_rows,dropped_regressors,fixed_effects,se_method,cluster_col,p_value_reference,turning_point_log_income_pc,turning_point_ppp_constant_2021_intl_usd
quadratic_year_fe_country_cluster,rd2_balanced_2000_2024,Exports,product,standard_product_gini,product_gini,log_income_pc,-0.074778688575363,0.05322767344263881,-1.4048836580458246,0.16578250084583804,-0.18149374861894704,0.031936371468221036,1375,55,0.22767697821500688,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",12.444078729948757,253743.3824412368
quadratic_year_fe_country_cluster,rd2_balanced_2000_2024,Exports,product,standard_product_gini,product_gini,log_income_pc_sq,0.003004589178441775,0.002935194670904648,1.023642216383467,0.3105682734575376,-0.0028801218240549135,0.008889300180938463,1375,55,0.22767697821500688,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",12.444078729948757,253743.3824412368
quadratic_controls_year_fe_country_cluster,rd2_balanced_2000_2024,Exports,product,standard_product_gini,product_gini,log_income_pc,-0.012203329112795576,0.03456908364029823,-0.3530128029939962,0.7254531649538347,-0.08151016891487009,0.057103510689278936,1375,55,0.6071954886346718,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",-12.471763168170543,3.833381798828147e-06
quadratic_controls_year_fe_country_cluster,rd2_balanced_2000_2024,Exports,product,standard_product_gini,product_gini,log_income_pc_sq,-0.0004892383277426225,0.0018885558923948155,-0.25905419570200566,0.7965784175152454,-0.0042755649209905,0.0032970882655052555,1375,55,0.6071954886346718,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",-12.471763168170543,3.833381798828147e-06
quadratic_controls_year_fe_country_cluster,rd2_balanced_2000_2024,Exports,product,standard_product_gini,product_gini,log_population,-0.015057047938895524,0.0018819847988304792,-8.000621444048017,9.841841524097694e-11,-0.01883020028275552,-0.01128389559503553,1375,55,0.6071954886346718,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",-12.471763168170543,3.833381798828147e-06
quadratic_controls_year_fe_country_cluster,rd2_balanced_2000_2024,Exports,product,standard_product_gini,product_gini,oil_export_share,0.07728198539727123,0.014673896869411566,5.266629995088025,2.4755739689638414e-06,0.047862593486780416,0.10670137730776204,1375,55,0.6071954886346718,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",-12.471763168170543,3.833381798828147e-06
quadratic_controls_year_fe_two_way_cluster,rd2_balanced_2000_2024,Exports,product,standard_product_gini,product_gini,log_income_pc,-0.012203329112795576,0.03374904840723099,-0.36159031702301037,0.7208221964381669,-0.08185794157679407,0.05745128335120292,1375,25,0.6071954886346718,ok,1375,0,,year,two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=24",-12.471763168170543,3.833381798828147e-06
quadratic_controls_year_fe_two_way_cluster,rd2_balanced_2000_2024,Exports,product,standard_product_gini,product_gini,log_income_pc_sq,-0.0004892383277426225,0.0018452868073808102,-0.2651286107860082,0.7931743152545024,-0.00429772311528704,0.003319246459801795,1375,25,0.6071954886346718,ok,1375,0,,year,two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=24",-12.471763168170543,3.833381798828147e-06
quadratic_controls_year_fe_two_way_cluster,rd2_balanced_2000_2024,Exports,product,standard_product_gini,product_gini,log_population,-0.015057047938895524,0.0018432907539078195,-8.168569123983415,2.1776271740570352e-08,-0.018861413074548104,-0.011252682803242944,1375,25,0.6071954886346718,ok,1375,0,,year,two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=24",-12.471763168170543,3.833381798828147e-06
quadratic_controls_year_fe_two_way_cluster,rd2_balanced_2000_2024,Exports,product,standard_product_gini,product_gini,oil_export_share,0.07728198539727123,0.014607167795313831,5.290689234230902,1.9941319519086178e-05,0.04713427279506386,0.1074296979994786,1375,25,0.6071954886346718,ok,1375,0,,year,two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=24",-12.471763168170543,3.833381798828147e-06
