rich_side_ct,mismatch_decile,rows,exit_rate,median_mismatch,countries
0,0,83047,0.13333413609161077,-1.755619966377953,27
0,1,78147,0.08022060987625884,-0.8238166399098041,28
0,2,40138,0.08002391748467787,-0.3837549718608013,28
0,3,15176,0.09139430680021086,-0.031048110399903628,26
0,4,7607,0.08833968713027475,0.20356830462863762,26
0,5,5040,0.09722222222222222,0.38902319755283443,25
0,6,4266,0.10079699953117674,0.5696226771207931,24
0,7,3965,0.12156368221941992,0.7902274630915134,24
0,8,3599,0.12225618227285356,1.1012427130912794,23
0,9,3392,0.1335495283018868,1.6975111348745626,21
1,0,117,0.10256410256410256,-1.2443364470164315,10
1,1,5016,0.07954545454545454,-0.6476285074900598,29
1,2,43025,0.06661243463102848,-0.2867410357942646,32
1,3,67987,0.043243561269066144,0.0011638988150579621,32
1,4,75557,0.03418611114787511,0.21783528635052463,32
1,5,78123,0.03285844117609411,0.39509242278993106,32
1,6,78897,0.0364399153326489,0.5731403718689272,33
1,7,79198,0.04280411121492967,0.794725900024587,33
1,8,79564,0.05317731637423961,1.1096160422509076,33
1,9,79772,0.07342175199318056,1.7565806190531221,33
