country,iso3,mean_log_population,mean_oil_export_share,mean_gdp_per_capita,mean_population,microstate_lt_1m,major_oil_exporter_ge_30pct,hub_exclusion,imf_2000_ofc,production_core_keep,strict_production_core_keep,exclusion_reasons
Albania,ALB,14.840278743439052,0.07833052894990322,12994.869303387915,2786449.446235557,False,False,False,False,True,True,
Algeria,DZA,17.39837153290246,0.9742527273376058,14054.190695297653,35976321.10413376,False,True,False,False,False,False,mean_oil_export_share_at_least_30pct
Andorra,AND,11.233108664607556,0.0004333284176136879,61317.409196118504,75592.22134466804,True,False,False,True,False,False,mean_population_below_1m
Angola,AGO,17.107298672432336,0.9464872326463404,10132.326495664804,26890904.70741517,False,True,False,False,False,False,mean_oil_export_share_at_least_30pct
Antigua and Barbuda,ATG,11.383702910999522,0.20068824688876244,27139.6934361296,87877.83681656979,True,False,False,True,False,False,mean_population_below_1m
Argentina,ARG,17.550498057370547,0.0941371676119941,25858.249363165083,41887501.941185914,False,False,False,False,True,True,
Armenia,ARM,14.932818839819822,0.033905705223487625,11924.865487055493,3056615.572634023,False,False,False,False,True,True,
Aruba,ABW,11.56993154001156,0.0006938150250027801,36555.23606490124,105866.2241792839,True,False,False,True,False,False,mean_population_below_1m
Australia,AUS,16.935696099925686,0.2861409156021879,53738.879850659985,22650581.88670746,False,False,False,False,True,True,
Austria,AUT,15.958113821753924,0.029410229094068763,60144.86704036583,8521592.732375069,False,False,False,False,True,True,
Azerbaijan,AZE,16.033432570360354,0.8969802558325245,16585.704154448278,9188218.011492498,False,True,False,False,False,False,mean_oil_export_share_at_least_30pct
Bahamas,BHS,12.818181812878803,0.21362226806655318,33637.09235714928,368863.45462688786,True,False,True,True,False,False,mean_population_below_1m;finance_tax_or_reexport_hub
Bahrain,BHR,13.957918870944463,0.4797665308014084,54670.64567747359,1153047.3566348383,False,True,True,True,False,False,mean_oil_export_share_at_least_30pct;finance_tax_or_reexport_hub
Barbados,BRB,12.524165258663347,0.24948074827995403,21436.33576966381,274900.71048271976,True,False,True,True,False,False,mean_population_below_1m;finance_tax_or_reexport_hub
Belarus,BLR,16.07319433391021,0.27544773830585023,21571.14576588515,9560918.271416659,False,False,False,False,True,True,
Belgium,BEL,16.214466862383418,0.09038095187687865,56797.464014962214,11011677.541853549,False,False,False,False,True,True,
Belize,BLZ,12.700821715661734,0.1387761723255868,12058.514065047624,328017.32813861256,True,False,False,True,False,False,mean_population_below_1m
Benin,BEN,16.151627278327076,0.033906666039595745,2965.22310689249,10341001.490758298,False,False,False,False,True,True,
Bermuda,BMU,11.06695667655408,0.005350885722275234,96343.97130000709,64020.37535229539,True,False,True,True,False,False,mean_population_below_1m;finance_tax_or_reexport_hub
Bolivia (Plurinational State of),BOL,16.161619006188786,0.3558407640655451,9783.90575908381,10444843.882007677,False,True,False,False,False,False,mean_oil_export_share_at_least_30pct
Bosnia Herzegovina,BIH,15.102013518643558,0.09386963200747064,14083.319974044709,3620104.7456419985,False,False,False,False,True,True,
Botswana,BWA,14.539285827572442,0.0030099421407239623,15777.109117875909,2062203.9089171304,False,False,False,False,True,True,
Brazil,BRA,19.090557802962095,0.09549652069936954,17164.202222793265,195399707.953256,False,False,False,False,True,True,
Brunei Darussalam,BRN,12.9088961106844,0.8986176541873413,87447.4881542566,403889.3004804973,True,True,False,False,False,False,mean_population_below_1m;mean_oil_export_share_at_least_30pct
