variant,outcome,outcome_label,expected_shape,estimator,income_form,observations,countries,linear_coefficient,linear_p_value,quadratic_coefficient,quadratic_p_value,turning_point_ppp_constant_2021_intl_usd,income_p05,income_p95,turning_point_inside_p05_p95,slope_at_p05,slope_at_p05_standard_error,slope_at_p05_one_sided_p,slope_at_p95,slope_at_p95_standard_error,slope_at_p95_one_sided_p,intersection_union_endpoint_p,observations_above_turning_point,countries_above_turning_point,r_squared
baseline,export_product_gini,Export Product Gini,concentration_u,pooled_year_fe,level_ppp,3240,135,-0.01361606340295152,3.9667315900819385e-08,0.000867049284298318,2.4286057069262003e-05,78519.54698267626,2252.6688962301046,74162.49564974211,False,-0.013225428412104041,0.00239304493474991,1.632378854203997e-08,-0.0007555556479743163,0.0011580600822003184,0.7429387902723796,0.7429387902723796,141,10,0.34202922555173054
baseline,export_product_gini,Export Product Gini,concentration_u,between_country,level_ppp,135,135,-0.01490082629095078,9.9262651191942e-09,0.0010261552255806982,1.3874419418563266e-06,72605.12795478114,2303.747525475423,75706.79682911672,True,-0.014428025778613738,0.002507419679782831,4.354384367903514e-09,0.000636558744684091,0.001155440920048713,0.2908432992001643,0.2908432992001643,9,9,0.45957359506556006
baseline,export_product_gini,Export Product Gini,concentration_u,country_year_fe,level_ppp,3240,135,-0.0015077090333214666,0.6647838649675271,1.6001850109071216e-05,0.9333578506930947,471104.5982322907,2252.6688962301046,74162.49564974211,False,-0.0015004996593168984,0.0033993628123916747,0.3294594945231133,-0.0012703616055011026,0.0013344267843268555,0.8294490970099198,0.8294490970099198,0,0,0.7448533147448729
baseline,export_product_gini,Export Product Gini,concentration_u,pooled_year_fe,log_ppp,3240,135,-0.015583746371780033,0.5778532872683813,1.87099604863801e-05,0.9899334161663847,7.319705072893427e+180,2252.6688962301046,74162.49564974211,False,-0.015294869410224482,0.0055604577318980174,0.0029738636580704343,-0.01516411885965418,0.005888881951977061,0.9949886054738885,0.9949886054738885,0,0,0.34562573990983836
baseline,export_product_gini,Export Product Gini,concentration_u,between_country,log_ppp,135,135,-0.023635918948419272,0.42073527875904326,0.00044298940033835933,0.7751487783869839,385477144827.4425,2303.747525475423,75706.79682911672,False,-0.01677641198249845,0.00579543970390302,0.0018972374651989176,-0.013682280940334496,0.006120943966990763,0.987301892854511,0.987301892854511,0,0,0.4596724343793499
baseline,export_product_gini,Export Product Gini,concentration_u,country_year_fe,log_ppp,3240,135,-0.00034676791535592777,0.991878270166525,-0.0004651346371590502,0.793900377617729,0.6888299839026111,2252.6688962301046,74162.49564974211,False,-0.007528326678911965,0.007991826626465083,0.1730954872442892,-0.010778820443563916,0.008021642049277626,0.9104801147274946,0.9104801147274946,3240,135,0.7454460270408982
baseline,export_product_theil,Export Product Theil,concentration_u,pooled_year_fe,level_ppp,3240,135,-0.6457337733704875,9.55439608017082e-18,0.041272851662068934,1.8890962984017224e-08,78227.42400471658,2252.6688962301046,74162.49564974211,False,-0.6271389595309153,0.07220999975488036,1.8948400267743084e-18,-0.03355423700235982,0.04814432767547761,0.757083268245232,0.757083268245232,142,10,0.6394346061337643
baseline,export_product_theil,Export Product Theil,concentration_u,between_country,level_ppp,135,135,-0.7113797845458701,3.6180555684865553e-14,0.04858365873568678,2.395008948722992e-06,73211.83738096399,2303.747525475423,75706.79682911672,True,-0.688994887827694,0.0894565056459488,6.697127861057925e-15,0.024242851677686028,0.07405579963525022,0.3716980885498057,0.3716980885498057,9,9,0.6925982865273368
baseline,export_product_theil,Export Product Theil,concentration_u,country_year_fe,level_ppp,3240,135,0.07699673022055112,0.3787233376226983,-0.0022636544948444713,0.606762265323928,170071.73664513082,2252.6688962301046,74162.49564974211,False,0.0759768774060816,0.08562043339310761,0.812559737364317,0.04342107689526666,0.03507066449260707,0.10783903110465598,0.812559737364317,1,1,0.947304492757937
baseline,export_product_theil,Export Product Theil,concentration_u,pooled_year_fe,log_ppp,3240,135,-3.2212711515660164,1.725931264774081e-05,0.12829610181995615,0.0010376353049018194,283239.81218074827,2252.6688962301046,74162.49564974211,False,-1.2404124479813858,0.15452957827787683,4.993326556162821e-16,-0.34384262565632895,0.14206769741665806,0.992245572556007,0.992245572556007,0,0,0.7054170259617505
