model_label,sample,flow,dimension,metric,outcome,term,coefficient,std_error,t_stat,p_value,ci_low,ci_high,nobs,clusters,r_squared,status,candidate_rows,dropped_rows,dropped_regressors,fixed_effects,se_method,cluster_col,p_value_reference
baseline_population_year_fe,rd2_countries,Imports,product,gini,product_gini,baseline_log_population,-0.0031469901351103297,0.0019858209859846417,-1.5847300221524945,0.11837358628200402,-0.007120608749776284,0.0008266284795556246,1883,60,0.5278113538805349,ok,1883,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
baseline_population_year_fe,rd2_countries,Imports,product,gini,product_gini,log_gdp_per_capita,-0.013846952506211447,0.0017115384005561157,-8.090354561552504,3.84943132105253e-11,-0.01727173293514482,-0.010422172077278073,1883,60,0.5278113538805349,ok,1883,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
average_population_year_fe,rd2_countries,Imports,product,gini,product_gini,average_log_population,-0.0025059614453124086,0.0018890377552658664,-1.3265809210677821,0.18975932367199383,-0.0062859172626336425,0.0012739943720088257,1883,60,0.520898427836824,ok,1883,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
average_population_year_fe,rd2_countries,Imports,product,gini,product_gini,log_gdp_per_capita,-0.01384396186787896,0.0017257719313878272,-8.021895371044744,5.0246641069455804e-11,-0.017297223526220463,-0.010390700209537456,1883,60,0.520898427836824,ok,1883,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
baseline_population_year_fe,rd2_countries,Imports,partner,gini,partner_gini,baseline_log_population,-0.0018001056024715464,0.0021246648794795192,-0.8472421320921536,0.4002839591025049,-0.00605155020629653,0.0024513390013534376,1883,60,0.16319928218873314,ok,1883,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
baseline_population_year_fe,rd2_countries,Imports,partner,gini,partner_gini,log_gdp_per_capita,0.006973786704014106,0.0018646826532214347,3.7399322034589417,0.0004184549752565343,0.0032425653333166475,0.010705008074711564,1883,60,0.16319928218873314,ok,1883,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
average_population_year_fe,rd2_countries,Imports,partner,gini,partner_gini,average_log_population,-0.001886536182004084,0.002134705170138007,-0.8837455440659848,0.3804206431825943,-0.006158071361031365,0.002384998997023197,1883,60,0.1640531118321341,ok,1883,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
average_population_year_fe,rd2_countries,Imports,partner,gini,partner_gini,log_gdp_per_capita,0.006898587797545156,0.001871570122699441,3.6859894875833157,0.0004972701141578471,0.003153584632255483,0.010643590962834829,1883,60,0.1640531118321341,ok,1883,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
baseline_population_year_fe,rd2_countries,Imports,product,top_1pct_share,product_top_1pct_share,baseline_log_population,-0.004510859317012013,0.0059103265732575495,-0.7632165940579824,0.44837530559874994,-0.01633739547309264,0.007315676839068612,1883,60,0.3258977702849124,ok,1883,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
baseline_population_year_fe,rd2_countries,Imports,product,top_1pct_share,product_top_1pct_share,log_gdp_per_capita,-0.027667879805967736,0.005267216009754403,-5.252846998249047,2.1547131333125416e-06,-0.03820755469687882,-0.01712820491505665,1883,60,0.3258977702849124,ok,1883,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
