period,country,iso3,reporter_code,start_year,end_year,start_source_file,end_source_file,start_active_nonenergy_products,start_total_nonenergy_imports,start_calculated_ex_energy_gini,start_top5_share,start_top5_gini_contribution,start_rank6_50_share,start_rank6_50_gini_contribution,start_rank51_200_share,start_rank51_200_gini_contribution,start_rank201_plus_share,start_rank201_plus_gini_contribution,end_active_nonenergy_products,end_total_nonenergy_imports,end_calculated_ex_energy_gini,end_top5_share,end_top5_gini_contribution,end_rank6_50_share,end_rank6_50_gini_contribution,end_rank51_200_share,end_rank51_200_gini_contribution,end_rank201_plus_share,end_rank201_plus_gini_contribution,delta_calculated_ex_energy_gini,delta_active_nonenergy_products,delta_top5_share,delta_top5_gini_contribution,delta_rank6_50_share,delta_rank6_50_gini_contribution,delta_rank51_200_share,delta_rank51_200_gini_contribution,delta_rank201_plus_share,delta_rank201_plus_gini_contribution,gini_change_direction,main_driver_bucket,main_driver_group,start_panel_ex_energy_gini,end_panel_ex_energy_gini,delta_panel_ex_energy_gini,calculated_vs_panel_delta_gap
balanced_2000_2024,Slovenia,SVN,705,2000,2024,COMTRADE-FINAL-CA7052000H1[2002-09-01].parquet,COMTRADE-FINAL-CA7052024H6[2025-07-15].parquet,4543,8988185410.0,0.805214196987084,0.08492217574314592,0.08483852639656977,0.1896514650335857,0.1877734820476174,0.2363276092009321,0.22449535381608496,0.48909875002233627,0.3081068347268117,5126,69203964631.865,0.907661877381464,0.4205053467473393,0.42020367068742986,0.18401424880171363,0.18260850285642746,0.13342598779699655,0.1275717549788809,0.2620544166539504,0.17727794885872586,0.10244768039438001,583,0.3355831710041934,0.33536514429086006,-0.0056372162318720775,-0.005164979191189939,-0.10290162140393555,-0.09692359883720406,-0.22704433336838586,-0.13082888586808586,increase,top5,top-5 superstar concentration,0.805150541284116,0.906791826715864,0.101641285431748,0.0008063949626320177
balanced_2000_2024,"China, Hong Kong SAR",HKG,344,2000,2024,COMTRADE-FINAL-CA3442000H1[2005-12-19].parquet,COMTRADE-FINAL-CA3442024H6[2025-04-14].parquet,4646,206326412936.0,0.8759691465622135,0.14108016364356185,0.14096067088793915,0.2550711293581426,0.2526294209458426,0.24803641547761668,0.23625401849859323,0.35581229152067884,0.24612503622983858,4525,681597964526.575,0.9663614645656443,0.46226152515398017,0.4618557265907132,0.3394208357966669,0.33676152177718277,0.10612701026675775,0.10126789973407398,0.09219062878259525,0.06647631646367454,0.09039231800343084,-121,0.3211813615104183,0.3208950557027741,0.0843497064385243,0.08413210083134015,-0.14190940521085893,-0.13498611876451927,-0.2636216627380836,-0.17964871976616403,increase,top5,top-5 superstar concentration,0.8735069561887834,0.9663614645656442,0.09285450837686082,-0.0024621903734299844
balanced_2000_2024,Switzerland,CHE,757,2000,2024,COMTRADE-FINAL-CA7572000H1[2022-05-13].parquet,COMTRADE-FINAL-CA7572024H6[2026-03-12].parquet,4671,76424865734.35901,0.8248012360072718,0.11883406199820092,0.11873335024849556,0.2608802729327716,0.2585366189885155,0.20155027120213745,0.19197700144075674,0.4187353938668899,0.2555542653295041,5419,355379013107.5971,0.9145126548724323,0.48112986044648287,0.4809265313992433,0.15056545831478121,0.14936493073793042,0.12565438953540273,0.1205216781076022,0.2426502917033329,0.16369951462765636,0.08971141886516043,748,0.36229579844828197,0.3621931811507477,-0.11031481461799039,-0.10917168825058507,-0.07589588166673472,-0.07145532333315455,-0.176085102163557,-0.09185475070184773,increase,top5,top-5 superstar concentration,0.8248012360072723,0.9145126548724324,0.0897114188651601,3.3306690738754696e-16
balanced_2000_2024,China,CHN,156,2000,2024,COMTRADE-FINAL-CA1562000H1[2005-12-16].parquet,COMTRADE-FINAL-CA1562024H6[2025-07-04].parquet,4661,200257044724.0,0.859342054654812,0.10327478405817803,0.10318774330191799,0.2571171581252701,0.2546581915855923,0.25880964524085265,0.24653586431309799,0.3807984125756992,0.25496025545420353,5047,2078920685843.0,0.9298834872257575,0.2896989510173563,0.28945895606810235,0.30264613267815427,0.3003905998597507,0.1939189267629642,0.18564240915686156,0.21373598954152526,0.154391522141043,0.07054143257094558,386,0.1864241669591783,0.18627121276618436,0.04552897455288418,0.04573240827415842,-0.06489071847788844,-0.060893455156236426,-0.16706242303417393,-0.10056873331316052,increase,top5,top-5 superstar concentration,0.8634143863076986,0.9298834872257572,0.06646910091805858,0.004072331652887007
balanced_2000_2024,Czech Republic,CZE,203,2000,2024,COMTRADE-FINAL-CA2032000H1[2002-09-01].parquet,COMTRADE-FINAL-CA2032024H6[2025-06-04].parquet,4704,28569057625.0,0.804047888864853,0.06394263965505934,0.06388160560677368,0.20172683662329932,0.19972133445781368,0.23944195768690502,0.22804353936933502,0.49488856603473624,0.31240140943093075,5334,216513562778.0,0.867901031957694,0.12632319570688394,0.126229900876348,0.2682996730951332,0.2661617061990326,0.2202631388588733,0.21117996970099848,0.3851139923391095,0.2643294551813148,0.06385314309284096,630,0.062380556051824604,0.06234829526957432,0.06657283647183387,0.06644037174121895,-0.019178818828031713,-0.016863569668336548,-0.10977457369562676,-0.04807195424961597,increase,rank6_50,upper-tier concentration (ranks 6-50),0.806030241595459,0.8679010319576939,0.06187079036223486,0.001982352730606096
balanced_2000_2024,Slovakia,SVK,703,2000,2024,COMTRADE-FINAL-CA7032000H1[2002-10-24].parquet,COMTRADE-FINAL-CA7032024H6[2025-10-01].parquet,4526,10320101218.0,0.8208447714329641,0.10983785023570491,0.1097302743658785,0.2118875813142243,0.20978415307790838,0.22920551029812583,0.21775530924838032,0.4490690581519449,0.28357503474079687,5263,106115462983.847,0.8842484830452926,0.1502290893795059,0.15011742206302045,0.2703693541577467,0.26820445078159416,0.23508822833289036,0.22529316095398355,0.34431332812985693,0.24063344924669436,0.0634037116123285,737,0.040391239143800994,0.040387147697141954,0.058481772843522406,0.058420297703685786,0.005882718034764534,0.007537851705603227,-0.10475573002208799,-0.04294158549410251,increase,rank6_50,upper-tier concentration (ranks 6-50),0.822488222040572,0.8842484830452924,0.06176026100472032,0.0016434506076081767
balanced_2000_2024,Poland,POL,616,2000,2024,COMTRADE-FINAL-CA6162000H1[2002-09-01].parquet,COMTRADE-FINAL-CA6162024H6[2025-03-24].parquet,4237,42812637000.0,0.7758231404341936,0.07918748382632913,0.07910630362272185,0.19526260435674636,0.19313050517001273,0.22355488170467053,0.2116033077795481,0.501995030112254,0.29198302386191094,5310,339100881032.0,0.835931567165925,0.0641261265521394,0.0640771005048105,0.214526081697603,0.2125492839798529,0.2544714264332947,0.2438457822615877,0.4668763653169629,0.3154594004196738,0.060108426731731335,1073,-0.015061357274189738,-0.015029203117911352,0.01926347734085665,0.019418778809840165,0.03091654472862415,0.032242474482039596,-0.03511866479529108,0.023476376557762857,increase,rank51_200,broad upper-tail concentration (ranks 51-200),0.7758231404341938,0.8344648220714237,0.05864168163722994,0.0014667450945013982
balanced_2000_2024,Guyana,GUY,328,2000,2024,COMTRADE-FINAL-CA3282000H1[2003-11-17].parquet,COMTRADE-FINAL-CA3282024H5[2025-03-05].parquet,3410,446308744.0,0.8592921178399066,0.07275666326627023,0.07265845337452971,0.3016065421294995,0.2975603442277191,0.29557854237334863,0.2765587671208486,0.3300582522308817,0.2125145531168093,3616,6097116911.306,0.9097089945824333,0.1896574427458875,0.18945520788207812,0.346069922094381,0.3421589196642446,0.2363187282048308,0.2220786381383552,0.22795390695490078,0.1560162288977554,0.050416876742526706,206,0.11690077947961727,0.11679675450754841,0.04446337996488148,0.04459857543652551,-0.05925981416851783,-0.05448012898249338,-0.10210434527598092,-0.0564983242190539,increase,top5,top-5 superstar concentration,0.8592921178399067,0.909587478144014,0.050295360304107306,0.00012151643841940007
balanced_2000_2024,Denmark,DNK,208,2000,2024,COMTRADE-FINAL-CA2082000H1[2002-09-01].parquet,COMTRADE-FINAL-CA2082024H6[2025-07-01].parquet,4543,38422827298.0,0.7983845499046245,0.08148150298046815,0.08140401119847354,0.21354059534361966,0.21140995888085842,0.21685815076481152,0.20610744828555344,0.4881197509111007,0.2994631315397389,5201,109933068425.04898,0.8446613410068764,0.10899254661329773,0.10891667210448917,0.21551037917152038,0.2135721904749897,0.22755352539388427,0.21771447652804193,0.4479435488212978,0.3044580018993555,0.04627679110225191,658,0.02751104363282958,0.027512660906015632,0.001969783827900723,0.0021622315941312864,0.010695374629072746,0.011607028242488493,-0.04017620208980294,0.004994870359616599,increase,top5,top-5 superstar concentration,0.7985135438374018,0.8436725415223882,0.045158997684986435,0.001117793417265478
balanced_2000_2024,Zimbabwe,ZWE,716,2000,2024,COMTRADE-FINAL-CA7162000H1[2017-10-06].parquet,COMTRADE-FINAL-CA7162024H6[2025-04-09].parquet,4123,1610613196.91,0.8511117256780439,0.09147880354058285,0.09137364867486719,0.28733432703635053,0.2842846157184329,0.24910878893190874,0.23566430644375982,0.37207808049115776,0.23978915484098406,4280,7479588336.645999,0.8961590524221038,0.16802229661967558,0.16788964516224078,0.2649435244465099,0.26202887300367295,0.27156242439350886,0.25790978897447037,0.2954717545403057,0.20833074528171971,0.04504732674405987,157,0.07654349307909272,0.07651599648737359,-0.022390802589840608,-0.02225574271475994,0.02245363546160012,0.022245482530710542,-0.07660632595085204,-0.03145840955926435,increase,top5,top-5 superstar concentration,0.8516527407385621,0.8961590524221044,0.04450631168354224,0.0005410150605176245
