source_file,reporter_code,year,total_imports_cells,active_products,active_partners,actual_partner_gini,counterfactual_partner_gini,partner_gini_reduction,explained_share,counterfactual_residual_share,full_diffusion_partner_gini,full_diffusion_reduction,full_diffusion_explained_share,conservative_total_abs_error,full_diffusion_total_abs_error,conservative_product_total_max_abs_error,country,iso3,exercise1_total_imports,exercise1_partner_gini,exercise1_partner_active_count,exercise4_summary_total_imports,exercise4_summary_import_products,exercise4_country,exercise4_iso3,partner_gini_validation_abs_diff,exercise4_total_abs_diff,exercise1_total_abs_diff
COMTRADE-FINAL-CA3442025H6[2026-05-05].parquet,344,2025,834237279608.6279,4597,190,0.9484231270309287,0.5977377178277574,0.35068540920317126,0.369756281988825,0.630243718011175,0.0,0.9484231270309287,1.0,0.0001220703125,0.0,9.5367431640625e-07,"China, Hong Kong SAR",HKG,831379734777.129,0.948808355391238,190,834237279608.6279,4597,"China, Hong Kong SAR",HKG,0.00038522836030929763,0.0,2857544831.4989014
COMTRADE-FINAL-CA7572025H6[2026-05-14].parquet,757,2025,507688233044.98505,5409,196,0.8811506572198637,0.5600288264737279,0.3211218307461359,0.3644346493019864,0.6355653506980136,0.0,0.8811506572198637,1.0,6.103515625e-05,6.103515625e-05,2.384185791015625e-07,Switzerland,CHE,503049045333.7571,0.8821198248151398,195,507688233044.985,5409,Switzerland,CHE,0.0009691675952760992,6.103515625e-05,4639187711.227966
COMTRADE-FINAL-CA2512024H6[2025-06-20].parquet,251,2024,761699282847.7411,5540,234,0.8891530945028894,0.5970695191826254,0.29208357532026397,0.32849638282321114,0.6715036171767889,0.0,0.8891530945028894,1.0,0.0001220703125,0.0,1.9073486328125e-06,France,FRA,761638572321.487,0.889160950347154,234,761699282847.7411,5540,France,FRA,7.85584426465924e-06,0.0,60710526.25402832
COMTRADE-FINAL-CA7022024H6[2025-10-14].parquet,702,2024,452915359725.97205,5154,226,0.9235131839011903,0.6358855046825027,0.2876276792186876,0.3114494565239058,0.6885505434760942,0.0,0.9235131839011903,1.0,0.0,6.103515625e-05,3.814697265625e-06,Singapore,SGP,450637151077.8419,0.923964830890358,226,452915359725.972,5154,Singapore,SGP,0.00045164698916766444,6.103515625e-05,2278208648.130127
COMTRADE-FINAL-CA1242025H6[2026-04-28].parquet,124,2025,559576005139.3071,5524,220,0.9335065824658031,0.6470963384773711,0.28641024398843196,0.3068111670213359,0.6931888329786642,0.0,0.9335065824658031,1.0,0.0001220703125,0.000244140625,2.384185791015625e-07,Canada,CAN,559576005139.3071,0.9335065824658032,220,559576005139.3069,5524,Canada,CAN,1.1102230246251565e-16,0.000244140625,0.0
COMTRADE-FINAL-CA8422025H6[2026-04-28].parquet,842,2025,3352300931879.0,5484,218,0.9006585597230259,0.6172321442052926,0.2834264155177333,0.31468797188236763,0.6853120281176324,0.0,0.9006585597230259,1.0,0.0,0.0,1.52587890625e-05,United States,USA,3291764068579.0,0.9025416445968852,218,3352300931879.0,5484,United States,USA,0.001883084873859353,0.0,60536863300.0
COMTRADE-FINAL-CA1562024H6[2025-07-04].parquet,156,2024,2575856182234.0,5075,214,0.8594305265161051,0.5862669290369542,0.27316359747915087,0.31784255859107186,0.6821574414089281,0.0,0.8594305265161051,1.0,0.0,0.0,3.814697265625e-06,China,CHN,2575856182234.0,0.8594305265161051,214,2575856182234.0,5075,China,CHN,0.0,0.0,0.0
COMTRADE-FINAL-CA7842023H6[2025-06-16].parquet,784,2023,390834274603.086,5413,231,0.8556100937902567,0.5835733627258597,0.27203673106439696,0.31794474263306644,0.6820552573669336,0.0,0.8556100937902567,1.0,6.103515625e-05,0.0,1.9073486328125e-06,United Arab Emirates,ARE,390834274603.086,0.855610093790256,231,390834274603.086,5413,United Arab Emirates,ARE,6.661338147750939e-16,0.0,0.0
COMTRADE-FINAL-CA5282025H6[2026-05-14].parquet,528,2025,635948048117.2008,5515,227,0.8744725202506927,0.6175123424147044,0.25696017783598823,0.29384591497777796,0.7061540850222221,0.0,0.8744725202506927,1.0,0.0001220703125,0.000244140625,1.9073486328125e-06,Netherlands,NLD,621225749726.011,0.8738802419499367,225,635948048117.201,5515,Netherlands,NLD,0.0005922783007559218,0.000244140625,14722298391.18982
COMTRADE-FINAL-CA2762025H6[2026-05-21].parquet,276,2025,1502697556670.6062,5511,232,0.8838060820326614,0.6460588220732539,0.2377472599594075,0.2690038740315225,0.7309961259684775,0.0,0.8838060820326614,1.0,0.000244140625,0.000244140625,9.5367431640625e-07,Germany,DEU,1502697556670.606,0.8838060820326614,232,1502697556670.606,5511,Germany,DEU,0.0,0.000244140625,0.000244140625
