bin,bin_label,observations,exported_count,score_min,score_max,mean_loo_gini,export_probability,mean_asinh_export_value,export_probability_se,export_probability_ci_low,export_probability_ci_high
1,4pct,222739,208055,-0.00016542199543700953,-8.155141827947965e-05,-8.698427921930248e-05,0.9340753078715447,14.904335005651053,0.0005257955040526307,0.9330447486836015,0.9351058670594878
2,4pct,222739,216998,-8.155141558741086e-05,-7.470473381521181e-05,-7.815952832201287e-05,0.974225438742205,16.811030786831182,0.00033575867370745014,0.9735673517417384,0.9748835257426717
3,4pct,222739,216178,-7.47046572182608e-05,-6.618670177127584e-05,-7.059179435651827e-05,0.9705439999281671,16.447389481002574,0.00035825838835029975,0.9698418134870005,0.9712461863693337
4,4pct,222739,215185,-6.61866644762199e-05,-5.6611715297805176e-05,-6.143888014084904e-05,0.9660858673155577,16.00373517651456,0.00038353066121299254,0.9653341472195802,0.9668375874115351
5,4pct,222739,214283,-5.661171262127951e-05,-4.6992788786948125e-05,-5.177377274394531e-05,0.9620362846201159,15.658550693291513,0.00040493185948983025,0.9612426181755158,0.962829951064716
6,4pct,222739,213633,-4.699278279307606e-05,-3.7881490254187966e-05,-4.2388718319507745e-05,0.9591180709260615,15.360771651823823,0.0004195691947499108,0.9582957153043516,0.9599404265477713
7,4pct,222739,212882,-3.788139874894014e-05,-2.939760343534381e-05,-3.358012311899537e-05,0.9557464117195462,15.080608261550646,0.0004357600888562591,0.954892321945388,0.9566005014937045
8,4pct,222739,212503,-2.9397579184742284e-05,-2.171527744776469e-05,-2.548712224154381e-05,0.9540448686579359,14.830138495082952,0.00044366306287797476,0.9531752890546951,0.9549144482611768
9,4pct,222739,211718,-2.1715270410282983e-05,-1.4800804434278447e-05,-1.8197014432089176e-05,0.950520564427424,14.572351379907476,0.00045951002877144724,0.949619924771032,0.9514212040838161
10,4pct,222739,211171,-1.4800738749487508e-05,-8.610281321708158e-06,-1.1651543373023184e-05,0.948064775364889,14.346577519745136,0.00047016671447474613,0.9471432486045185,0.9489863021252595
11,4pct,222739,210331,-8.610272527409535e-06,-3.126152601673482e-06,-5.814795831559741e-06,0.9442935453602647,14.104024038654181,0.0004859685199035979,0.9433410470612537,0.9452460436592757
12,4pct,222739,209032,-3.1261437674068304e-06,1.7476080897971258e-06,-6.394576497517176e-07,0.9384616075316851,13.828160588966023,0.0005091939043715,0.937463587479117,0.9394596275842532
13,4pct,222738,207891,1.7476341676037066e-06,6.079017353277649e-06,3.963035680106823e-06,0.9333432104086415,13.60006632135348,0.0005285008921905741,0.932307348659948,0.9343790721573351
14,4pct,222739,206722,6.0790394948995186e-06,9.860849873977173e-06,8.01875412325663e-06,0.9280907250189684,13.347934028996837,0.000547380772951799,0.9270178587039829,0.9291635913339539
15,4pct,222739,204846,9.860877523193423e-06,1.3076148333679427e-05,1.1510683456685538e-05,0.9196683113419742,13.055257077785932,0.0005759183637004294,0.9185395113491214,0.9207971113348271
16,4pct,222739,201164,1.3076151142765724e-05,1.5708661775581945e-05,1.444713785576786e-05,0.903137753155038,12.553332036086795,0.0006266948635825602,0.9019094312224162,0.9043660750876598
17,4pct,222739,195638,1.5708667313152347e-05,1.8183811486105483e-05,1.6957990255360117e-05,0.8783284471960456,11.875626313196628,0.0006926675893173683,0.8769708187209836,0.8796860756711077
18,4pct,222739,186827,1.8183821482553597e-05,2.040437363315384e-05,1.931903427490225e-05,0.8387709381832549,11.032381705056338,0.0007791933150721446,0.8372437192857135,0.8402981570807962
19,4pct,222739,177618,2.040439116179904e-05,2.2377192666400703e-05,2.1408131465016952e-05,0.7974265844777969,10.2806943779388,0.0008516054802764254,0.7957574377364551,0.7990957312191387
20,4pct,222739,174640,2.237719319864162e-05,2.423705652554453e-05,2.3306906835070096e-05,0.784056676199498,10.057095126554787,0.0008718574575270243,0.7823478355827451,0.785765516816251
21,4pct,222739,174356,2.4237064674137443e-05,2.610525173363243e-05,2.5158569128794235e-05,0.7827816412931727,9.85677619364403,0.0008737163180338332,0.7810691573098264,0.7844941252765191
22,4pct,222739,172684,2.6105254334440886e-05,2.815129857025589e-05,2.7120596806601783e-05,0.7752750977601588,9.579579857935794,0.0008844135434772665,0.7735416472149433,0.7770085483053742
23,4pct,222739,167139,2.8151302332135586e-05,3.0494670984593242e-05,2.9258502768282854e-05,0.7503804901701094,9.07688093607891,0.0009170265236872943,0.7485831181836824,0.7521778621565365
24,4pct,222739,159581,3.0494674764014462e-05,3.443016506476937e-05,3.2221393443248123e-05,0.7164483992475498,8.426762551761028,0.0009550154053836296,0.7145765690529978,0.7183202294421017
25,4pct,222739,168237,3.443016852555658e-05,0.05146095409779039,0.00026339207611904573,0.7553100265332968,11.453434028594984,0.0009109039369221178,0.7535246548169294,0.7570953982496642
