bin,bin_label,observations,exported_count,score_min,score_max,mean_loo_gini,export_probability,mean_asinh_export_value,export_probability_se,export_probability_ci_low,export_probability_ci_high
1,4pct,4335,4329,-0.01955421384936562,-0.0026746712853127352,-0.004577876167213879,0.9986159169550173,22.62006323860931,0.0005646583638314621,0.9975091865619076,0.999722647348127
2,4pct,4335,4319,-0.002674182659548663,-0.0014085660674565403,-0.0019323383617080967,0.9963091118800461,21.368450416259314,0.0009210176239523761,0.9945039173370994,0.9981143064229928
3,4pct,4335,4325,-0.001408455018034216,-0.000957860770060881,-0.0011479720222935968,0.9976931949250288,20.774804323283064,0.0007286339504528578,0.9962650723821412,0.9991213174679164
4,4pct,4334,4328,-0.0009578133970440383,-0.0007583487269222644,-0.0008479475222182756,0.9986155976003692,20.514167001387833,0.0005647885592548158,0.9975086120242298,0.9997225831765086
5,4pct,4335,4328,-0.0007583412920622035,-0.0006312059094224498,-0.0006921521322162101,0.9983852364475202,20.48105347356695,0.0006098302921886613,0.9971899690748304,0.99958050382021
6,4pct,4335,4331,-0.0006311838419665872,-0.0005136769612834602,-0.0005711052849937286,0.9990772779700116,20.3479104259895,0.0004611481118841387,0.9981734276707186,0.9999811282693045
7,4pct,4335,4326,-0.0005136703483956673,-0.00041333498429785287,-0.0004625759265577542,0.9979238754325259,20.2782312598288,0.0006913227670377835,0.9965688828091319,0.9992788680559199
8,4pct,4334,4319,-0.00041332765973511876,-0.00032558644165026074,-0.00036847740755699366,0.9965389940009229,20.167224626345163,0.0008920801402297827,0.9947905169260726,0.9982874710757733
9,4pct,4335,4326,-0.0003255795553096519,-0.00025031314114465353,-0.00028730551910184036,0.9979238754325259,20.05495990496127,0.0006913227670377835,0.9965688828091319,0.9992788680559199
10,4pct,4335,4320,-0.0002502827000121499,-0.0001819978169512737,-0.0002157384912818609,0.9965397923875432,19.842605853446074,0.0008918747119970207,0.994791717952029,0.9982878668230574
11,4pct,4334,4323,-0.00018199766564674924,-0.0001215564431140681,-0.00015083630340121374,0.9974619289340102,19.620558678383528,0.0007642854641488518,0.9959639294242785,0.9989599284437419
12,4pct,4335,4315,-0.0001215238976040034,-6.928517578486115e-05,-9.497122361273859e-05,0.9953863898500577,19.28674161834556,0.0010292520605894393,0.9933690558113024,0.9974037238888129
13,4pct,4335,4304,-6.927291134939395e-05,-2.1692968978470617e-05,-4.4369848531630364e-05,0.9928489042675894,19.021924927548092,0.0012797741260334573,0.9903405469805638,0.995357261554615
14,4pct,4335,4288,-2.1688353892601597e-05,1.9388119096408474e-05,-8.02562771642734e-07,0.9891580161476355,18.385060546671767,0.0015728694044450534,0.9860751921149232,0.9922408401803479
15,4pct,4334,4287,1.9388216923044155e-05,5.498336108988866e-05,3.727312494810009e-05,0.9891555145362252,17.844270040127935,0.001573230329096684,0.9860719830911957,0.9922390459812547
16,4pct,4335,4248,5.498395915748411e-05,8.988767049333823e-05,7.281106997134169e-05,0.9799307958477509,17.456428703294748,0.002129944207994254,0.9757561052000822,0.9841054864954196
17,4pct,4335,4278,8.989156543148802e-05,0.0001280399396825782,0.00010840868129686819,0.9868512110726644,17.261440052997397,0.0017301117882344405,0.9834601919677248,0.9902422301776039
18,4pct,4334,4266,0.00012804704741431472,0.0001727263701158943,0.00014972370036391678,0.9843101061375173,17.34901747436406,0.0018876936783842303,0.9806102265278842,0.9880099857471505
19,4pct,4335,4274,0.0001727331271035304,0.00023474054278649348,0.00020194259109554947,0.9859284890426759,17.712766818256963,0.0017889513231526036,0.9824221444492969,0.989434833636055
20,4pct,4335,4298,0.00023474249557531301,0.0003337045752709322,0.00028045232372763226,0.9914648212226067,18.554910033838713,0.0013971737414557404,0.9887263606893535,0.9942032817558599
21,4pct,4335,4319,0.00033372539967202464,0.00046957014242754447,0.00039908390867326066,0.9963091118800461,19.061117546720958,0.0009210176239523761,0.9945039173370994,0.9981143064229928
22,4pct,4334,4301,0.000469604919248523,0.0006571751133355175,0.0005549640656938708,0.9923857868020305,18.95880311497422,0.0013204085588154947,0.9897977860267522,0.9949737875773088
23,4pct,4335,4305,0.0006572130365161133,0.0010469197990921053,0.0008134200025068604,0.9930795847750865,19.075087594906417,0.0012591096502788022,0.99061172986054,0.995547439689633
24,4pct,4335,4315,0.0010471632882582682,0.0023315554182288256,0.0016095965317365752,0.9953863898500577,19.971868056240886,0.0010292520605894393,0.9933690558113024,0.9974037238888129
25,4pct,4335,4314,0.0023321196073262662,0.053931986353064065,0.0076483898084298615,0.9951557093425606,21.916093118990343,0.0010545473023031472,0.9930887966300465,0.9972226220550747
