sample,model_label,outcome,term,coef,std_error,t_stat,p_value,ci_low,ci_high,nobs,clusters,r2_within
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_product_loo_gini_sum_z,-0.18176828943394002,0.0659419174080321,-2.7564908115911053,0.005842525418727881,-0.3110144475536829,-0.05252213131419711,108369,33,0.5846265694999822
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_import_value_share_z,0.5053758375756097,0.1334436445314367,3.787185514530466,0.00015236334354103362,0.24382629429399372,0.7669253808572256,108369,33,0.5846265694999822
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_02,1.8000818740166227,0.2524775186045339,7.12967191679417,1.0060844611533207e-12,1.3052259375517363,2.294937810481509,108369,33,0.5846265694999822
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_03,2.0261740049700463,0.607343836718216,3.336123432022432,0.0008495543528352614,0.8357800850023429,3.21656792493775,108369,33,0.5846265694999822
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_04,1.9248846711467178,0.32788204498362983,5.8706620279949195,4.340583303391782e-09,1.2822358629788033,2.5675334793146325,108369,33,0.5846265694999822
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_05,0.13427632830985292,0.4423862678318117,0.3035273426726317,0.761488013247368,-0.7328007566404979,1.0013534132602038,108369,33,0.5846265694999822
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_06,-0.4992497740366726,0.3197000226915033,-1.5616194513643404,0.11837766438026275,-1.125861818512019,0.12736227043867387,108369,33,0.5846265694999822
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_07,1.1536934819208307,0.35179866891004224,3.279414005445937,0.0010402290787810574,0.46416809085714783,1.8432188729845134,108369,33,0.5846265694999822
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_08,1.3161086303796596,0.4199642881445988,3.133858443522006,0.0017252406215561174,0.49297862561624606,2.139238635143073,108369,33,0.5846265694999822
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_09,0.5107498829893353,0.4172053452452001,1.224217016417077,0.22087037159425377,-0.30697259369125685,1.3284723596699275,108369,33,0.5846265694999822
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_10,0.9240442946569678,0.43199539281641,2.139014234926504,0.032434515529090234,0.07733332473680432,1.7707552645771312,108369,33,0.5846265694999822
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_11,0.30421553547364333,0.29126693442788587,1.044456131181493,0.29627440549112577,-0.26666765600501297,0.8750987269522996,108369,33,0.5846265694999822
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_12,1.222455932665641,0.4233977138690011,2.8872520862119435,0.003886227297865779,0.3925964134823988,2.0523154518488833,108369,33,0.5846265694999822
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_13,-1.2884316580156516,0.45551655303476346,-2.828506778583133,0.004676571069671662,-2.181244101963788,-0.3956192140675152,108369,33,0.5846265694999822
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_14,-3.9357105716401968,0.4403264655146588,-8.938164929605335,3.956862139047599e-19,-4.798750444048928,-3.0726706992314656,108369,33,0.5846265694999822
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_15,1.64325026026727,0.4623922317231946,3.5538016158778842,0.0003797055202444645,0.7369614860898086,2.5495390344447317,108369,33,0.5846265694999822
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_16,1.3857915958548281,0.45412017574805646,3.0515966254352422,0.0022762777143123885,0.4957160513886375,2.2758671403210187,108369,33,0.5846265694999822
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_17,1.3115587554276529,0.36749668045323025,3.5688995987939798,0.00035848376243088805,0.5912652617393216,2.031852249115984,108369,33,0.5846265694999822
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_18,1.1011364605840845,0.2909566421429163,3.784537972648215,0.0001539943949897937,0.5308614419839687,1.6714114791842003,108369,33,0.5846265694999822
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_19,1.8236412046735615,0.29703268343669326,6.139530450231532,8.276575850443588e-10,1.2414571451376428,2.40582526420948,108369,33,0.5846265694999822
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_20,1.4689619987028275,0.3206233946713732,4.5815808300840235,4.614741694289193e-06,0.8405401451469361,2.097383852258719,108369,33,0.5846265694999822
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_21,1.9532673926667243,0.32553496675209054,6.000176915416355,1.971026596011483e-09,1.315218857832627,2.5913159275008217,108369,33,0.5846265694999822
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_22,2.2697927874472508,0.3265475714106212,6.950879400640443,3.630161087553787e-12,1.6297595474824331,2.9098260274120684,108369,33,0.5846265694999822
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_23,1.6521641068568171,0.4493172233014134,3.6770549206134118,0.00023594225622643888,0.7715023491860469,2.532825864527587,108369,33,0.5846265694999822
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_24,0.5494619743327172,0.493405497159955,1.1136113754212784,0.265445944188619,-0.4176128001007947,1.516536748766229,108369,33,0.5846265694999822
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_25,1.8133162229226887,0.4523646526847337,4.008527660507644,6.10984833555041e-05,0.9266815036606106,2.699950942184767,108369,33,0.5846265694999822
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_26,0.6115057937897695,0.5385495792385065,1.1354679631435622,0.2561792977112324,-0.4440513815177033,1.6670629690972425,108369,33,0.5846265694999822
