sample,model_label,outcome,term,coef,std_error,t_stat,p_value,ci_low,ci_high,nobs,clusters,r2_within
baseline,product_export_value_gini,asinh_export_value,loo_gini_contribution_z,-4.862415479319776,0.5184574313773389,-9.378620471119948,6.684151668178945e-21,-5.87859204481936,-3.846238913820192,5568474,33,0.1582879274779374
baseline,product_export_value_gini,asinh_export_value,import_value_share_z,5.0585074302834725,0.6983299647955293,7.243720999090453,4.3653898432845695e-13,3.689780699284235,6.42723416128271,5568474,33,0.1582879274779374
baseline,product_export_any_gini,export_any,loo_gini_contribution_z,-0.12948489392118523,0.02129796554278148,-6.079683698477554,1.2041985281851081e-09,-0.17122890638503693,-0.08774088145733352,5568474,33,0.037801424064989764
baseline,product_export_any_gini,export_any,import_value_share_z,0.12954943284678214,0.0240251026281862,5.392253046810922,6.95796884001108e-08,0.08246023169553718,0.1766386339980271,5568474,33,0.037801424064989764
baseline,product_export_value_partner_hhi,asinh_export_value,loo_partner_hhi_contribution_z,0.2344707187214506,0.0892336830605765,2.627603284762768,0.008598873311066586,0.05957269992272066,0.40936873752018055,5568474,33,0.03369689891094685
baseline,product_export_value_partner_hhi,asinh_export_value,import_value_share_z,0.5974443985739895,0.12358924643607455,4.834113127172535,1.3374052005792982e-06,0.35520947555928334,0.8396793215886955,5568474,33,0.03369689891094685
baseline,product_export_value_intermediate_interaction,asinh_export_value,loo_gini_contribution_z,-4.7736759018438875,0.505063619564544,-9.45163285757873,3.3358564234497377e-21,-5.763600596190393,-3.783751207497381,5568474,33,0.15841334422956965
baseline,product_export_value_intermediate_interaction,asinh_export_value,loo_gini_x_intermediate_z,-0.5202643159835681,0.16273201494397196,-3.1970618452840593,0.0013883515623938142,-0.8392190652737532,-0.20130956669338312,5568474,33,0.15841334422956965
baseline,product_export_value_intermediate_interaction,asinh_export_value,import_value_share_z,5.089829721205271,0.7075572179488053,7.193523848093288,6.314011820610939e-13,3.703017574025613,6.47664186838493,5568474,33,0.15841334422956965
,sector_export_share_gini,sector_export_share,sector_loo_gini_contribution_z,-0.0007561200920897017,0.00368230264578963,-0.20533893186489022,0.8373073288216499,-0.007973433277837377,0.0064611930936579725,35946,33,0.34381692396773234
,sector_export_share_gini,sector_export_share,sector_import_value_share_z,0.018831366621070475,0.0064293116355124075,2.928986443440557,0.0034006925376401705,0.006229915815466157,0.031432817426674795,35946,33,0.34381692396773234
,sector_export_share_partner_hhi,sector_export_share,sector_loo_partner_hhi_contribution_z,0.0029361800913584846,0.002084543467075164,1.4085482685943975,0.15896878468543071,-0.0011495251041088368,0.0070218852868258064,35946,33,0.34631592562591706
,sector_export_share_partner_hhi,sector_export_share,sector_import_value_share_z,0.018682908231499935,0.005560059402178297,3.3601993935856918,0.0007788623834787377,0.007785191803230474,0.0295806246597694,35946,33,0.34631592562591706
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_product_loo_gini_sum_z,-0.18176828943394002,0.0659419174080321,-2.7564908115911053,0.005842525418727881,-0.3110144475536829,-0.05252213131419711,108369,33,0.5846265694999822
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_import_value_share_z,0.5053758375756097,0.1334436445314367,3.787185514530466,0.00015236334354103362,0.24382629429399372,0.7669253808572256,108369,33,0.5846265694999822
hs2 chapter,hs2_export_any_gini,hs2_export_any,hs2_product_loo_gini_sum_z,-0.0021361740589965167,0.001911986460534002,-1.1172537583764588,0.2638858409429986,-0.0058836675216431605,0.0016113194036501272,108369,33,0.019216897684330658
hs2 chapter,hs2_export_any_gini,hs2_export_any,hs2_import_value_share_z,0.0028950702654815166,0.002519049158887706,1.149271047477233,0.2504442326511217,-0.0020422660859383875,0.00783240661690142,108369,33,0.019216897684330658
hs2 chapter,hs2_export_share_gini,hs2_export_share,hs2_product_loo_gini_sum_z,0.0026364046500934033,0.0019509864536002635,1.3513187881075748,0.17659333609205163,-0.0011875287989631129,0.0064603380991499195,108369,33,0.4454364969395971
hs2 chapter,hs2_export_share_gini,hs2_export_share,hs2_import_value_share_z,0.009695330567564426,0.0040418176422367825,2.398755071542251,0.016450914393326483,0.0017733679887803333,0.01761729314634852,108369,33,0.4454364969395971
hs2 chapter,hs2_export_value_intermediate_intensity,asinh_hs2_export_value,hs2_product_loo_gini_sum_z,-0.16708449330529007,0.06495085260654933,-2.5724757505098874,0.010097402934548076,-0.29438816441412674,-0.0397808221964534,108369,33,0.5861581919141001
hs2 chapter,hs2_export_value_intermediate_intensity,asinh_hs2_export_value,hs2_product_loo_gini_sum_x_intermediate_share_z,0.04665783726791158,0.03428115453903349,1.3610345945258537,0.17350275717232158,-0.02053322562859406,0.11384890016441723,108369,33,0.5861581919141001
hs2 chapter,hs2_export_value_intermediate_intensity,asinh_hs2_export_value,hs2_import_value_share_z,0.5090713842775254,0.13048812318445335,3.9012852040022086,9.568334012931337e-05,0.25331466283599685,0.764828105719054,108369,33,0.5861581919141001
