country,iso3,reporter_code,base_year,base_year_2,future_year,future_year_2,base_window,future_window,horizon,product_level,active_threshold_usd_2024,persistence_rule,product_definition,product_definition_label,base_value_2024_usd,future_value_2024_usd,net_contribution_2024_usd,positive_expansion_2024_usd,product_count,total_net_growth_2024_usd,total_positive_expansion_2024_usd,positive_expansion_share,net_growth_share,least_traded_base_share_cutoff
Azerbaijan,AZE,31,1996,1997,2001,2002,1996-1997,2001-2002,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,persistent_new_product,Persistent new HS4 products,37310101.021967314,2742104517.1167965,2704794416.0948286,2705948336.252661,81,2401529929.011193,2809542141.59613,0.9631278691962898,1.1262797033757985,0.1
Azerbaijan,AZE,31,1996,1997,2001,2002,1996-1997,2001-2002,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,bottom_10pct_low_base_growth,Low-base product growth (bottom 10% of base-window exports),24840542.07928928,148540777.52389747,123700235.44460821,123700235.44460821,151,2401529929.011193,2809542141.59613,0.04402861007606486,0.05150892934969193,0.1
Azerbaijan,AZE,31,1996,1997,2006,2007,1996-1997,2006-2007,10,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,persistent_new_product,Persistent new HS4 products,29235552.487884507,5650055457.926778,5620819905.438892,5621651994.883835,133,7713225449.055516,7969095905.429166,0.7054315899315416,0.7287249598191327,0.1
Azerbaijan,AZE,31,1996,1997,2006,2007,1996-1997,2006-2007,10,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,bottom_10pct_low_base_growth,Low-base product growth (bottom 10% of base-window exports),48201285.28971064,862185778.7689538,813984493.479243,813984493.479243,213,7713225449.055516,7969095905.429166,0.10214263991034336,0.10553101278517865,0.1
Azerbaijan,AZE,31,1997,1998,2002,2003,1997-1998,2002-2003,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,persistent_new_product,Persistent new HS4 products,13174404.416131113,124646711.30815063,111472306.89201953,112411469.69789585,74,2601427391.0080557,2858848010.662251,0.03932054774463361,0.04285043944617801,0.1
Azerbaijan,AZE,31,1997,1998,2002,2003,1997-1998,2002-2003,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,bottom_10pct_low_base_growth,Low-base product growth (bottom 10% of base-window exports),27271136.270901192,192483797.719163,165212661.4482618,165212661.4482618,190,2601427391.0080557,2858848010.662251,0.05778994225369482,0.06350846539839104,0.1
Azerbaijan,AZE,31,1997,1998,2007,2008,1997-1998,2007-2008,10,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,persistent_new_product,Persistent new HS4 products,11351720.389059843,693618169.1382202,682266448.7491603,683901156.0356507,132,36552941338.174385,36795146044.55041,0.018586722151003415,0.01866515863763416,0.1
Azerbaijan,AZE,31,1997,1998,2007,2008,1997-1998,2007-2008,10,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,bottom_10pct_low_base_growth,Low-base product growth (bottom 10% of base-window exports),54796186.3415804,1149933191.219369,1095137004.8777885,1095137004.8777885,278,36552941338.174385,36795146044.55041,0.029763083520631527,0.029960297715742854,0.1
Azerbaijan,AZE,31,1998,1999,2003,2004,1998-1999,2003-2004,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,persistent_new_product,Persistent new HS4 products,5562307.287793173,133313809.80464096,127751502.51684779,128241024.63975398,69,3541562590.030109,3711843054.714379,0.03454915058352917,0.03607207250169245,0.1
Azerbaijan,AZE,31,1998,1999,2003,2004,1998-1999,2003-2004,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,bottom_10pct_low_base_growth,Low-base product growth (bottom 10% of base-window exports),42912145.75228438,422986622.6053853,380074476.8531009,380074476.8531009,234,3541562590.030109,3711843054.714379,0.10239508277979903,0.10731830009811281,0.1
Azerbaijan,AZE,31,1998,1999,2008,2009,1998-1999,2008-2009,10,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,persistent_new_product,Persistent new HS4 products,10670501.731479246,982681266.4391835,972010764.7077043,973330118.1323216,112,42349912976.676575,42496495125.330475,0.022903773952693763,0.02295189520797885,0.1
Azerbaijan,AZE,31,1998,1999,2008,2009,1998-1999,2008-2009,10,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,bottom_10pct_low_base_growth,Low-base product growth (bottom 10% of base-window exports),51324706.72314665,1403476923.9849823,1352152217.2618356,1352152217.2618356,280,42349912976.676575,42496495125.330475,0.03181797024140636,0.031928099073226156,0.1
Azerbaijan,AZE,31,1999,2000,2004,2005,1999-2000,2004-2005,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,persistent_new_product,Persistent new HS4 products,4726872.122127086,449984162.7838418,445257290.66171473,445419930.05300635,83,3807368267.2237473,3979640464.06146,0.11192466607861074,0.11694621045586089,0.1
Azerbaijan,AZE,31,1999,2000,2004,2005,1999-2000,2004-2005,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,bottom_10pct_low_base_growth,Low-base product growth (bottom 10% of base-window exports),107819047.89606676,873946929.7597148,766127881.8636482,766127881.8636482,270,3807368267.2237473,3979640464.06146,0.19251183336340114,0.20122242664545095,0.1
Azerbaijan,AZE,31,1999,2000,2009,2010,1999-2000,2009-2010,10,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,persistent_new_product,Persistent new HS4 products,5361018.062604646,741009362.6194489,735648344.5568441,735987312.8960857,102,22569600376.963787,22785160836.933506,0.032301168210456095,0.03259465530048558,0.1
Azerbaijan,AZE,31,1999,2000,2009,2010,1999-2000,2009-2010,10,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,bottom_10pct_low_base_growth,Low-base product growth (bottom 10% of base-window exports),94386328.47101165,1316273281.937338,1221886953.4663265,1221886953.4663265,271,22569600376.963787,22785160836.933506,0.053626435301949424,0.05413861712471769,0.1
Azerbaijan,AZE,31,2000,2001,2005,2006,2000-2001,2005-2006,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,persistent_new_product,Persistent new HS4 products,7619319.410729162,438114728.8884496,430495409.4777205,430950020.69756216,98,4561314502.821772,4711359800.886018,0.09147041170927292,0.09437968138601331,0.1
Azerbaijan,AZE,31,2000,2001,2005,2006,2000-2001,2005-2006,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,bottom_10pct_low_base_growth,Low-base product growth (bottom 10% of base-window exports),208044021.48758107,1436235820.1070619,1228191798.6194808,1228191798.6194808,305,4561314502.821772,4711359800.886018,0.2606873281867598,0.26926268685478344,0.1
