channel_type,horizon,channel,channel_label,channel_order,countries,min_country_windows,median_country_windows,max_country_windows,equal_country_median_positive_expansion_share,equal_country_median_net_growth_share,equal_country_median_positive_expansion,equal_country_median_product_count,equal_country_median_partner_count,summary_weighting
combined_partner_first,5,new_reporter_partner_new_product,New reporter partners with net-new HS4 products,1,60,7,25.0,31,6.406020499348849e-06,3.3091623151207117e-06,374720.7843425541,5.75,3.0,equal_country_after_within_country_median
combined_partner_first,5,new_reporter_partner_existing_product,New reporter partners with continuing HS4 products,2,60,7,25.0,31,0.0030006514711823813,0.0036789720656621276,88716055.55440655,239.0,12.5,equal_country_after_within_country_median
combined_partner_first,5,existing_reporter_partner_new_product,Existing reporter partners with net-new HS4 products,3,60,7,25.0,31,0.013560057203216567,0.013017026750392607,283672530.995556,57.0,94.75,equal_country_after_within_country_median
combined_partner_first,5,existing_reporter_partner_existing_product,Existing reporter partners with continuing HS4 products,4,60,7,25.0,31,0.957832113521355,0.9703512606453621,34904151003.2852,850.5,156.5,equal_country_after_within_country_median
combined_partner_first,5,lost_reporter_partner,Lost reporter partners,5,60,7,25.0,31,2.5046497503846188e-05,-0.00041085352474736706,590246.5807111133,204.0,7.0,equal_country_after_within_country_median
combined_partner_first,5,reporter_partner_product_residual,Reporter-partner/product residual cells,6,60,7,25.0,31,0.0021537049507765037,-0.003248344194590959,42624642.78426106,426.5,145.25,equal_country_after_within_country_median
combined_partner_first,10,new_reporter_partner_new_product,New reporter partners with net-new HS4 products,1,60,2,20.0,26,7.787168102137247e-05,0.00011013341958581474,5000839.12609127,21.5,8.0,equal_country_after_within_country_median
combined_partner_first,10,new_reporter_partner_existing_product,New reporter partners with continuing HS4 products,2,60,2,20.0,26,0.009999108257878288,0.020514979448176998,404427849.8325206,392.0,20.0,equal_country_after_within_country_median
combined_partner_first,10,existing_reporter_partner_new_product,Existing reporter partners with net-new HS4 products,3,60,2,20.0,26,0.018624215265034563,0.025706309578565414,948705085.4939126,79.0,112.0,equal_country_after_within_country_median
combined_partner_first,10,existing_reporter_partner_existing_product,Existing reporter partners with continuing HS4 products,4,60,2,20.0,26,0.9281572509406502,0.9526087185468829,49187181464.73461,830.0,150.5,equal_country_after_within_country_median
combined_partner_first,10,lost_reporter_partner,Lost reporter partners,5,60,2,20.0,26,1.1572409290210939e-05,-0.004052420242894285,564577.3770241054,394.0,8.0,equal_country_after_within_country_median
combined_partner_first,10,reporter_partner_product_residual,Reporter-partner/product residual cells,6,60,2,20.0,26,0.0014684142704072829,-0.007707275262704977,48063027.261830755,426.0,148.75,equal_country_after_within_country_median
combined_product_first,5,net_new_product,Net-new HS4 products,1,60,7,25.0,31,0.014284817763871822,0.013550329694758136,308218476.0124959,57.0,103.0,equal_country_after_within_country_median
combined_product_first,5,existing_product_to_new_product_specific_partner,Continuing HS4 products to new product-specific partners,2,60,7,25.0,31,0.1549442608499645,0.1953756959850012,5104696116.954162,692.5,149.5,equal_country_after_within_country_median
combined_product_first,5,existing_product_to_existing_product_specific_partner,Continuing HS4 products to existing product-specific partners,3,60,7,25.0,31,0.7630343794850819,0.8179991798060335,29500703470.574955,727.0,126.0,equal_country_after_within_country_median
combined_product_first,5,existing_product_lost_product_specific_partner,Continuing HS4 products to lost product-specific partners,4,60,7,25.0,31,0.0017838325612116335,-0.06878642333094889,89940054.08998466,633.0,140.0,equal_country_after_within_country_median
combined_product_first,5,existing_product_below_threshold_product_specific_partner_residual,Continuing HS4 products below product-specific partner threshold,5,60,7,25.0,31,0.02934392710554925,0.011687458926774103,1066059842.867202,850.0,216.5,equal_country_after_within_country_median
combined_product_first,5,dying_product_cells,Dying HS4 product cells,6,60,7,25.0,31,0.0002804959531918537,-0.005404511156059448,4587148.62287881,44.25,97.0,equal_country_after_within_country_median
combined_product_first,5,below_threshold_product_residual,Below-threshold product residual cells,7,60,7,25.0,31,0.0006646287006380733,0.00013884046479151516,15108009.426298559,178.0,88.0,equal_country_after_within_country_median
combined_product_first,10,net_new_product,Net-new HS4 products,1,60,2,20.0,26,0.01941941395502028,0.028097512244617956,1069941284.3230182,79.0,126.5,equal_country_after_within_country_median
combined_product_first,10,existing_product_to_new_product_specific_partner,Continuing HS4 products to new product-specific partners,2,60,2,20.0,26,0.2204085318328534,0.3098661472846571,9719203627.550152,716.25,156.5,equal_country_after_within_country_median
combined_product_first,10,existing_product_to_existing_product_specific_partner,Continuing HS4 products to existing product-specific partners,3,60,2,20.0,26,0.7129056166431469,0.7444342647862169,39556966974.5526,690.75,116.25,equal_country_after_within_country_median
combined_product_first,10,existing_product_lost_product_specific_partner,Continuing HS4 products to lost product-specific partners,4,60,2,20.0,26,0.001222410136368992,-0.08406620796758611,90143267.71534082,638.0,138.5,equal_country_after_within_country_median
combined_product_first,10,existing_product_below_threshold_product_specific_partner_residual,Continuing HS4 products below product-specific partner threshold,5,60,2,20.0,26,0.018358727647669774,0.0064703034097046,1116380724.5676055,829.25,218.0,equal_country_after_within_country_median
combined_product_first,10,dying_product_cells,Dying HS4 product cells,6,60,2,20.0,26,0.00022116914307751165,-0.008701743331583972,6205290.408251769,53.5,121.0,equal_country_after_within_country_median
combined_product_first,10,below_threshold_product_residual,Below-threshold product residual cells,7,60,2,20.0,26,0.0003350240336910808,0.00010881185210249197,14902632.308997925,177.25,88.5,equal_country_after_within_country_median
