country,iso3,reporter_code,base_window,future_window,base_year,base_year_2,future_year,future_year_2,horizon,channel_type,channel_type_label,total_positive_expansion_2024_usd,total_net_growth_2024_usd,below_threshold_product_residual_positive_expansion_share,dying_product_cells_positive_expansion_share,existing_product_below_threshold_product_specific_partner_residual_positive_expansion_share,existing_product_lost_product_specific_partner_positive_expansion_share,existing_product_to_existing_product_specific_partner_positive_expansion_share,existing_product_to_new_product_specific_partner_positive_expansion_share,existing_reporter_partner_existing_product_positive_expansion_share,existing_reporter_partner_new_product_positive_expansion_share,lost_reporter_partner_positive_expansion_share,net_new_product_positive_expansion_share,new_reporter_partner_existing_product_positive_expansion_share,new_reporter_partner_new_product_positive_expansion_share,reporter_partner_product_residual_positive_expansion_share,below_threshold_product_residual_net_growth_share,dying_product_cells_net_growth_share,existing_product_below_threshold_product_specific_partner_residual_net_growth_share,existing_product_lost_product_specific_partner_net_growth_share,existing_product_to_existing_product_specific_partner_net_growth_share,existing_product_to_new_product_specific_partner_net_growth_share,existing_reporter_partner_existing_product_net_growth_share,existing_reporter_partner_new_product_net_growth_share,lost_reporter_partner_net_growth_share,net_new_product_net_growth_share,new_reporter_partner_existing_product_net_growth_share,new_reporter_partner_new_product_net_growth_share,reporter_partner_product_residual_net_growth_share
Armenia,ARM,51,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_partner_first,Partner-first: reporter-partner status,9034205727.11962,7835704897.069901,,,,,,,0.8500553684043002,0.13632230763518882,2.0215737052140555e-05,,0.00641974423941897,0.0001627385718321497,0.007019625412207581,,,,,,,0.8532050616406689,0.1567279952526697,-0.002122727485964952,,0.007334693364288428,0.00018548901396254886,-0.015330511785624727
Armenia,ARM,51,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_product_first,Product-first: product-specific partner status,9034205727.11962,7835704897.069901,0.0035398725315069967,0.0031119942025029687,0.009412358830518056,0.00015881770444863672,0.6528800640004342,0.19438164032646885,,,,0.1365152524041202,,,,-0.0014307053304045468,-0.014312015188215553,0.0021024459025690305,-0.04842546195995264,0.6830117840930632,0.2221815134763029,,,,0.1568724390066378,,,
Australia,AUS,36,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_partner_first,Partner-first: reporter-partner status,98274721447.73616,45576129850.85133,,,,,,,0.9822591620559401,0.015847792861645314,9.909288032562288e-06,,0.00014886342698516202,0.0,0.001734272367396923,,,,,,,1.031652179913586,0.033821246722420054,-0.00015320679891359034,,0.0003142652274871602,0.0,-0.06563448506457975
Australia,AUS,36,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_product_first,Product-first: product-specific partner status,98274721447.73616,45576129850.85133,0.0003890918359950239,0.001195365906974636,0.01591731778846502,0.00279500532356911,0.8330094400247021,0.13084598625864857,,,,0.015847792861645314,,,,0.0007792721200325929,-0.06669487025538455,-0.012561761742254665,-0.2962848163254515,1.0617266185438912,0.2792143109367471,,,,0.033821246722420054,,,
Austria,AUT,40,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_partner_first,Partner-first: reporter-partner status,51085220437.536415,7305634199.005589,,,,,,,0.9627136368095632,0.03569897624009981,6.726437623960777e-07,,1.635779263435678e-05,0.0,0.0015703565139399756,,,,,,,0.968810022456757,0.24212596283184182,-3.0082798127553598e-05,,0.00010271855418861827,0.0,-0.2110086210446594
Austria,AUT,40,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_product_first,Product-first: product-specific partner status,51085220437.536415,7305634199.005589,0.0014142583312050467,0.00014471461610610623,0.017356810880146813,0.0023253296460812823,0.8489878603465664,0.09407204993979433,,,,0.03569897624009981,,,,0.009073362332769558,-0.22004296316330899,-0.031359817558946,-0.5068810062441245,0.8692984086049029,0.6377860531968649,,,,0.24212596283184182,,,
Azerbaijan,AZE,31,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_partner_first,Partner-first: reporter-partner status,12431834436.272318,7217722513.515956,,,,,,,0.9457348858237771,0.018345533022682617,1.8100409695853136e-05,,0.03425982726408861,0.0002156619226516545,0.0014259915571042273,,,,,,,0.9332657434094588,0.030378495356505643,-0.014424432145852744,,0.05566536500902346,0.00037013724548699747,-0.005255308874621753
Azerbaijan,AZE,31,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_product_first,Product-first: product-specific partner status,12431834436.272318,7217722513.515956,0.0009344701300335802,0.0001384083610068245,0.03067484320971023,0.00198267747081871,0.27559924768149713,0.6720807315058467,,,,0.018589621641086754,,,,0.0002796571111379535,-0.004892144969276273,0.007199186254763228,-0.30052283327214074,0.14310549587854432,1.1240356624116945,,,,0.030794976585277183,,,
Belgium,BEL,56,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_partner_first,Partner-first: reporter-partner status,103590037370.88857,5646747913.124383,,,,,,,0.9889523066014836,0.010841986917128031,3.146378147162011e-06,,4.1089600865065595e-05,0.0,0.00016147050237602022,,,,,,,1.0527970807902136,0.1988151866698257,-8.497536812138757e-05,,0.0006456276188453004,0.0,-0.2521729197107631
Belgium,BEL,56,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_product_first,Product-first: product-specific partner status,103590037370.88857,5646747913.124383,0.00011715379618751896,2.3521191017301776e-05,0.016206363894041717,0.0010363825432587576,0.9032176987622439,0.06855689289612267,,,,0.010841986917128031,,,,0.0017405726070205778,-0.2541968019011836,0.06896297862259407,-1.1565933031358686,0.9097058689934483,1.2315654981441635,,,,0.1988151866698257,,,
