country,iso3,reporter_code,base_window,future_window,base_year,base_year_2,future_year,future_year_2,horizon,total_positive_expansion_2024_usd,total_net_growth_2024_usd,below_threshold_residual_positive_expansion_share,continuing_product_positive_expansion_share,dying_product_positive_expansion_share,new_product_positive_expansion_share,below_threshold_residual_net_contribution_2024_usd,continuing_product_net_contribution_2024_usd,dying_product_net_contribution_2024_usd,new_product_net_contribution_2024_usd
Armenia,ARM,51,2018-2019,2023-2024,2018,2019,2023,2024,5,8284876408.466859,7835704897.069902,0.0036912682544486923,0.8451420238431524,0.002737207840410116,0.14842950006198882,-11210584.763714917,6729854070.7912445,-112144727.49723941,1229206138.5396113
Australia,AUS,36,2018-2019,2023-2024,2018,2019,2023,2024,5,65481442807.59361,45576129850.85134,0.0005705635496471283,0.9758646697984527,4.225038809795948e-06,0.0235605416130903,35516207.33175365,47038866178.325966,-3039694067.145088,1541441532.338696
Austria,AUT,40,2018-2019,2023-2024,2018,2019,2023,2024,5,30937622609.19243,7305634199.005585,0.0023232390897786775,0.9403916492316565,1.938605644501438e-05,0.05726572562211974,66286666.15825041,7078017215.252274,-1607553396.936397,1768883714.5314596
Azerbaijan,AZE,31,2018-2019,2023-2024,2018,2019,2023,2024,5,10396691885.141157,7217722513.515956,0.00093009749203778,0.9775459077872029,4.308837974443799e-06,0.021519685882785165,2018487.4271252411,7028744575.17021,-35310144.88412918,222269595.80275187
Belgium,BEL,56,2018-2019,2023-2024,2018,2019,2023,2024,5,61003992184.78256,5646747913.124386,0.00019358992070866513,0.9813992786001292,4.086035435973315e-06,0.018403045443726226,9828574.736334916,5949645358.621176,-1435385260.658401,1122659240.425273
Botswana,BWA,72,2017-2018,2022-2023,2017,2018,2022,2023,5,674159811.2640823,-489608647.7443276,0.010614258849941315,0.9383081202076639,0.004263993297708536,0.046813627644686245,-9756395.944680545,-481690162.11721057,-29108034.153354637,30945944.470918015
Brazil,BRA,76,2018-2019,2023-2024,2018,2019,2023,2024,5,78438316051.61186,60859483052.643715,0.0007812725131337979,0.9517390549510001,0.030536637007592335,0.016943035528274013,59613474.29634705,59181303997.26844,289971863.0980678,1328593717.9808583
Burkina Faso,BFA,854,2018-2019,2023-2024,2018,2019,2023,2024,5,1693900982.0224543,1174282145.287382,0.006302935735930963,0.919126752793869,0.00022322421371082223,0.07434708725648932,3096618.977103489,1276437716.8660407,-216566384.1356379,111314193.57987599
Cambodia,KHM,116,2018-2019,2023-2024,2018,2019,2023,2024,5,10794938208.403736,7875909566.487083,0.002437930723456012,0.9216814303434254,8.230561097554e-05,0.07579833332214306,18328085.13214948,7094827155.500076,-54692344.153027475,817446670.007886
Canada,CAN,124,2018-2019,2023-2024,2018,2019,2023,2024,5,76185889728.65451,30162384469.586327,6.119418978497958e-06,0.955321983396245,4.02006546674622e-06,0.0446678771193098,-1793465.9168466937,30829830937.89967,-4064959325.5553946,3399306323.1589017
