country,iso3,reporter_code,base_window,future_window,base_year,base_year_2,future_year,future_year_2,horizon,channel_type,channel_type_label,total_positive_expansion_2024_usd,total_net_growth_2024_usd,below_threshold_product_residual_positive_expansion_share,dying_product_cells_positive_expansion_share,existing_product_below_threshold_product_specific_partner_residual_positive_expansion_share,existing_product_lost_product_specific_partner_positive_expansion_share,existing_product_to_existing_product_specific_partner_positive_expansion_share,existing_product_to_new_product_specific_partner_positive_expansion_share,existing_reporter_partner_existing_product_positive_expansion_share,existing_reporter_partner_new_product_positive_expansion_share,lost_reporter_partner_positive_expansion_share,net_new_product_positive_expansion_share,new_reporter_partner_existing_product_positive_expansion_share,new_reporter_partner_new_product_positive_expansion_share,reporter_partner_product_residual_positive_expansion_share,below_threshold_product_residual_net_growth_share,dying_product_cells_net_growth_share,existing_product_below_threshold_product_specific_partner_residual_net_growth_share,existing_product_lost_product_specific_partner_net_growth_share,existing_product_to_existing_product_specific_partner_net_growth_share,existing_product_to_new_product_specific_partner_net_growth_share,existing_reporter_partner_existing_product_net_growth_share,existing_reporter_partner_new_product_net_growth_share,lost_reporter_partner_net_growth_share,net_new_product_net_growth_share,new_reporter_partner_existing_product_net_growth_share,new_reporter_partner_new_product_net_growth_share,reporter_partner_product_residual_net_growth_share
Armenia,ARM,51,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_partner_first,Partner-first: reporter-partner status,9179272943.248228,7835704897.069902,,,,,,,0.721190694354932,0.2482912806222752,1.989625197807496e-05,,0.005878712361575331,0.0004288265921585301,0.024190589817080704,,,,,,,0.7238346754811105,0.2901437125783087,-0.002122727485964952,,0.006862080673851283,0.000493511825102402,-0.01921125307240794
Armenia,ARM,51,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_product_first,Product-first: product-specific partner status,9179272943.248228,7835704897.069902,0.019302960065606847,0.004528546873550841,0.012220289762679361,8.63699698176593e-05,0.26042837310911016,0.4546415810660563,,,,0.24879187915317863,,,,0.012899006683125453,-0.032733702660533395,0.00679518897723714,-0.04818677598968023,0.23825117168747403,0.5323125296396338,,,,0.2906625816627431,,,
Australia,AUS,36,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_partner_first,Partner-first: reporter-partner status,110815862793.32565,45576129850.85133,,,,,,,0.8923174884037525,0.10408045505729724,9.697034441498563e-06,,0.00012765899983213457,4.535408154967874e-06,0.0034601650965219773,,,,,,,1.075618525721408,0.25246659311450176,-0.0001532067989135903,,0.0003046432216522821,1.102759645141879e-05,-0.32824758285509975
Australia,AUS,36,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_product_first,Product-first: product-specific partner status,110815862793.32565,45576129850.85133,0.002016382951918751,0.0013102792390488399,0.018471486842693913,0.0025535274728486655,0.6910064310903985,0.18055469390809178,,,,0.10408719849499971,,,,0.0036280046143911827,-0.33220014089970723,-0.01143265169734759,-0.32455325830754994,0.9798943178170364,0.43218075458404764,,,,0.2524829738891299,,,
Austria,AUT,40,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_partner_first,Partner-first: reporter-partner status,92211016576.52141,7305634199.005587,,,,,,,0.43876499492457155,0.5586028655951111,5.272752050539979e-07,,7.6103601197448646e-06,1.5235362018702745e-06,0.0026224783087908116,,,,,,,-0.005243561664135479,7.031855842760424,-3.0082798127553605e-05,,8.451286650490009e-05,1.9229928318162008e-05,-6.0266859410929845
Austria,AUT,40,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_product_first,Product-first: product-specific partner status,92211016576.52141,7305634199.005587,0.0023630636551503197,0.0002529269144951288,0.017368262456276762,0.0019343112592086,0.3339538494753731,0.08552052792723583,,,,0.5586070583122604,,,,0.020950316590997966,-6.047630835629562,-0.043999767530051595,-0.6715840124267706,-0.34011210477248666,1.0504676409323357,,,,7.031908762835538,,,
Azerbaijan,AZE,31,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_partner_first,Partner-first: reporter-partner status,12514126614.056091,7217722513.515957,,,,,,,0.9197796355623454,0.04184688540296419,1.9055757652277952e-05,,0.03388183359833711,0.0003483384920180329,0.004124251186682871,,,,,,,0.9032517882908682,0.07010375947546671,-0.01442443214585275,,0.05542206423142093,0.0006029609014370296,-0.014956140753339947
Azerbaijan,AZE,31,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_product_first,Product-first: product-specific partner status,12514126614.056091,7217722513.515957,0.003578318776679615,0.0002516145503122147,0.03134317482569705,0.0007673948601641828,0.26435738487464333,0.6574545395458502,,,,0.04224757256665329,,,,0.0018183086413372978,-0.01630677518982911,0.010889554294634195,-0.2994478391447031,0.12567808841794872,1.1065743603788678,,,,0.07079430260174419,,,
Belgium,BEL,56,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_partner_first,Partner-first: reporter-partner status,178768073296.36295,5646747913.124397,,,,,,,0.45855366434056816,0.5410802621207222,3.2552833881232516e-06,,2.3113794295542066e-05,8.278737150841246e-07,0.00033887658731059057,,,,,,,-2.128995254142655,17.07683443141039,-8.49753681213874e-05,,0.0006235857607175022,2.620931397243883e-05,-13.948403996974305
Belgium,BEL,56,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_product_first,Product-first: product-specific partner status,178768073296.36295,5646747913.124397,0.0002464541890399573,8.011944003601665e-05,0.016718977010968205,0.001212089294637057,0.38844590005270857,0.052205799468465416,,,,0.5410906605441447,,,,-0.00861171820673745,-13.94017089908537,0.042158530032502604,-1.6635355893325159,-2.13075065092028,1.6237466966850822,,,,17.077163630827314,,,
