channel_type,horizon,channel,channel_label,channel_order,countries,country_windows,positive_expansion_2024_usd,net_contribution_2024_usd,contraction_2024_usd,total_positive_expansion_2024_usd,total_net_growth_2024_usd,total_contraction_2024_usd,within_positive_expansion_2024_usd,within_net_growth_2024_usd,median_positive_expansion_share,median_net_growth_share,median_product_count,median_partner_count,pooled_positive_expansion_share,pooled_net_growth_share,pooled_within_positive_expansion_share,pooled_within_net_growth_share
combined_partner_first,5,new_reporter_partner_new_product,New reporter partners with net-new LT/HGL HS1992 products,1,60,1500,77569102799.99785,74747535065.99597,2821567734.0018754,153248707415552.06,58781186732146.24,94467520683405.83,153248707415552.06,58781186732146.24,5.444597316676469e-05,2.5043184754871796e-05,24.0,6.0,0.0005061648095318678,0.0012716234431707732,0.0005061648095318678,0.0012716234431707732
combined_partner_first,5,new_reporter_partner_existing_product,New reporter partners with continuing LT/HGL HS1992 products,2,60,1500,2762543437820.025,2668419928502.391,94123509317.63359,153248707415552.06,58781186732146.24,94467520683405.83,153248707415552.06,58781186732146.24,0.0036518210123539768,0.0034996481382227303,375.0,12.0,0.018026536630609616,0.04539581585281412,0.018026536630609616,0.04539581585281412
combined_partner_first,5,existing_reporter_partner_new_product,Existing reporter partners with net-new LT/HGL HS1992 products,3,60,1500,4428776642213.765,4241798296717.7725,186978345495.99237,153248707415552.06,58781186732146.24,94467520683405.83,153248707415552.06,58781186732146.24,0.033592647777614025,0.040610359044972844,267.0,128.5,0.028899275673527288,0.072162515466841,0.028899275673527288,0.072162515466841
combined_partner_first,5,existing_reporter_partner_existing_product,Existing reporter partners with continuing LT/HGL HS1992 products,4,60,1500,144706639840202.97,56018634173348.984,88688005666853.98,153248707415552.06,58781186732146.24,94467520683405.83,153248707415552.06,58781186732146.24,0.9193931489249312,0.9444659247780217,2553.5,157.0,0.9442601003335952,0.9530027766981698,0.9442601003335952,0.9530027766981698
combined_partner_first,5,lost_reporter_partner,Lost reporter partners,5,60,1500,67895403696.2899,-1910267327614.7295,1978162731311.0195,153248707415552.06,58781186732146.24,94467520683405.83,153248707415552.06,58781186732146.24,3.415454370648136e-05,-0.0006215169382993817,350.0,7.0,0.00044304062880076017,-0.03249793741523838,0.00044304062880076017,-0.03249793741523838
combined_partner_first,5,reporter_partner_product_residual,Reporter-partner/product residual cells,6,60,1500,1205282988819.0366,-2312145873874.1694,3517428862693.206,153248707415552.06,58781186732146.24,94467520683405.83,153248707415552.06,58781186732146.24,0.007995575105766813,-0.008970093355952197,2042.5,171.0,0.007864881923935377,-0.039334794045757224,0.007864881923935377,-0.039334794045757224
combined_partner_first,10,new_reporter_partner_new_product,New reporter partners with net-new LT/HGL HS1992 products,1,60,1204,222377898939.74945,218919980887.418,3457918052.3314543,191897675155615.53,99179411922971.62,92718263232643.9,191897675155615.53,99179411922971.62,0.0004082922856015345,0.0005720189244067656,78.0,13.0,0.0011588358158034827,0.0022073127541575232,0.0011588358158034827,0.0022073127541575232
combined_partner_first,10,new_reporter_partner_existing_product,New reporter partners with continuing LT/HGL HS1992 products,2,60,1204,5119764109020.719,4997762171828.186,122001937192.53319,191897675155615.53,99179411922971.62,92718263232643.9,191897675155615.53,99179411922971.62,0.009883150047290575,0.016626686768340188,834.5,20.0,0.026679656774731376,0.050391125284244796,0.026679656774731376,0.050391125284244796
combined_partner_first,10,existing_reporter_partner_new_product,Existing reporter partners with net-new LT/HGL HS1992 products,3,60,1204,6641305167343.656,6437180249781.923,204124917561.73328,191897675155615.53,99179411922971.62,92718263232643.9,191897675155615.53,99179411922971.62,0.047901642610295336,0.06944920377239466,353.0,137.0,0.03460857543979115,0.06490440026788426,0.03460857543979115,0.06490440026788426
combined_partner_first,10,existing_reporter_partner_existing_product,Existing reporter partners with continuing LT/HGL HS1992 products,4,60,1204,178826622870473.3,92841962062949.17,85984660807524.16,191897675155615.53,99179411922971.62,92718263232643.9,191897675155615.53,99179411922971.62,0.8981934465854173,0.917371826355386,2492.5,153.0,0.9318853015048645,0.9361011550971438,0.9318853015048645,0.9361011550971438
combined_partner_first,10,lost_reporter_partner,Lost reporter partners,5,60,1204,43883020427.59267,-2460595824378.155,2504478844805.7476,191897675155615.53,99179411922971.62,92718263232643.9,191897675155615.53,99179411922971.62,1.511104550160661e-05,-0.003797346523167555,751.5,8.0,0.00022867927082496762,-0.024809542390604147,0.00022867927082496762,-0.024809542390604147
combined_partner_first,10,reporter_partner_product_residual,Reporter-partner/product residual cells,6,60,1204,1043722089410.5018,-2855816718096.9077,3899538807507.4097,191897675155615.53,99179411922971.62,92718263232643.9,191897675155615.53,99179411922971.62,0.0050529343080980725,-0.018609900262675817,2070.0,176.0,0.005438951193984589,-0.028794451012826103,0.005438951193984589,-0.028794451012826103
combined_product_first,5,net_new_product,Net-new LT/HGL HS1992 products,1,60,1500,4521341017908.334,4321770134671.671,199570883236.66302,153248707415552.06,58781186732146.24,94467520683405.83,153248707415552.06,58781186732146.24,0.034895920720883836,0.04263196050210459,267.0,144.0,0.02950328974487322,0.07352301603513191,0.02950328974487322,0.07352301603513191
combined_product_first,5,existing_product_to_new_product_specific_partner,Continuing LT/HGL HS1992 products to new product-specific partners,2,60,1500,19134220629697.82,18670142858212.78,464077771485.0407,153248707415552.06,58781186732146.24,94467520683405.83,153248707415552.06,58781186732146.24,0.17740130687408454,0.26444947886051606,1806.0,151.0,0.12485730517656576,0.31762106034518794,0.12485730517656576,0.31762106034518794
combined_product_first,5,existing_product_to_existing_product_specific_partner,Continuing LT/HGL HS1992 products to existing product-specific partners,3,60,1500,123514026340618.64,49670425631087.33,73843600709531.31,153248707415552.06,58781186732146.24,94467520683405.83,153248707415552.06,58781186732146.24,0.6833024234211735,0.7464539043007085,1925.5,124.0,0.805971080758911,0.8450054922746835,0.805971080758911,0.8450054922746835
combined_product_first,5,existing_product_lost_product_specific_partner,Continuing LT/HGL HS1992 products to lost product-specific partners,4,60,1500,450841892395.4807,-11963006243727.506,12413848136122.986,153248707415552.06,58781186732146.24,94467520683405.83,153248707415552.06,58781186732146.24,0.0024910829969668003,-0.10483805742901328,1636.5,139.0,0.002941896868160652,-0.20351760331482352,0.002941896868160652,-0.20351760331482352
combined_product_first,5,existing_product_below_threshold_product_specific_partner_residual,Continuing LT/HGL HS1992 products below product-specific partner threshold,5,60,1500,4639942941298.637,440694892673.09955,4199248048625.5376,153248707415552.06,58781186732146.24,94467520683405.83,153248707415552.06,58781186732146.24,0.04049330395223162,0.014668785969107881,2535.0,216.0,0.030277207681216393,0.007497209858679026,0.030277207681216393,0.007497209858679026
combined_product_first,5,dying_product_cells,Dying LT/HGL HS1992 product cells,6,60,1500,247300488727.32,-2556568405114.74,2803868893842.06,153248707415552.06,58781186732146.24,94467520683405.83,153248707415552.06,58781186732146.24,0.001056887187894463,-0.01325512951374616,209.5,129.0,0.0016137198994881918,-0.04349297023832635,0.0016137198994881918,-0.04349297023832635
combined_product_first,5,below_threshold_product_residual,Below-threshold product residual cells,7,60,1500,741034104905.8477,197727864343.60944,543306240562.2383,153248707415552.06,58781186732146.24,94467520683405.83,153248707415552.06,58781186732146.24,0.0038350806241810604,0.0007414258282699891,1222.0,132.0,0.004835499870784852,0.003363795039467552,0.004835499870784852,0.003363795039467552
combined_product_first,10,net_new_product,Net-new LT/HGL HS1992 products,1,60,1204,6876659278506.765,6659806337747.95,216852940758.81464,191897675155615.53,99179411922971.62,92718263232643.9,191897675155615.53,99179411922971.62,0.050554441047211476,0.07603984064963823,353.5,164.0,0.03583503173204301,0.06714908072776571,0.03583503173204301,0.06714908072776571
combined_product_first,10,existing_product_to_new_product_specific_partner,Continuing LT/HGL HS1992 products to new product-specific partners,2,60,1204,32649292051264.36,32228646522445.64,420645528818.7185,191897675155615.53,99179411922971.62,92718263232643.9,191897675155615.53,99179411922971.62,0.23103722186566072,0.37997354274403994,1898.0,162.0,0.1701390703393779,0.32495299072227046,0.1701390703393779,0.32495299072227046
combined_product_first,10,existing_product_to_existing_product_specific_partner,Continuing LT/HGL HS1992 products to existing product-specific partners,3,60,1204,147075902591309.9,77150427543961.8,69925475047348.09,191897675155615.53,99179411922971.62,92718263232643.9,191897675155615.53,99179411922971.62,0.6245214534175594,0.6286314047146783,1774.5,115.0,0.7664287880092434,0.7778875277449842,0.7664287880092434,0.7778875277449842
combined_product_first,10,existing_product_lost_product_specific_partner,Continuing LT/HGL HS1992 products to lost product-specific partners,4,60,1204,387224817489.302,-14443206499357.896,14830431316847.2,191897675155615.53,99179411922971.62,92718263232643.9,191897675155615.53,99179411922971.62,0.0016485454729847518,-0.11504589056490193,1656.0,140.0,0.0020178713326010327,-0.14562706331204417,0.0020178713326010327,-0.14562706331204417
