country,iso3,reporter_code,base_window,future_window,base_year,base_year_2,future_year,future_year_2,horizon,total_positive_expansion_2024_usd,total_net_growth_2024_usd,below_threshold_residual_positive_expansion_share,continuing_product_positive_expansion_share,dying_product_positive_expansion_share,new_product_positive_expansion_share,below_threshold_residual_net_contribution_2024_usd,continuing_product_net_contribution_2024_usd,dying_product_net_contribution_2024_usd,new_product_net_contribution_2024_usd
Armenia,ARM,51,2018-2019,2023-2024,2018,2019,2023,2024,5,8582087327.886743,7835704897.0699005,0.019524831727655928,0.8098359459881445,0.003726848422130961,0.1669123738620686,105512490.64313048,6418483077.680158,-119159623.57641883,1430868952.3230329
Australia,AUS,36,2018-2019,2023-2024,2018,2019,2023,2024,5,68980767671.82684,45576129850.85135,0.0030575974455349115,0.9817210837957838,5.989847918092899e-05,0.015161420279500423,175896647.45360017,46559472001.35164,-2197870606.637806,1038631808.683912
Austria,AUT,40,2018-2019,2023-2024,2018,2019,2023,2024,5,37326445003.68936,7305634199.005589,0.0037240340014310013,0.9510750504330012,0.00022055258271056488,0.04498036298285709,103464364.05344287,6287961651.493723,-733022641.1211143,1647230824.5795362
Azerbaijan,AZE,31,2018-2019,2023-2024,2018,2019,2023,2024,5,10531094260.749588,7217722513.515958,0.0036283828376098295,0.9441784677533315,4.4500323338049936e-05,0.05214864908572064,13493112.150069783,6754539078.051259,-93688511.50289933,543378834.8175268
Belgium,BEL,56,2018-2019,2023-2024,2018,2019,2023,2024,5,78171356418.7562,5646747913.12438,0.0003370287935089012,0.9965313548609431,1.7866016338282145e-05,0.003113750329209898,-57645673.245546766,5596295871.325829,-132305033.88756022,240402748.9316591
Botswana,BWA,72,2017-2018,2022-2023,2017,2018,2022,2023,5,1199788974.0737336,-489608647.7443269,0.02060883601924101,0.8999524483245477,0.00069908941405159,0.07873962624215966,-25152333.467906363,-467958104.0395252,-88940132.17214392,92441921.93524867
Brazil,BRA,76,2018-2019,2023-2024,2018,2019,2023,2024,5,84765864493.70132,60859483052.643715,0.004720452403432115,0.9452184381509565,0.034370228119254415,0.015690881326356917,344255379.2157418,59023912720.37204,163159857.01927948,1328155096.0366726
Burkina Faso,BFA,854,2018-2019,2023-2024,2018,2019,2023,2024,5,1716087535.5183828,1174282145.2873826,0.013641020799718516,0.90292546355763,0.0008816212337066591,0.08255189440894477,-3215814.8961294834,1281894723.7055588,-230002365.7022954,125605602.18024845
Cambodia,KHM,116,2018-2019,2023-2024,2018,2019,2023,2024,5,13860976805.919958,7875909566.487083,0.005580356037637354,0.7497666868973494,2.653617998043821e-05,0.244626420885033,47143124.87200287,4772871767.187475,-333975156.3274122,3389869830.755018
Canada,CAN,124,2018-2019,2023-2024,2018,2019,2023,2024,5,84655811253.22882,30162384469.586323,0.00016096516808277264,0.9903369995731541,2.634279589824844e-05,0.009475692462864801,-16237206.863580562,29529980051.330177,-148254899.9673693,796896525.0870999
China,CHN,156,2018-2019,2023-2024,2018,2019,2023,2024,5,752539233462.7726,469882950073.0886,1.963577623611303e-05,0.9768200366989377,2.188467563651156e-05,0.02313844284918959,2599103.0367953167,455753069873.86145,-1280424189.300382,15407705285.490707
"China, Hong Kong SAR",HKG,344,2018-2019,2023-2024,2018,2019,2023,2024,5,108673168219.31255,-51052640903.46447,0.00018595170599248405,0.9917925472745145,5.089691320870297e-05,0.007970604106284142,-58734711.58754118,-50193277478.258575,-1664545872.9205077,863917159.3021398
Costa Rica,CRI,188,2018-2019,2023-2024,2018,2019,2023,2024,5,6682447910.495228,5547283109.233419,0.006438809301494486,0.9574454219585912,0.0002024658550998556,0.035913302884814355,16715338.800338142,5392042700.168596,-100368433.44149971,238893503.70598525
Croatia,HRV,191,2018-2019,2023-2024,2018,2019,2023,2024,5,7715879838.049564,4787517813.584524,0.009976808110539904,0.8750696890800802,0.0022450187550702577,0.11270848405430967,26292912.413149424,4103282580.756741,-139799987.2453434,797742307.6599767
Czech Republic,CZE,203,2018-2019,2023-2024,2018,2019,2023,2024,5,49338672559.04791,18501820785.678436,0.0002970797024431618,0.9596842914013819,0.0001495769303550664,0.03986905196581998,-15211900.529318204,16751833069.177492,-194797603.179815,1959997220.2100718
Denmark,DNK,208,2018-2019,2023-2024,2018,2019,2023,2024,5,27663839848.306767,5334838751.365819,0.018338349850006336,0.9109639185479728,0.017464068835223872,0.05323366276679712,481458030.6162004,3700010421.827412,-313528715.5770494,1466899014.4992542
Egypt,EGY,818,2018-2019,2023-2024,2018,2019,2023,2024,5,16685684675.720901,7444489537.570219,0.006040529171680082,0.8642709784891104,0.0007741005293622972,0.12891439180984723,29294660.834659874,6132151549.527443,-823088720.8589592,2106132048.067076
Finland,FIN,246,2018-2019,2023-2024,2018,2019,2023,2024,5,11743292247.549305,-7622272546.693762,0.0035099614954122393,0.8705774935664623,0.00011497390139372007,0.1257975710367318,-162329708.07354087,-7407426336.091332,-1515732965.9972217,1463216463.468333
France,FRA,251,2018-2019,2023-2024,2018,2019,2023,2024,5,107323045735.94377,7420282485.474148,3.553425868634884e-05,0.9256650858690788,1.6617775744555015e-05,0.07428276209649017,-7240044.032174329,79394382.76493835,-622746892.7390213,7970875039.480393
Georgia,GEO,268,2018-2019,2023-2024,2018,2019,2023,2024,5,3253508813.7303267,2158378714.0722055,0.01436107971274912,0.8643816807172938,0.00045137945948906514,0.12080586011046804,-3094780.151867098,1891388241.5165687,-119694960.87485346,389780213.58235765
Germany,DEU,276,2018-2019,2023-2024,2018,2019,2023,2024,5,175976544766.1996,-98884948855.28168,0.002796668094866731,0.8898103654454358,0.00025336965363645646,0.10713959680606087,489535228.2507957,-117856699510.44019,-358315979.6112642,18840531406.519012
Greece,GRC,300,2018-2019,2023-2024,2018,2019,2023,2024,5,15513058314.798916,11736638789.55125,0.003175664934250897,0.6932963133343597,0.00019635225515880414,0.3033316694762305,18775700.7971146,7183122764.539778,-153384544.34412432,4688124868.558485
Guyana,GUY,328,2018-2019,2023-2024,2018,2019,2023,2024,5,15492845650.285189,15012725548.892021,0.015902321633366107,0.012351694759759167,7.650240615375827e-06,0.9717383333662595,223907321.3870385,-241101045.41474828,-22384544.869023632,15052303817.788757
Hungary,HUN,348,2018-2019,2023-2024,2018,2019,2023,2024,5,36890183513.84117,10826829722.482393,0.0007913340807336623,0.9082826264521487,0.0002393839810202331,0.0906866554860974,-5012106.755162152,7817643686.171533,-326114812.89820886,3340312955.9642344
Iceland,ISL,352,2018-2019,2023-2024,2018,2019,2023,2024,5,1299441551.0646546,460516666.7331704,0.043235539743435664,0.8507604826114015,4.807791495473774e-05,0.10595589973020807,-58901810.041681394,428882913.60598105,-45551798.680261716,136087361.84913248
India,IND,699,2018-2019,2023-2024,2018,2019,2023,2024,5,118789584809.86722,60941555731.825386,0.00028140572305226556,0.9714435830920034,0.00011281587997803827,0.028162195304966157,10397143.572713768,58066108231.23164,-443432514.8521969,3308482871.8732224
Ireland,IRL,372,2018-2019,2023-2024,2018,2019,2023,2024,5,52577882548.177475,28334846970.517727,0.0010628936367856928,0.9875040074233465,2.472295352442661e-05,0.011408375986343557,2667458.3232032023,28072913819.19648,-335523310.6546788,594789003.6527251
Italy,ITA,380,2018-2019,2023-2024,2018,2019,2023,2024,5,88761620966.93117,16770957842.047312,0.0012767377068184627,0.9956109912113683,0.00027855939241004776,0.0028337116894032563,-889790726.3360031,19923664744.151173,-818759275.7029,-1444156900.0649576
Japan,JPN,392,2018-2019,2023-2024,2018,2019,2023,2024,5,45541354191.80272,-152385655234.16745,0.00016784172891553902,0.9959802420565321,7.317635713910572e-05,0.0037787398574129546,-37970820.71223623,-152175049893.7389,-340367098.1396018,167732578.42330915
Korea,KOR,410,2018-2019,2023-2024,2018,2019,2023,2024,5,97413415729.82532,-25630628398.105347,0.00020715031296336661,0.9926136998742187,1.5824453760472267e-05,0.007163325359057718,-45118875.43700433,-24775555078.937134,-488410782.7865937,-321543660.9446181
Kyrgyzstan,KGZ,417,2018-2019,2023-2024,2018,2019,2023,2024,5,1767743518.5278995,1228921480.5856168,0.1114053964607536,0.5759320320648189,0.014855098829027117,0.2978074726454005,158899304.13838577,758189113.3538637,-206947731.89122915,518780794.9845964
Luxembourg,LUX,442,2018-2019,2023-2024,2018,2019,2023,2024,5,2715861042.6528244,-1130412570.4873228,0.007514119299022594,0.7449547692186825,0.006460714778736273,0.2410703967035586,-18763988.94586651,-1527140612.955995,-230101396.42341256,645593427.8379514
Mauritania,MRT,478,2018-2019,2023-2024,2018,2019,2023,2024,5,3236550566.1865597,1559403697.5036225,0.018824056565515213,0.03277956317120253,0.0016103827638720106,0.9467859974994105,58971620.910598435,-666838150.0917697,-897050529.5794301,3064320756.2642236
Mexico,MEX,484,2018-2019,2023-2024,2018,2019,2023,2024,5,93382187791.59146,34222692076.62798,0.0017381076478214122,0.9507050131051692,5.2071388572129656e-05,0.04750480785843738,-124270640.1610032,33666523924.67924,-3093188025.3128266,3773626817.422572
Morocco,MAR,504,2018-2019,2023-2024,2018,2019,2023,2024,5,30292473608.98034,26566158356.32698,0.00139312686794469,0.9693664622372243,9.620117174207513e-05,0.029144209723088853,-41027130.025563136,26030035930.383045,-296337019.6805959,873486575.6500949
Mozambique,MOZ,508,2018-2019,2023-2024,2018,2019,2023,2024,5,3827367463.443099,1901535080.6153374,0.014030572249759982,0.7576048875434229,0.004943056803855407,0.22342148340296158,-120167109.30015402,1981489854.035034,-814395305.317253,854607641.197711
Netherlands,NLD,528,2018-2019,2023-2024,2018,2019,2023,2024,5,159091918275.0888,74416963847.07254,6.150066621910964e-05,0.6935194297406335,5.3757134432935585e-06,0.3064136938797041,-2171594.043322562,26329978320.840397,-649885497.3762146,48739042617.65167
New Zealand,NZL,554,2018-2019,2023-2024,2018,2019,2023,2024,5,12585940186.020287,7474019965.758195,0.0065597840433889295,0.17407982999847119,0.003571756233771208,0.8157886297243687,47664843.13461946,-2361877742.319042,-379124668.4467776,10167357533.389395
Niger,NER,562,2018-2019,2023-2024,2018,2019,2023,2024,5,449088090.31619513,-211584621.56021842,0.8799088573872964,0.027538208746208534,0.0004933256444376597,0.09205960822205732,236582400.66296157,-275837321.82365584,-204918245.76833794,32588545.3688137
North Macedonia,MKD,807,2018-2019,2023-2024,2018,2019,2023,2024,5,2375436903.611742,326683642.3717427,0.011681377239770939,0.7478822154821656,0.00041836132393558416,0.24001804595412796,-9046566.740119195,273213186.54487896,-507441010.3885734,569958032.9555566
Norway,NOR,579,2018-2019,2023-2024,2018,2019,2023,2024,5,50821308207.8273,40382782167.39131,0.008383243689182744,0.9893990498146648,8.154950465445638e-05,0.002136156991498024,401940102.52457017,40067565154.93034,-191405531.58393967,104682441.52033935
Panama,PAN,591,2018-2019,2023-2024,2018,2019,2023,2024,5,1529359560.3476622,-10921024369.392601,0.8378813650637598,0.11946942482194499,0.003686074261059239,0.038963135853236,1229383194.6329882,-3431872054.083348,-8778095353.441696,59559843.4994549
Peru,PER,604,2018-2019,2023-2024,2018,2019,2023,2024,5,24102994747.26611,20425876144.429375,0.002151731732799764,0.6019303218275055,0.00035747519780957184,0.39556047124188487,19513756.14225146,10980227273.202385,-103677151.50974743,9529812266.594482
Poland,POL,616,2018-2019,2023-2024,2018,2019,2023,2024,5,117260737397.52655,91170039880.78552,0.0003474873822821672,0.7970121321175587,2.830868656387354e-05,0.20261207181359514,-42994303.375969015,67758040259.61144,-184518422.11509025,23639512346.665146
Russia,RUS,643,2015-2016,2020-2021,2015,2016,2020,2021,5,100158122506.2266,39885632429.29877,0.0006252583972098802,0.9399319219122125,6.958356047684635e-05,0.05937323613010074,-26615824098.774414,66418548324.75707,-5841765936.646425,5924674139.96253
Rwanda,RWA,646,2016-2017,2021-2022,2016,2017,2021,2022,5,1205634548.5752401,987860932.480127,0.055553087197090505,0.7835132092426799,0.00047392196595494616,0.16045978159427454,28171302.85639394,791745243.845824,-23202475.53594582,191146861.31385484
Senegal,SEN,686,2018-2019,2023-2024,2018,2019,2023,2024,5,1899482012.2290316,1277813934.5210428,0.03589592649341692,0.874021536510125,0.0014661186853166528,0.0886164183111415,21510844.626154996,1230782456.9606655,-136409372.31831992,161930005.25254232
Singapore,SGP,702,2018-2019,2023-2024,2018,2019,2023,2024,5,75953451795.93263,8783037871.381046,0.00017407642470712654,0.986062544367786,5.7040450153737503e-05,0.013706338757353055,-17309691.952428892,8478765559.443562,-680539223.6034665,1002121227.4933735
Slovakia,SVK,703,2018-2019,2023-2024,2018,2019,2023,2024,5,27148042322.506943,9726981898.317352,0.0038317119809948394,0.9709516362450046,0.0009239426315265236,0.024292709142474257,66898745.39095035,9398169960.72461,-382996800.18292147,644909992.3847145
Slovenia,SVN,705,2018-2019,2023-2024,2018,2019,2023,2024,5,26895100993.380848,19092146209.7923,0.001243484259556431,0.992221642649161,0.0001397644292946678,0.00639510866198762,-20043173.384118468,19146789037.23018,-193350023.51215747,158750369.45839822
South Africa,ZAF,710,2018-2019,2023-2024,2018,2019,2023,2024,5,27657747748.154575,7234807079.1835785,0.0009248354126032384,0.7669662293162177,0.00012743136559612478,0.23198150390558286,467044.3902790522,1559624871.4528115,-736753837.8249769,6411469001.165469
Spain,ESP,724,2018-2019,2023-2024,2018,2019,2023,2024,5,67748824376.265236,6127358113.841557,0.000179977239515121,0.9890296989456575,0.00012710217879528625,0.0106632216360319,-540672.6549872011,6725405724.682848,-1319789758.7529314,722282820.5666258
Sweden,SWE,752,2018-2019,2023-2024,2018,2019,2023,2024,5,29823569336.7891,2314417542.1911535,0.0006045686573958873,0.9186757841743656,2.4621403768014588e-05,0.08069502576447053,-23637792.650409672,940533293.4163113,-964099926.9422542,2361621968.3675046
Switzerland,CHE,757,2018-2019,2023-2024,2018,2019,2023,2024,5,102687878876.49345,67765202701.66621,0.002889286831364148,0.9277306793522401,7.517739824193601e-06,0.06937251607657133,280422378.3995559,60894753284.42461,-532066251.4963496,7122093290.338392
Turkey,TUR,792,2018-2019,2023-2024,2018,2019,2023,2024,5,74422282426.8436,52784927126.64516,0.00039672919458784813,0.8367429453172747,0.00019570027214791546,0.16266462521598962,13267972.706626173,40705525624.71828,-36288084.10198957,12102421613.322237
Uganda,UGA,800,2018-2019,2023-2024,2018,2019,2023,2024,5,4013206420.6027837,3414284011.9664097,0.009983208280588416,0.9106774659687019,0.0002442159717750635,0.07909510977893447,7632791.140078194,3170306446.845376,-74850537.8623688,311195311.84332407
United Arab Emirates,ARE,784,2017-2018,2022-2023,2017,2018,2022,2023,5,281890173845.0759,247394006974.23364,8.938199902843935e-05,0.9903270185239579,4.022342117954195e-05,0.009543376055834035,-7629131.699584988,244803547892.09012,-70829909.87063919,2668918123.713748
United Kingdom,GBR,826,2018-2019,2023-2024,2018,2019,2023,2024,5,82247605734.95285,-48098283673.35071,0.0001278367675455081,0.9697114866667769,0.00025066947278806333,0.029910007092889615,-22568248.11963398,-48059858931.43469,-2153030186.9969573,2137173693.2005675
United States,USA,842,2018-2019,2023-2024,2018,2019,2023,2024,5,281535785466.9524,122602333216.01181,4.028449623657389e-05,0.8946106114752733,5.886505496925945e-07,0.1053485153779404,1514148.8818828296,93402050280.12273,-140385257.1664506,29339154044.173664
Zimbabwe,ZWE,716,2018-2019,2023-2024,2018,2019,2023,2024,5,2935945257.8883624,2406827528.4826093,0.052349946118416875,0.9246014973198048,0.00010460983394956827,0.022943946727828755,123692917.95145738,2290757276.848669,-70947010.36140372,63324344.04388628
