channel_type,horizon,channel,channel_label,channel_order,countries,country_windows,positive_expansion_2024_usd,net_contribution_2024_usd,contraction_2024_usd,total_positive_expansion_2024_usd,total_net_growth_2024_usd,total_contraction_2024_usd,within_positive_expansion_2024_usd,within_net_growth_2024_usd,median_positive_expansion_share,median_net_growth_share,median_product_count,median_partner_count,pooled_positive_expansion_share,pooled_net_growth_share,pooled_within_positive_expansion_share,pooled_within_net_growth_share
combined_partner_first,5,new_reporter_partner_new_product,New reporter partners with net-new harmonized HS6 product families,1,60,1500,466421873456.7534,463675003672.60736,2746869784.146043,197598611307408.97,58781186732146.24,138817424575262.73,197598611307409.0,58781186732146.24,0.0003594708303709683,0.0002941127385098736,55.0,9.0,0.002360451171041529,0.00788815315664651,0.0023604511710415286,0.00788815315664651
combined_partner_first,5,new_reporter_partner_existing_product,New reporter partners with continuing harmonized HS6 product families,2,60,1500,2286123510466.1714,2216916634992.48,69206875473.69157,197598611307408.97,58781186732146.24,138817424575262.73,197598611307409.0,58781186732146.24,0.0027812303365074738,0.002977312840510847,277.5,12.0,0.011569532272216191,0.037714730821861636,0.01156953227221619,0.037714730821861636
combined_partner_first,5,existing_reporter_partner_new_product,Existing reporter partners with net-new harmonized HS6 product families,3,60,1500,70903840388281.7,70630008875978.66,273831512303.05203,197598611307408.97,58781186732146.24,138817424575262.73,197598611307409.0,58781186732146.24,0.26101436328543703,0.28430935653644995,484.5,142.0,0.35882762494709475,1.201575075335329,0.3588276249470947,1.201575075335329
combined_partner_first,5,existing_reporter_partner_existing_product,Existing reporter partners with continuing harmonized HS6 product families,4,60,1500,110966757703076.9,42704242327144.5,68262515375932.4,197598611307408.97,58781186732146.24,138817424575262.73,197598611307409.0,58781186732146.24,0.6317504078693112,0.779680223839663,2119.5,157.0,0.5615766070867938,0.7264950692768238,0.5615766070867938,0.7264950692768238
combined_partner_first,5,lost_reporter_partner,Lost reporter partners,5,60,1500,92671342457.34978,-1910267327614.7295,2002938670072.0793,197598611307408.97,58781186732146.24,138817424575262.73,197598611307409.0,58781186732146.24,3.062028603789801e-05,-0.0006215169382993819,302.0,7.0,0.0004689878225570053,-0.03249793741523838,0.00046898782255700523,-0.03249793741523838
combined_partner_first,5,reporter_partner_product_residual,Reporter-partner/product residual cells,6,60,1500,12882796489670.105,-55323388782027.266,68206185271697.37,197598611307408.97,58781186732146.24,138817424575262.73,197598611307409.0,58781186732146.24,0.012153849002272338,-0.1091437158974917,2211.5,198.0,0.06519679670029677,-0.9411750911754223,0.06519679670029677,-0.9411750911754223
combined_partner_first,10,new_reporter_partner_new_product,New reporter partners with net-new harmonized HS6 product families,1,60,1204,1138542473466.2246,1135297132226.4841,3245341239.740535,223995911034157.7,99179411922971.62,124816499111186.06,223995911034157.7,99179411922971.62,0.0015894338375267787,0.0027599633116720374,138.5,16.0,0.005082871683727322,0.011446903245486275,0.005082871683727322,0.011446903245486275
combined_partner_first,10,new_reporter_partner_existing_product,New reporter partners with continuing harmonized HS6 product families,2,60,1204,4038048318326.765,3952153827620.3003,85894490706.46486,223995911034157.7,99179411922971.62,124816499111186.06,223995911034157.7,99179411922971.62,0.007934987965129064,0.014128080968507178,649.5,20.0,0.018027330497613382,0.03984853056690604,0.018027330497613382,0.03984853056690604
combined_partner_first,10,existing_reporter_partner_new_product,Existing reporter partners with net-new harmonized HS6 product families,3,60,1204,66109950374755.75,65913963986291.25,195986388464.4942,223995911034157.7,99179411922971.62,124816499111186.06,223995911034157.7,99179411922971.62,0.26167497653938254,0.3552400673445454,569.0,143.0,0.29513909459121546,0.6645932125256377,0.29513909459121546,0.6645932125256377
combined_partner_first,10,existing_reporter_partner_existing_product,Existing reporter partners with continuing harmonized HS6 product families,4,60,1204,136182322212842.48,71373578516377.31,64808743696465.18,223995911034157.7,99179411922971.62,124816499111186.06,223995911034157.7,99179411922971.62,0.6339485116781038,0.7345869193715515,2050.5,153.0,0.6079678936285391,0.7196410740145354,0.6079678936285391,0.7196410740145354
combined_partner_first,10,lost_reporter_partner,Lost reporter partners,5,60,1204,46995387292.28835,-2460595824378.155,2507591211670.443,223995911034157.7,99179411922971.62,124816499111186.06,223995911034157.7,99179411922971.62,1.3980005633908965e-05,-0.003797346523167554,697.5,8.0,0.0002098046659660761,-0.024809542390604147,0.0002098046659660761,-0.024809542390604147
combined_partner_first,10,reporter_partner_product_residual,Reporter-partner/product residual cells,6,60,1204,16480052267474.182,-40734985715165.56,57215037982639.75,223995911034157.7,99179411922971.62,124816499111186.06,223995911034157.7,99179411922971.62,0.008205327933496626,-0.11655540311788021,2302.0,199.0,0.0735730049329387,-0.4107201779619612,0.0735730049329387,-0.4107201779619612
combined_product_first,5,net_new_product,Net-new harmonized HS6 product families,1,60,1500,71453688615281.3,71142057641956.34,311630973324.9601,197598611307408.97,58781186732146.24,138817424575262.73,197598611307408.97,58781186732146.24,0.2676870932599966,0.30360674607216365,484.5,173.0,0.3616102772307395,1.2102861748289644,0.3616102772307395,1.2102861748289644
combined_product_first,5,existing_product_to_new_product_specific_partner,Continuing harmonized HS6 product families to new product-specific partners,2,60,1500,15542592285058.082,15169596631272.955,372995653785.12634,197598611307408.97,58781186732146.24,138817424575262.73,197598611307408.97,58781186732146.24,0.12245209443890046,0.21692047335293624,1499.5,145.5,0.0786573963360405,0.2580689073257007,0.0786573963360405,0.2580689073257007
combined_product_first,5,existing_product_to_existing_product_specific_partner,Continuing harmonized HS6 product families to existing product-specific partners,3,60,1500,93740341465936.06,37635061947423.68,56105279518512.39,197598611307408.97,58781186732146.24,138817424575262.73,197598611307408.97,58781186732146.24,0.44043404845990053,0.6116137534873223,1605.0,121.0,0.4743977745881115,0.6402569264026414,0.4743977745881115,0.6402569264026414
combined_product_first,5,existing_product_lost_product_specific_partner,Continuing harmonized HS6 product families to lost product-specific partners,4,60,1500,374964613858.2928,-9862457313000.69,10237421926858.982,197598611307408.97,58781186732146.24,138817424575262.73,197598611307408.97,58781186732146.24,0.0016678027789146406,-0.08875388634203053,1354.5,134.0,0.0018976075356873395,-0.16778254848684623,0.0018976075356873395,-0.16778254848684623
combined_product_first,5,existing_product_below_threshold_product_specific_partner_residual,Continuing harmonized HS6 product families below product-specific partner threshold,5,60,1500,3816374292564.3623,393090381693.6872,3423283910870.675,197598611307408.97,58781186732146.24,138817424575262.73,197598611307408.97,58781186732146.24,0.02860060462552751,0.012282189203830063,2114.0,213.0,0.01931377081707895,0.006687350214362277,0.01931377081707895,0.006687350214362277
combined_product_first,5,dying_product_cells,Dying harmonized HS6 product family cells,6,60,1500,540818536752.79944,-58710287244695.984,59251105781448.78,197598611307408.97,58781186732146.24,138817424575262.73,197598611307408.97,58781186732146.24,0.0008070541503310941,-0.12425942110669029,447.0,162.5,0.0027369551495047446,-0.998793840488908,0.0027369551495047446,-0.998793840488908
combined_product_first,5,below_threshold_product_residual,Below-threshold product residual cells,7,60,1500,12129831497958.074,3014124687496.2524,9115706810461.822,197598611307408.97,58781186732146.24,138817424575262.73,197598611307408.97,58781186732146.24,0.006899747081898005,0.0012367256560421006,1458.5,131.0,0.06138621834283744,0.05127703020408549,0.06138621834283744,0.05127703020408549
combined_product_first,10,net_new_product,Net-new harmonized HS6 product families,1,60,1204,67280580934540.125,67070665675286.63,209915259253.4919,223995911034157.7,99179411922971.62,124816499111186.06,223995911034157.7,99179411922971.62,0.2693620264124189,0.3655111872555139,569.0,188.0,0.3003652192752766,0.6762559323035463,0.3003652192752766,0.6762559323035463
combined_product_first,10,existing_product_to_new_product_specific_partner,Continuing harmonized HS6 product families to new product-specific partners,2,60,1204,26031170966045.906,25701802232038.074,329368734007.8348,223995911034157.7,99179411922971.62,124816499111186.06,223995911034157.7,99179411922971.62,0.16807103946031218,0.3023947501387254,1559.0,156.0,0.11621270605281875,0.2591445314477117,0.11621270605281875,0.2591445314477117
combined_product_first,10,existing_product_to_existing_product_specific_partner,Continuing harmonized HS6 product families to existing product-specific partners,3,60,1204,110741456666701.66,59044228255979.734,51697228410721.92,223995911034157.7,99179411922971.62,124816499111186.06,223995911034157.7,99179411922971.62,0.42536297092204783,0.5022858050850796,1469.5,111.0,0.494390527735189,0.5953274687879461,0.494390527735189,0.5953274687879461
combined_product_first,10,existing_product_lost_product_specific_partner,Continuing harmonized HS6 product families to lost product-specific partners,4,60,1204,314212356802.833,-11819200927920.547,12133413284723.379,223995911034157.7,99179411922971.62,124816499111186.06,223995911034157.7,99179411922971.62,0.0011707865502671513,-0.09530581411331668,1376.5,135.0,0.0014027593421333392,-0.11916990329706745,0.0014027593421333392,-0.11916990329706745
combined_product_first,10,existing_product_below_threshold_product_specific_partner_residual,Continuing harmonized HS6 product families below product-specific partner threshold,5,60,1204,3252824854297.225,408282912364.35425,2844541941932.871,223995911034157.7,99179411922971.62,124816499111186.06,223995911034157.7,99179411922971.62,0.020938598724133943,0.008539567587961256,2043.5,220.0,0.01452180461366187,0.004116609530629704,0.01452180461366187,0.004116609530629704
combined_product_first,10,dying_product_cells,Dying harmonized HS6 product family cells,6,60,1204,327503880732.04584,-46679363929234.65,47006867809966.695,223995911034157.7,99179411922971.62,124816499111186.06,223995911034157.7,99179411922971.62,0.0006178380720956484,-0.14228950115091948,474.0,170.0,0.0014620975857104104,-0.47065578454416024,0.0014620975857104104,-0.47065578454416024
combined_product_first,10,below_threshold_product_residual,Below-threshold product residual cells,7,60,1204,16048161375037.904,5452997704458.024,10595163670579.879,223995911034157.7,99179411922971.62,124816499111186.06,223995911034157.7,99179411922971.62,0.0047625811523899705,0.0005352955400938033,1487.5,133.0,0.07164488539521009,0.054981145771393895,0.07164488539521009,0.054981145771393895
partner_spread_continuing_hs6_harmonized,5,same_product_partner,Same product-specific partners,1,60,1499,93740341465936.06,37635061947423.68,56105279518512.39,163288501408079.22,58780379400672.99,70138981010027.17,113474272657416.81,43335291647389.63,0.5771073317752315,0.6117117832559192,1609.0,121.0,0.5740780315673714,0.6402657201459435,0.8260933449553076,0.8684621821321165
partner_spread_continuing_hs6_harmonized,5,new_product_partner,New product-specific partners for continuing harmonized HS6 product families,2,60,1499,15542592285058.082,15169596631272.955,372995653785.12634,163288501408079.22,58780379400672.99,70138981010027.17,113474272657416.81,43335291647389.63,0.15704081086220836,0.21719373836259925,1500.0,146.0,0.09518485472663578,0.2580724518273401,0.13697018646668715,0.3500517950751283
partner_spread_continuing_hs6_harmonized,5,lost_product_partner,Lost product-specific partners for continuing harmonized HS6 product families,3,60,1499,374964613858.2928,-9862457313000.69,10237421926858.982,163288501408079.22,58780379400672.99,70138981010027.17,113474272657416.81,43335291647389.63,0.002143259709559873,-0.08878747212199349,1356.0,134.0,0.0022963320174101383,-0.16778485293151701,0.0033044020030013796,-0.2275848837767028
partner_spread_continuing_hs6_harmonized,5,below_threshold_partner_residual,Below-threshold product-partner residual,4,60,1499,3816374292564.3623,393090381693.6872,3423283910870.675,163288501408079.22,58780379400672.99,70138981010027.17,113474272657416.81,43335291647389.63,0.03686900582741784,0.012299731074689062,2115.0,213.0,0.023371972059604774,0.006687442063179105,0.033632066575003686,0.00907090656945805
partner_spread_continuing_hs6_harmonized,10,same_product_partner,Same product-specific partners,1,60,1200,110741456666701.66,59044228255979.734,51697228410721.92,192756316874253.56,99170830660280.23,67004552371386.0,140339664843847.62,73335112472461.62,0.5276109461989826,0.505490631628519,1472.5,111.5,0.5745153179023695,0.5953789825381391,0.7890959180351532,0.8051290339010754
partner_spread_continuing_hs6_harmonized,10,new_product_partner,New product-specific partners for continuing harmonized HS6 product families,2,60,1200,26031170966045.906,25701802232038.074,329368734007.8348,192756316874253.56,99170830660280.23,67004552371386.0,140339664843847.62,73335112472461.62,0.20190270473954658,0.3033902399563827,1570.5,156.0,0.13504704482928873,0.2591669552520157,0.18548691130914505,0.3504706185824623
