country,iso3,reporter_code,horizon,base_year,future_year,total_base_exports,total_future_exports,total_growth,total_gross_positive_growth,total_gross_contraction,existing_product_partner_cell_contraction_gross_positive_share,existing_product_partner_cell_growth_gross_positive_share,existing_product_partner_cell_no_change_gross_positive_share,net_new_partner_existing_product_gross_positive_share,net_new_product_gross_positive_share,new_product_partner_cell_existing_product_partner_gross_positive_share,existing_product_partner_cell_contraction_net_contribution,existing_product_partner_cell_growth_net_contribution,existing_product_partner_cell_no_change_net_contribution,net_new_partner_existing_product_net_contribution,net_new_product_net_contribution,new_product_partner_cell_existing_product_partner_net_contribution
Armenia,ARM,51,5,2019,2024,2616775995.94,13070809687.664,10454033691.723999,11585477173.53527,1131443481.8112707,0.0,0.7177624636128254,0.0,0.0021413148465532178,0.09469150718375821,0.18540471435686315,-1131443481.8112707,8315620638.206829,0.0,24808154.276094485,1097046295.005082,2148002086.047265
Australia,AUS,36,5,2020,2025,223929911891.01505,329885127635.96906,105955215744.95401,138102742484.6054,32147526739.651424,0.0,0.8210723226150322,0.0,1.9555419120666973e-05,0.005201063577450612,0.17370705838839667,-32147526739.651424,113392339531.34064,0.0,2700657.011,718281143.8827225,23989421152.371063
Austria,AUT,40,5,2019,2024,162968414586.445,196833063593.018,33864649006.572998,73230131842.79375,39365482836.22076,0.0,0.9470150594937101,0.0,4.532731631735605e-06,0.0026892073399314956,0.05029120043472671,-39365482836.22076,69350037663.83556,0.0,331932.535,196931008.0557921,3682831238.367403
Azerbaijan,AZE,31,5,2020,2025,13627190906.869997,24975233520.13,11348042613.260004,14635738332.538399,3287695719.278399,0.0,0.5046312356673457,0.0,0.009661490104372157,0.010036569070502804,0.47567070515777937,-3287695719.278399,7385650719.652789,0.0,141403041.07,146892598.67232716,6961791973.143282
Belgium,BEL,56,5,2019,2024,308064967631.931,361569942857.322,53504975225.39099,135698092293.5159,82193117068.12488,0.0,0.944672337223104,0.0,4.572236495837951e-07,0.0002058248583473757,0.05512138069489896,-82193117068.12488,128190234003.63214,0.0,62044.377,27930040.624322023,7479866204.882425
Botswana,BWA,72,5,2018,2023,6712699026.911,5500293424.782,-1212405602.1290007,1640498675.7643065,2852904277.8933063,0.0,0.6091897503174752,0.0,0.041207391532673845,0.010572176330642405,0.3390306818192084,-2852904277.8933063,999374978.6850067,0.0,67600671.24105275,17343641.27036561,556179384.5678813
Brazil,BRA,76,5,2020,2025,201295047026.00003,348659941225.0001,147364894199.0001,175504267127.25317,28139372928.25318,0.0,0.8896222302905216,0.0,3.6059806998375003e-06,0.0008835854948033653,0.10949057823397526,-28139372928.25318,156132497547.25043,0.0,632865.0,155073024.709736,19216063690.293007
Burkina Faso,BFA,854,5,2019,2024,3261104826.826,5642107004.336,2381002177.51,3583721510.021529,1202719332.5115287,0.0,0.8971577065614127,0.0,0.001136160455468708,0.01958289194478371,0.08212324103833488,-1202719332.5115287,3215163370.885718,0.0,4071682.6630990673,70179631.09094872,294306825.38176346
Cambodia,KHM,116,5,2019,2024,14821919714.84,26662107525.472996,11840187810.632996,17252660561.113346,5412472750.480348,0.0,0.698223275814251,0.0,0.00019433443022446147,0.0917194026261412,0.2098629871293833,-5412472750.480348,12046209173.491896,0.0,3352785.96,1582403720.376902,3620694881.284549
Canada,CAN,124,5,2020,2025,368149065783.25604,539824830224.48895,171675764441.2329,216418124549.76108,44742360108.52805,0.0,0.9623599048513256,0.0,9.318919264251737e-07,0.00011707247654674204,0.03752209078020122,-44742360108.52805,208272125749.8104,0.0,201678.303,25336605.810641803,8120460515.8370285
China,CHN,156,5,2019,2024,2444950891862.9995,3479639306679.0,1034688414816.0005,1397938880554.457,363250465738.45703,0.0,0.947980608705438,0.0,0.00018572856711067507,0.026898871422418355,0.024934791305033007,-363250465738.45703,1325218950921.0127,0.0,259637185.19368044,37602978204.43379,34857314243.81685
"China, Hong Kong SAR",HKG,344,5,2020,2025,550736682239.507,755351286276.7479,204614604037.24097,331963438851.3393,127348834814.09837,0.0,0.9881478073551052,0.0,7.362551643527133e-07,0.0026785321405229778,0.009172924249207624,-127348834814.09837,328028944223.0115,0.0,244409.7962305847,889174740.4418465,3045075478.0898023
Costa Rica,CRI,188,5,2019,2024,11451993076.87,19880341333.983,8428348257.113001,10093600775.217,1665252518.1039982,0.0,0.9642023862328727,0.0,6.471029759803016e-05,0.003437590156512725,0.03229531331301655,-1665252518.1039982,9732273953.146204,0.0,653159.9099999999,34697662.668655165,325975999.4921397
Croatia,HRV,191,5,2020,2025,16927961363.999998,28100549411.0,11172588047.000002,15803727656.887213,4631139609.887211,0.0,0.8446864181019658,0.0,0.0002296370248077795,0.006867402135931473,0.14821654273729495,-4631139609.887211,13349194107.155031,0.0,3629121.0,108530553.06658654,2342373875.6655936
