flow,horizon,base_size_bin,concentration_bucket,observations,countries,mean_annualized_log_growth,mean_size_adjusted_annualized_log_growth,mean_annualized_real_export_change_constant_2015_usd,mean_annualized_asinh_real_export_change,median_initial_exports_constant_2015_usd,mean_base_size_percentile
Exports,5,Q1,high_product_high_partner,103,17,0.05298776788064914,0.016595700786461786,166367568.0542595,0.04437956193634182,1845105347.8022857,0.10217385378025651
Exports,5,Q1,high_product_low_partner,173,22,0.10997583965386325,0.0684936262285501,271973018.3037706,0.08279245944033194,1362836440.8796887,0.11086270466868778
Exports,5,Q1,low_product_high_partner,8,4,0.030325674408611912,0.023034222108735156,509100442.97470284,0.02864855405411875,2743791054.697567,0.11565020039596312
Exports,5,Q1,low_product_low_partner,16,4,0.10591627821544022,0.07550069291155691,116837659.6377697,0.06920042559730488,670896425.8740598,0.0835503926877589
Exports,5,Q2,high_product_high_partner,122,17,0.05099170465663266,0.03351063756495162,840151500.8482095,0.05014336476000852,7836204477.009438,0.2843269371908197
Exports,5,Q2,high_product_low_partner,114,17,0.06373967181376822,0.048414781842374625,1022734754.9377378,0.06267054571486977,10173633597.674068,0.3044913933405939
Exports,5,Q2,low_product_high_partner,39,9,0.07160969858467575,0.06060157126593377,1456834470.0636294,0.07144823948749326,14638557670.091276,0.33180393423985305
Exports,5,Q2,low_product_low_partner,44,9,0.01095456730359244,0.012914497293413088,731426913.623596,0.011396382467944582,17348731124.498367,0.33659208529480716
Exports,5,Q3,high_product_high_partner,67,8,0.0419061168626401,0.058594281701622786,3529663700.418725,0.041889478270845104,69453259958.68083,0.5159609493165739
Exports,5,Q3,high_product_low_partner,50,10,0.024917937260206115,0.018631903887126395,2005928566.8938937,0.024915933892963496,50724711591.09126,0.4818793071531493
Exports,5,Q3,low_product_high_partner,103,9,0.05799169221442856,0.062197144639715374,3900200368.9170284,0.057972755865502566,75008708095.36588,0.509298216654716
Exports,5,Q3,low_product_low_partner,94,12,0.04877864426208336,0.045480307129118845,3612770500.338169,0.04876607944641649,80902181712.28725,0.5022733717341633
Exports,5,Q4,high_product_high_partner,89,8,0.042790470916694426,0.05900912414989623,8312104474.164388,0.04278949109293713,210549417922.64246,0.7059820546916648
Exports,5,Q4,high_product_low_partner,45,4,0.06365979189052604,0.05391154775744424,14922512629.461338,0.06365870288442597,217589145154.1751,0.7171027791473228
Exports,5,Q4,low_product_high_partner,102,13,0.04139069396164871,0.05793354642345681,7979382986.179563,0.04138973005193819,179874248643.6203,0.6950776828830859
Exports,5,Q4,low_product_low_partner,80,11,0.04713219280892271,0.05289116794948551,9596830698.327274,0.04713134740796589,212989965250.93066,0.7081719218156275
Exports,5,Q5,high_product_high_partner,15,4,0.028110020452920756,0.05828719605538719,7398685100.082545,0.028109813217071653,502621549286.95056,0.8880954663090985
Exports,5,Q5,high_product_low_partner,9,2,-0.023614539969039488,0.024899122207214186,-8216651933.175581,-0.023614448519258303,530908518142.0325,0.8670021862891529
Exports,5,Q5,low_product_high_partner,139,11,0.028880068791376032,0.03389224039462856,12622964042.325224,0.02887992534018977,449022420481.5597,0.8851788547619017
Exports,5,Q5,low_product_low_partner,160,9,0.025569513773057724,0.04339848904284881,25670743349.098503,0.02556947269815509,583389485086.96,0.9302522193292965
Exports,10,Q1,high_product_high_partner,73,17,0.06355375411584976,0.020312923239253305,157366194.7405788,0.04698621214059512,1845105347.8022857,0.10217385378025651
Exports,10,Q1,high_product_low_partner,145,22,0.10076771596636541,0.06025528053286015,290933588.76802087,0.0773044847659791,1362836440.8796887,0.11086270466868778
Exports,10,Q1,low_product_high_partner,7,4,0.050302681091281595,0.04352420019801276,714324501.9934037,0.04764826014104784,2743791054.697567,0.11565020039596312
Exports,10,Q1,low_product_low_partner,16,4,0.09609296600130687,0.05462577678714684,111824316.615216,0.0657603319923123,670896425.8740598,0.0835503926877589
Exports,10,Q2,high_product_high_partner,98,17,0.04780488015022903,0.040706288719095665,881269299.1299458,0.047020286946400494,7836204477.009438,0.2843269371908197
Exports,10,Q2,high_product_low_partner,99,17,0.06758317457274911,0.04600381819058705,1127419044.2872317,0.06643614637207881,10173633597.674068,0.3044913933405939
Exports,10,Q2,low_product_high_partner,33,9,0.0842812952755817,0.05868362963140462,2267746841.430842,0.08412194317850237,14638557670.091276,0.33180393423985305
Exports,10,Q2,low_product_low_partner,29,9,0.016305696775138573,0.02375452366736079,854268337.0814211,0.016585099652019472,17348731124.498367,0.33659208529480716
Exports,10,Q3,high_product_high_partner,52,8,0.034264681322696326,0.049071047414088895,3128899116.203212,0.03425515798203908,69453259958.68083,0.5159609493165739
Exports,10,Q3,high_product_low_partner,48,10,0.030799933703535926,0.023141123378407187,2425260660.577047,0.03079598630690908,50724711591.09126,0.4818793071531493
Exports,10,Q3,low_product_high_partner,88,9,0.05451140203222193,0.06242033885596404,4172624102.2404957,0.054498180965007866,75008708095.36588,0.509298216654716
Exports,10,Q3,low_product_low_partner,68,12,0.052399827825007565,0.046518480190052065,5073394293.087065,0.05238831953727008,80902181712.28725,0.5022733717341633
Exports,10,Q4,high_product_high_partner,69,8,0.03886602699193385,0.052822670391070047,7580122762.729474,0.03886515986384925,210549417922.64246,0.7059820546916648
Exports,10,Q4,high_product_low_partner,38,4,0.05936662518676244,0.05556591469375349,14020504041.472143,0.05936565774854229,217589145154.1751,0.7171027791473228
Exports,10,Q4,low_product_high_partner,88,13,0.042476594276101426,0.056472552629276994,9370965860.747196,0.042475753681133585,179874248643.6203,0.6950776828830859
Exports,10,Q4,low_product_low_partner,64,11,0.03502258644734946,0.04858231749766744,7568564286.846411,0.035021990980233585,212989965250.93066,0.7081719218156275
Exports,10,Q5,high_product_high_partner,10,4,0.0350555941151952,0.05881794393651566,10111298029.955624,0.03505537456803151,502621549286.95056,0.8880954663090985
Exports,10,Q5,high_product_low_partner,6,2,-0.0062777596109177365,0.06038156187465315,-2238080949.7940545,-0.006277734723978072,530908518142.0325,0.8670021862891529
Exports,10,Q5,low_product_high_partner,121,11,0.029205071716266573,0.03891803839955334,16558243929.187555,0.029204953358339798,449022420481.5597,0.8851788547619017
Exports,10,Q5,low_product_low_partner,123,9,0.023637260447908752,0.043076439079716033,23393354388.274765,0.023637227362344432,583389485086.96,0.9302522193292965
Imports,5,Q1,high_product_high_partner,74,12,0.08458977724463686,0.04266996925595781,300894036.82631093,0.07301932560667619,1959441458.6731052,0.11848625112494086
Imports,5,Q1,high_product_low_partner,213,21,0.09297288985175693,0.050669871975369936,192188256.31936038,0.06779038032574915,1244356823.9329495,0.10011235226355875
Imports,5,Q1,low_product_high_partner,5,4,0.062323066646266766,0.020950823116553746,1327619159.4577727,0.06227018181969264,13524398829.001642,0.15687046004842614
Imports,5,Q1,low_product_low_partner,8,6,0.005792726347806719,0.020329050217527983,36130581.96041763,0.009556698904174193,2287219222.6214385,0.12846914835309256
Imports,5,Q2,high_product_high_partner,82,9,0.03460620875872422,0.031536832436116706,369562188.91082627,0.03395529517280149,7717553358.953488,0.28114300716753354
Imports,5,Q2,high_product_low_partner,126,12,0.06077995943461456,0.031337990583381485,1047705390.8554645,0.05994965273847948,10694969776.717701,0.30471651606883765
Imports,5,Q2,low_product_high_partner,65,11,0.051472044977328234,0.049150382814876964,1453502163.1337044,0.05136709838944826,15081606869.538967,0.33029320593461386
Imports,5,Q2,low_product_low_partner,46,9,0.06348745283773972,0.05709505673691553,1115151181.6551383,0.0624565877453417,14273179246.147491,0.30799567692736496
Imports,5,Q3,high_product_high_partner,29,6,0.04725398135937063,0.07331287048588288,4055218372.025343,0.0472286769648524,93265784664.36127,0.5166055392969479
Imports,5,Q3,high_product_low_partner,42,11,0.03998723068915047,0.03967239353668431,3942825497.3694434,0.039983623609846836,48283612584.00613,0.48630873338679187
Imports,5,Q3,low_product_high_partner,169,17,0.04099671150198832,0.045766846544766274,2625820710.228006,0.04098260672493426,69325651445.57004,0.5048664675123148
Imports,5,Q3,low_product_low_partner,74,9,0.06261716431523076,0.0565196376627693,4745152129.678467,0.06260260406481803,76783306412.96947,0.5084628880734492
Imports,5,Q4,high_product_high_partner,46,9,0.03916727408363625,0.055442395254116594,8040756580.919416,0.03916664362050926,193633144509.61365,0.7482864023130437
Imports,5,Q4,high_product_low_partner,56,7,0.06901672241718979,0.07774873896176757,15133601465.192072,0.06901545360489428,256438160721.51096,0.7129742171918118
Imports,5,Q4,low_product_high_partner,149,13,0.03914184200158631,0.05361687006671545,7121332779.792635,0.039140856680879715,179840611689.51443,0.6886222983688548
Imports,5,Q4,low_product_low_partner,65,8,0.04871851129254159,0.04258765915086527,10992289508.011326,0.04871766063287624,233728409188.25214,0.7031270206578358
Imports,5,Q5,high_product_high_partner,100,7,0.041344339217738495,0.04349168701933338,24200305228.528378,0.04134416778396391,558042600304.1257,0.911677091848309
Imports,5,Q5,high_product_low_partner,22,4,0.04394489699102228,0.043754755383107746,76630665553.97928,0.043944879492054084,1839248482879.607,0.9793685920905333
Imports,5,Q5,low_product_high_partner,73,9,0.0192003690834207,0.034433377036353914,7499924240.533725,0.019200264337817366,422368065445.38965,0.8790691134644589
Imports,5,Q5,low_product_low_partner,128,7,0.0141540829226321,0.03975174512195631,9730794626.892818,0.014154054622591356,532781730751.2321,0.9076323942816341
Imports,10,Q1,high_product_high_partner,53,12,0.06951055481555667,0.04167899641135468,187220643.00211334,0.057288239104856864,1959441458.6731052,0.11848625112494086
Imports,10,Q1,high_product_low_partner,175,21,0.09568419725332948,0.04632318116176265,246471855.37707245,0.07038026346905531,1244356823.9329495,0.10011235226355875
Imports,10,Q1,low_product_high_partner,5,4,0.04645468343176965,0.012600076376462382,1112885411.1779084,0.04635288592598723,13524398829.001642,0.15687046004842614
Imports,10,Q1,low_product_low_partner,8,6,0.05991021844048596,0.0908849025564527,230358417.6541664,0.055032462615339756,2287219222.6214385,0.12846914835309256
Imports,10,Q2,high_product_high_partner,66,9,0.036893457251130045,0.03613666257958485,361478461.5420998,0.03600535783468779,7717553358.953488,0.28114300716753354
Imports,10,Q2,high_product_low_partner,103,12,0.065209154397779,0.036627804123956054,1164002753.7803607,0.06434874393208095,10694969776.717701,0.30471651606883765
Imports,10,Q2,low_product_high_partner,55,11,0.0638279334845179,0.05548293673746259,2216884942.659777,0.06372112176482626,15081606869.538967,0.33029320593461386
Imports,10,Q2,low_product_low_partner,35,9,0.0562203732801005,0.055237985348291024,911707722.6944612,0.05523493392065763,14273179246.147491,0.30799567692736496
Imports,10,Q3,high_product_high_partner,19,6,0.031376413678565175,0.055478293446456634,3181887482.1611924,0.0313623294407931,93265784664.36127,0.5166055392969479
Imports,10,Q3,high_product_low_partner,40,11,0.05997668852401642,0.047580613176509114,6396213366.253882,0.05997064237491612,48283612584.00613,0.48630873338679187
Imports,10,Q3,low_product_high_partner,134,17,0.038165443243273034,0.04588057811817106,2827197688.627732,0.0381552083527008,69325651445.57004,0.5048664675123148
Imports,10,Q3,low_product_low_partner,63,9,0.05572957336561897,0.05235144024863633,4700763676.031988,0.055717672025700084,76783306412.96947,0.5084628880734492
Imports,10,Q4,high_product_high_partner,40,9,0.051296995510681564,0.053875229737288984,14752616873.270153,0.05129646049215847,193633144509.61365,0.7482864023130437
Imports,10,Q4,high_product_low_partner,42,7,0.0535006020770634,0.06384839262125767,11130604645.143051,0.05349954743977081,256438160721.51096,0.7129742171918118
Imports,10,Q4,low_product_high_partner,130,13,0.03629716426262675,0.05248852808488109,6744556951.718783,0.03629630239538412,179840611689.51443,0.6886222983688548
Imports,10,Q4,low_product_low_partner,47,8,0.040415680567282924,0.043385926018691436,9158686394.849844,0.04041502230145242,233728409188.25214,0.7031270206578358
Imports,10,Q5,high_product_high_partner,87,7,0.04077396009234935,0.045423969012586204,28000923571.126385,0.04077381652791279,558042600304.1257,0.911677091848309
Imports,10,Q5,high_product_low_partner,17,4,0.034491875220026336,0.03551690513052252,60450720112.06204,0.03449186304101725,1839248482879.607,0.9793685920905333
Imports,10,Q5,low_product_high_partner,54,9,0.018580115437429243,0.03528873717020059,7290946238.001241,0.0185800314323145,422368065445.38965,0.8790691134644589
Imports,10,Q5,low_product_low_partner,102,7,0.015853563292661344,0.04327203624341314,10893734415.148676,0.015853531885227833,532781730751.2321,0.9076323942816341
