country,iso3,reporter_code,year,future_year,horizon,flow,annualized_real_export_growth_log,log_initial_exports_constant_2015_usd,oil_export_share,log_gdp_constant_2015_usd,log_population,log_gni_per_capita_constant_2015_usd
Azerbaijan,AZE,31,1996,1997,1,Exports,0.19709889488590449,20.697753049690256,0.664558988188368,22.889037167216824,15.864879415387817,
Azerbaijan,AZE,31,1996,2001,5,Exports,0.2417144518422269,20.697753049690256,0.664558988188368,22.889037167216824,15.864879415387817,
Azerbaijan,AZE,31,1996,2006,10,Exports,0.21012222504847386,20.697753049690256,0.664558988188368,22.889037167216824,15.864879415387817,
Azerbaijan,AZE,31,1997,1998,1,Exports,-0.26502000364825307,20.89485194457616,0.6144961101048653,22.9454175020514,15.87452615312486,
Azerbaijan,AZE,31,1997,2002,5,Exports,0.18537277087312914,20.89485194457616,0.6144961101048653,22.9454175020514,15.87452615312486,
Azerbaijan,AZE,31,1997,2007,10,Exports,0.182530855923995,20.89485194457616,0.6144961101048653,22.9454175020514,15.87452615312486,
Azerbaijan,AZE,31,1998,1999,1,Exports,0.41317305990174447,20.629831940927907,0.6893581402644605,23.04072767832424,15.884017534591331,
Azerbaijan,AZE,31,1998,2003,5,Exports,0.2716117288524913,20.629831940927907,0.6893581402644605,23.04072767832424,15.884017534591331,
Azerbaijan,AZE,31,1998,2008,10,Exports,0.4139376066340425,20.629831940927907,0.6893581402644605,23.04072767832424,15.884017534591331,
Azerbaijan,AZE,31,1999,2000,1,Exports,0.6079041786970727,21.043005000829652,0.7860304080299937,23.112117686511336,15.8927935215899,
Azerbaijan,AZE,31,1999,2004,5,Exports,0.2495613075177765,21.043005000829652,0.7860304080299937,23.112117686511336,15.8927935215899,
Azerbaijan,AZE,31,1999,2009,10,Exports,0.25400059136744807,21.043005000829652,0.7860304080299937,23.112117686511336,15.8927935215899,
Azerbaijan,AZE,31,2000,2001,1,Exports,0.25541612937466596,21.650909179526725,0.8508249103141393,23.217378189458973,15.90100872122664,
Azerbaijan,AZE,31,2000,2005,5,Exports,0.1595065720020557,21.650909179526725,0.8508249103141393,23.217378189458973,15.90100872122664,
Azerbaijan,AZE,31,2000,2010,10,Exports,0.22911357154179335,21.650909179526725,0.8508249103141393,23.217378189458973,15.90100872122664,
Azerbaijan,AZE,31,2001,2002,1,Exports,-0.08460950995958427,21.90632530890139,0.9174174878849736,23.31177886365513,15.908756380620508,
