diagnostic,value
country_sample,rd2_countries
start_year,1988
end_year,2024
horizons,"1,5,10"
horizon_definition,years from export-growth base year to concentration outcome year
prior_growth_definition,log(real exports in base year) minus log(real exports in base year minus one)
matched_horizon_sample,True
world_bank_export_indicator,NE.EXP.GNFS.KD
world_bank_export_indicator_label,"Exports of goods and services, constant 2015 US$"
panel_rows,11337
analysis_panel_rows,7404
countries,60
years,37
country_years,5676
usable_country_years,3699
usable_country_year_share,0.6516913319238901
usable_country_clusters,57
coverage_status,coverage_limited
missing_control_flow_rows,3933
world_bank_control_rows,2940
duplicate_iso3_year_flow_horizon_rows,0
product_outcome_hs6_999999_rule,excluded upstream before product aggregation
partner_outcome_hs6_999999_rule,included by partner-total convention
imports_rows,5676
exports_rows,5661
horizon_1_candidate_country_years,1892
horizon_1_core_complete_country_years,1752
horizon_1_usable_country_years,1234
horizon_1_usable_country_year_share,0.6522198731501057
horizon_1_usable_country_clusters,57
horizon_1_first_base_year,1987
horizon_1_last_base_year,2014
horizon_1_first_outcome_year,1988
horizon_1_last_outcome_year,2015
horizon_5_candidate_country_years,1892
horizon_5_core_complete_country_years,1706
horizon_5_usable_country_years,1234
horizon_5_usable_country_year_share,0.6522198731501057
horizon_5_usable_country_clusters,57
horizon_5_first_base_year,1987
horizon_5_last_base_year,2014
horizon_5_first_outcome_year,1992
horizon_5_last_outcome_year,2019
horizon_10_candidate_country_years,1892
horizon_10_core_complete_country_years,1625
horizon_10_usable_country_years,1231
horizon_10_usable_country_year_share,0.6506342494714588
horizon_10_usable_country_clusters,57
horizon_10_first_base_year,1987
horizon_10_last_base_year,2014
horizon_10_first_outcome_year,1997
horizon_10_last_outcome_year,2024
