exercise_family,hypothesis,model_label,sample,flow,dimension,metric,outcome,term,coefficient,std_error,t_stat,p_value,ci_low,ci_high,nobs,clusters,r_squared,status,candidate_rows,dropped_rows,dropped_regressors,fixed_effects,se_method,cluster_col,p_value_reference,raw_p_lt_005,q_value,q_lt_005
baseline,Population gradient before adding mechanism controls.,wr_baseline_year_fe,rd2_countries,Imports,product,world_relative_import_product_gini,world_relative_import_product_gini,log_population,-0.03397172953240406,0.007030642438193799,-4.831952389991196,1.158635261143927e-05,-0.04806731893939478,-0.01987614012541333,1375,55,0.709813085853805,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",True,1.5448470148585694e-05,True
baseline,Population gradient before adding mechanism controls.,wr_baseline_year_fe,rd2_countries,Imports,product,world_relative_import_product_gini,world_relative_import_product_gini,log_gdp_per_capita,-0.07545760147964625,0.00542698099400161,-13.90415805086637,1.7436033630353898e-19,-0.08633804327191032,-0.06457715968738219,1375,55,0.709813085853805,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",True,6.974413452141559e-19,True
baseline,Standard active-HS6 Product Gini comparison.,standard_active_hs6_baseline_year_fe,rd2_countries,Imports,product,standard_active_import_product_gini,active_product_gini,log_population,-0.0021663083330212057,0.001949081708498844,-1.1114507532317188,0.27129852614996297,-0.00607398188137673,0.0017413652153343189,1375,55,0.4304723047328113,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",False,0.27129852614996297,False
baseline,Standard active-HS6 Product Gini comparison.,standard_active_hs6_baseline_year_fe,rd2_countries,Imports,product,standard_active_import_product_gini,active_product_gini,log_gdp_per_capita,-0.013203736613165143,0.001702474256556738,-7.755616017284021,2.448870375167723e-10,-0.016616991988809105,-0.009790481237521178,1375,55,0.4304723047328113,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",True,4.897740750335446e-10,True
active_count,"If active variety breadth explains the gradient, the population coefficient should shrink.",wr_plus_standard_active_count,rd2_countries,Imports,product,world_relative_import_product_gini,world_relative_import_product_gini,log_population,-0.021108422485536682,0.007098403584712781,-2.9736858764970857,0.004390730506910833,-0.0353398648117272,-0.0068769801593461695,1375,55,0.7566740056694328,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",True,0.004390730506910833,True
active_count,"If active variety breadth explains the gradient, the population coefficient should shrink.",wr_plus_standard_active_count,rd2_countries,Imports,product,world_relative_import_product_gini,world_relative_import_product_gini,log_gdp_per_capita,-0.04613564303114137,0.009214004746766114,-5.00712169128563,6.250248710563622e-06,-0.06460861030919919,-0.027662675753083548,1375,55,0.7566740056694328,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",True,1.1421024540350446e-05,True
active_count,"If active variety breadth explains the gradient, the population coefficient should shrink.",wr_plus_standard_active_count,rd2_countries,Imports,product,world_relative_import_product_gini,world_relative_import_product_gini,log_standard_active_import_products,-0.4024444944028268,0.08098149557841326,-4.969585848326861,7.138140337719029e-06,-0.5648026176144803,-0.24008637119117335,1375,55,0.7566740056694328,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",True,1.1421024540350446e-05,True
active_count,"If harmonized product-family breadth explains the gradient, the population coefficient should shrink.",wr_plus_harmonized_active_count,rd2_countries,Imports,product,world_relative_import_product_gini,world_relative_import_product_gini,log_population,-0.02269953925021931,0.007084876606697127,-3.2039427798590165,0.002275907573964841,-0.03690386161835446,-0.008495216882084157,1375,55,0.7485526694516578,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",True,0.00260103722738839,True
active_count,"If harmonized product-family breadth explains the gradient, the population coefficient should shrink.",wr_plus_harmonized_active_count,rd2_countries,Imports,product,world_relative_import_product_gini,world_relative_import_product_gini,log_gdp_per_capita,-0.05023787177325487,0.008732707219381049,-5.752840500796681,4.2341711981075044e-07,-0.06774589560720226,-0.032729847939307485,1375,55,0.7485526694516578,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",True,1.1291123194953345e-06,True
active_count,"If harmonized product-family breadth explains the gradient, the population coefficient should shrink.",wr_plus_harmonized_active_count,rd2_countries,Imports,product,world_relative_import_product_gini,world_relative_import_product_gini,log_harmonized_active_import_products,-0.40431091741170133,0.08403862485258279,-4.811013008850721,1.2467635885400602e-05,-0.5727982157864506,-0.235823619036952,1375,55,0.7485526694516578,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",True,1.6623514513867468e-05,True
active_count,Large countries should have broader active import baskets if the variety-count mechanism is real.,harmonized_active_count_outcome,rd2_countries,Imports,product,log_harmonized_active_import_products,log_harmonized_active_import_products,log_population,0.0278800047110931,0.004577837556125101,6.0902127629648914,1.2218318345482073e-07,0.018701993010128454,0.03705801641205775,1375,55,0.6773382130627439,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",True,4.887327338192829e-07,True
active_count,Large countries should have broader active import baskets if the variety-count mechanism is real.,harmonized_active_count_outcome,rd2_countries,Imports,product,log_harmonized_active_import_products,log_harmonized_active_import_products,log_gdp_per_capita,0.06237706829150594,0.007604293228555231,8.202875193880075,4.648171191849865e-11,0.04713137829626687,0.077622758286745,1375,55,0.6773382130627439,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",True,3.718536953479892e-10,True
common_zero_universe,"If large countries are less concentrated even over a common product universe, the coefficient remains negative.",common_zero_baseline_year_fe,rd2_countries,Imports,product,harmonized_common_zero_product_gini,harmonized_common_zero_gini,log_population,-0.004528064211006792,0.0019682438374509794,-2.3005605935852786,0.025305785878366623,-0.008474155514816041,-0.0005819729071975428,1375,55,0.5375215288295614,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",True,0.031632232347958276,True
