country,iso3,reporter_code,snapshot,year,top5_share,rank6_50_share,rank51_200_share,rank201_plus_share,long_tail_rank51_plus_share,top10_share,active_nonenergy_products,total_nonenergy_imports,source_file
Armenia,ARM,51,start,1997,0.299672662021622,0.37362128282108015,0.18569362840447773,0.1410124267528201,0.32670605515729784,0.44056657943295086,2307,537122215.0,COMTRADE-FINAL-CA0511997H1[2002-09-01].parquet
Armenia,ARM,51,mid,2011,0.11246223953532582,0.2820063694426039,0.26886907983139685,0.3366623111906734,0.6055313910220704,0.17999350940970138,3769,3184261993.0,COMTRADE-FINAL-CA0512011H3[2012-03-20].parquet
Armenia,ARM,51,end,2024,0.4885728515402663,0.16018496791149162,0.1459143916745475,0.20532778887369457,0.3512421805482421,0.5375989749258223,4471,15751070944.710001,COMTRADE-FINAL-CA0512024H6[2025-08-21].parquet
Australia,AUS,36,start,1988,0.08695085169091261,0.2171814906022361,0.22229359312392533,0.473574064582926,0.6958676577068512,0.13179361851269408,4557,31054302281.0,COMTRADE-FINAL-CA0361988H0[2005-12-14].parquet
Australia,AUS,36,mid,2007,0.147877227634108,0.23406217373307237,0.22106366569143765,0.3969969329413819,0.6180605986328197,0.20149893251881268,4451,141081437587.0,COMTRADE-FINAL-CA0362007H3[2008-03-11].parquet
Australia,AUS,36,end,2025,0.12625408865521393,0.27535564358316394,0.22109720889481627,0.37729305886680586,0.5983902677616222,0.20958369980767555,5081,270518275005.548,COMTRADE-FINAL-CA0362025H6[2026-03-06].parquet
Austria,AUT,40,start,1994,0.09072344177860925,0.19245027975114323,0.21565429547153797,0.5011719829987096,0.7168262784702475,0.12836746954475325,4582,51795848205.0,COMTRADE-FINAL-CA0401994H0[2002-09-01].parquet
Austria,AUT,40,mid,2009,0.0994376344862699,0.2062966460488433,0.21588009128345603,0.4783856281814308,0.6942657194648867,0.1472742617567865,4551,117046047798.0,COMTRADE-FINAL-CA0402009H3[2010-04-28].parquet
Austria,AUT,40,end,2024,0.07721962569488933,0.20754349959290572,0.2350894708038601,0.48014740390834487,0.715236874712205,0.11477586653770884,5198,183643741784.254,COMTRADE-FINAL-CA0402024H6[2025-07-07].parquet
Azerbaijan,AZE,31,start,1996,0.23622602810553717,0.317762945408336,0.23656608279185987,0.209444943694267,0.44601102648612684,0.31447712824503193,2607,915002829.0,COMTRADE-FINAL-CA0311996H0[2003-06-03].parquet
Azerbaijan,AZE,31,mid,2011,0.17900013145805474,0.3078955764267218,0.24980196861093434,0.26330232350428917,0.5131042921152237,0.25624150828520537,3665,9628310739.0,COMTRADE-FINAL-CA0312011H3[2012-04-05].parquet
Azerbaijan,AZE,31,end,2025,0.3817350839127238,0.16705328532112604,0.1770279721975641,0.2741836585685861,0.4512116307661502,0.42599276263042507,4479,22310360960.37,COMTRADE-FINAL-CA0312025H6[2026-03-08].parquet
Belgium,BEL,56,start,1999,0.14231360660178008,0.19411829346106715,0.21531915147663355,0.4482489484605191,0.6635680999371527,0.18683434376947494,4700,149838306717.0,COMTRADE-FINAL-CA0561999H1[2005-06-10].parquet
Belgium,BEL,56,mid,2012,0.14698980331640624,0.2122723758249642,0.21933598380144342,0.42140183705718626,0.6407378208586296,0.19829433470131563,4590,236843788053.60498,COMTRADE-FINAL-CA0562012H4[2021-05-19].parquet
Belgium,BEL,56,end,2024,0.15368221000569163,0.22647235144085595,0.21906887748196932,0.4007765610714832,0.6198454385534524,0.20141884013529746,5450,299152485685.795,COMTRADE-FINAL-CA0562024H6[2026-03-12].parquet
Brazil,BRA,76,start,1989,0.07598759250131609,0.2515067194963073,0.2660618415191599,0.4064438464832168,0.6725056880023766,0.1263786969335552,4092,14499628699.0,COMTRADE-FINAL-CA0761989H0[2002-09-01].parquet
Brazil,BRA,76,mid,2007,0.08714611017798672,0.2778506263091138,0.24711197110226166,0.3878912924106378,0.6350032635128994,0.14931800308243873,4607,102914688971.0,COMTRADE-FINAL-CA0762007H3[2023-08-31].parquet
Brazil,BRA,76,end,2025,0.0961589512434161,0.2790371024262111,0.24927161083362143,0.37553233549675136,0.6248039463303727,0.15946765167002552,4887,262215888245.0,COMTRADE-FINAL-CA0762025H6[2026-01-17].parquet
Burkina Faso,BFA,854,start,1995,0.18223306981568008,0.3515741704102628,0.24014619623596917,0.2260465635380879,0.46619275977405705,0.26551004680878604,3165,416443827.0,COMTRADE-FINAL-CA8541995H0[2002-09-01].parquet
Burkina Faso,BFA,854,mid,2010,0.14169137837883983,0.3610129117938774,0.27308555646401866,0.22421015336326397,0.49729570982728266,0.22528245157106666,3017,1771438790.2340002,COMTRADE-FINAL-CA8542010H3[2022-07-11].parquet
Burkina Faso,BFA,854,end,2024,0.17638205011616434,0.34323281449098636,0.26581772232745515,0.2145674130653941,0.48038513539284916,0.2689565124820932,3348,3743752663.9480004,COMTRADE-FINAL-CA8542024H6[2025-03-06].parquet
Cambodia,KHM,116,start,2000,0.3753171183254067,0.3295139456881677,0.16364414706611102,0.13152478892031458,0.29516893598642563,0.46689212460712026,2995,1246849262.0,COMTRADE-FINAL-CA1162000H1[2005-05-06].parquet
Cambodia,KHM,116,mid,2012,0.33132904667655844,0.3329528398007983,0.2000838513014227,0.13563426222122055,0.3357181135226432,0.42110434454914575,2931,6283444515.0,COMTRADE-FINAL-CA1162012H4[2016-10-11].parquet
Cambodia,KHM,116,end,2024,0.17814726143140097,0.24719986716927184,0.26547158870431775,0.30918128269500944,0.5746528713993272,0.22684368473415156,4289,24810189909.61,COMTRADE-FINAL-CA1162024H6[2026-04-27].parquet
Canada,CAN,124,start,1989,0.1658534905122778,0.23661232321319817,0.18247349971942783,0.4150606865550962,0.597534186274524,0.23066694484285546,4646,103844411666.0,COMTRADE-FINAL-CA1241989H0[2005-12-02].parquet
Canada,CAN,124,mid,2007,0.12615829801771722,0.23033611087236142,0.22374864149602192,0.41975694961389953,0.6435055911099213,0.17844946604160983,4626,329384340031.0,COMTRADE-FINAL-CA1242007H3[2008-03-14].parquet
Canada,CAN,124,end,2025,0.11372863729455854,0.23134500704332372,0.22033083485685162,0.43459552080526614,0.6549263556621178,0.16237445398759898,5490,524875850500.726,COMTRADE-FINAL-CA1242025H6[2026-04-28].parquet
China,CHN,156,start,1992,0.06969951053452014,0.24554708013686685,0.26764893754540603,0.4171044717832069,0.684753409328613,0.11725514444250505,4581,77215644525.0,COMTRADE-FINAL-CA1561992H0[2005-12-30].parquet
China,CHN,156,mid,2008,0.23944673375869077,0.2778439051266626,0.21983732952495078,0.2628720315896958,0.48270936111464663,0.3222259529571914,4516,951699060897.0,COMTRADE-FINAL-CA1562008H3[2009-06-03].parquet
China,CHN,156,end,2024,0.2896989510173563,0.30264613267815427,0.1939189267629642,0.21373598954152526,0.4076549163044895,0.39411178773603084,5047,2078920685843.0,COMTRADE-FINAL-CA1562024H6[2025-07-04].parquet
"China, Hong Kong SAR",HKG,344,start,1993,0.10197711987056252,0.26690952050462086,0.2461726343024323,0.3849407253223844,0.6311133596248166,0.1626953360302214,4181,136208842372.0,COMTRADE-FINAL-CA3441993H0[2006-01-09].parquet
"China, Hong Kong SAR",HKG,344,mid,2009,0.23636703345704005,0.35741592496698954,0.1926800112429649,0.21353703033300547,0.4062170415759704,0.351434367344064,4509,334352141545.0,COMTRADE-FINAL-CA3442009H3[2010-05-18].parquet
"China, Hong Kong SAR",HKG,344,end,2025,0.4893792619657158,0.350219420464328,0.08995460497093388,0.07044671259902213,0.16040131756995604,0.6341301205114133,4517,817808224861.7902,COMTRADE-FINAL-CA3442025H6[2026-05-05].parquet
Costa Rica,CRI,188,start,1994,0.12117232745152329,0.25793904932767536,0.2282830485269432,0.3926055746938581,0.6208886232208013,0.18311403739621643,4336,2945354385.0,COMTRADE-FINAL-CA1881994H0[2002-09-01].parquet
Costa Rica,CRI,188,mid,2009,0.24180408450799717,0.2053836514610289,0.21345867709962318,0.33935358693135076,0.5528122640309739,0.29103472042151857,4017,7846477378.0,COMTRADE-FINAL-CA1882009H3[2010-05-12].parquet
Costa Rica,CRI,188,end,2024,0.09729367163030385,0.26549853014631336,0.2513728547656814,0.38583494345770153,0.6372077982233829,0.1631767334451133,4528,21250927742.725,COMTRADE-FINAL-CA1882024H6[2025-10-05].parquet
Croatia,HRV,191,start,1992,0.09887608281336249,0.2129424764223732,0.21989664365051886,0.4682847971137454,0.6881814407642642,0.1555379164707088,4435,3779178173.0,COMTRADE-FINAL-CA1911992H0[2002-09-01].parquet
Croatia,HRV,191,mid,2009,0.07562167304310594,0.20195723959435521,0.2493424800039188,0.47307860735862006,0.722421087362539,0.11094497715078473,4325,16749233203.0,COMTRADE-FINAL-CA1912009H3[2010-02-09].parquet
Croatia,HRV,191,end,2025,0.08165462488925726,0.2017461916875014,0.25690428710590135,0.45969489631733995,0.7165991834232414,0.11991580165725328,5079,42340938357.0,COMTRADE-FINAL-CA1912025H6[2026-04-24].parquet
Czech Republic,CZE,203,start,1993,0.06411849810045256,0.17708342688473047,0.22854505785111917,0.5302530171636978,0.7587980750148169,0.10044389610085812,4667,11018898320.0,COMTRADE-FINAL-CA2031993H0[2002-09-01].parquet
Czech Republic,CZE,203,mid,2009,0.10955262303357571,0.25197516943078163,0.22879997118653622,0.4096722363491065,0.6384722075356427,0.16936521807739444,4539,90319665098.0,COMTRADE-FINAL-CA2032009H3[2010-06-07].parquet
Czech Republic,CZE,203,end,2025,0.11887879495985945,0.2795325991597859,0.22326448364592494,0.37832412223442957,0.6015886058803547,0.18764335872285337,5308,234328991856.0,COMTRADE-FINAL-CA2032025H6[2026-04-29].parquet
Denmark,DNK,208,start,1989,0.07880600549987846,0.19599912907844702,0.21587640371797093,0.5093184617037035,0.7251948654216746,0.11786245541159547,4511,22504396559.0,COMTRADE-FINAL-CA2081989H0[2002-09-01].parquet
Denmark,DNK,208,mid,2007,0.07757959688627236,0.21382196721663152,0.23569411891220637,0.47290431698488966,0.7085984358970963,0.11900472646194919,4493,85520255393.0,COMTRADE-FINAL-CA2082007H3[2008-08-11].parquet
Denmark,DNK,208,end,2025,0.1261046091005607,0.20672429537748685,0.227219922342262,0.43995117317969046,0.6671710955219525,0.1734131292203324,5316,130648991797.523,COMTRADE-FINAL-CA2082025H6[2026-03-10].parquet
Egypt,EGY,818,start,1994,0.16621531830186667,0.27871061148902904,0.23244401722446323,0.32263005298464104,0.5550740702091044,0.226497190340574,3942,9474866866.0,COMTRADE-FINAL-CA8181994H0[2002-09-01].parquet
Egypt,EGY,818,mid,2010,0.15656804036078226,0.2867215283396658,0.2276377348452374,0.3290726964543146,0.5567104312995519,0.23341051857827239,4375,43374719300.0,COMTRADE-FINAL-CA8182010H3[2011-03-22].parquet
Egypt,EGY,818,end,2025,0.15600327006790987,0.29726458890516605,0.22212577760319127,0.324606363423733,0.5467321410269241,0.23481748181447848,4681,78552165966.204,COMTRADE-FINAL-CA8182025H6[2026-04-16].parquet
Finland,FIN,246,start,1988,0.07859628372047658,0.22110721220233817,0.21704969176264793,0.4832468123145373,0.7002965040771854,0.12155203763418772,4701,19030939991.0,COMTRADE-FINAL-CA2461988H0[2002-09-01].parquet
Finland,FIN,246,mid,2007,0.14716363611971564,0.2531627994803184,0.22100618833240215,0.3786673760675638,0.599673564399966,0.2128416510597855,4426,66526986633.0,COMTRADE-FINAL-CA2462007H3[2008-04-17].parquet
Finland,FIN,246,end,2025,0.11617850051223463,0.23761014246158516,0.22466690875802198,0.42154444826815823,0.6462113570261802,0.17240483972870957,4935,71195945541.748,COMTRADE-FINAL-CA2462025H6[2026-04-28].parquet
France,FRA,251,start,1994,0.08787907676908395,0.19486742302641957,0.20395554752612605,0.5132979526783704,0.7172535002044965,0.13721343046224507,4760,200952940737.0,COMTRADE-FINAL-CA2511994H0[2002-09-01].parquet
France,FRA,251,mid,2009,0.11451922358954669,0.19269293286532274,0.2277710633608379,0.46501678018429277,0.6927878435451307,0.15458395899173977,4952,447338503801.0,COMTRADE-FINAL-CA2512009H3[2010-02-18].parquet
France,FRA,251,end,2024,0.07470223454814566,0.2203373879949735,0.21823737349318678,0.4867230039636941,0.7049603774568808,0.1305578155039578,5506,664347379336.204,COMTRADE-FINAL-CA2512024H6[2025-06-20].parquet
Georgia,GEO,268,start,1996,0.3779511300375055,0.2878788356346233,0.19513053382895199,0.13903950049891922,0.3341700343278712,0.4617836073091111,2055,421652421.0,COMTRADE-FINAL-CA2681996H0[2005-11-22].parquet
