country,iso3,reporter_code,flow,n_years,first_year,last_year,first_partner_gini,last_partner_gini,endpoint_change,abs_endpoint_change,mean_partner_gini,sd_partner_gini,min_partner_gini,max_partner_gini,range_partner_gini,first_partner_active_count,last_partner_active_count,min_partner_active_count,median_partner_active_count,mean_partner_active_count,slope_per_year,slope_per_decade,slope_std_error,slope_p_value,slope_ci_low,slope_ci_high,slope_se_method,slope_hac_maxlags,status,window,slope_q_value,abs_slope_per_decade,stable_slope_10yr_0p02,stable_endpoint_0p05,stable_sd_0p02,low_active_partner_warning
Azerbaijan,AZE,31,Exports,21,2001,2021,0.9132156539114826,0.9050196328092266,-0.008196021102256035,0.008196021102256035,0.8845344786625599,0.01907732948535333,0.852167175625071,0.9132156539114826,0.06104847828641158,86.0,119.0,82.0,105.0,102.23809523809524,-0.0006875089817827851,-0.0068750898178278515,0.0008856507294542294,0.43758632311824885,-0.0024233525143947023,0.0010483345508291318,HAC/Newey-West,3,ok,balanced_2001_2021,0.5268896543668711,0.0068750898178278515,True,True,True,False
Azerbaijan,AZE,31,Imports,21,2001,2021,0.8501670155722463,0.8897652219923802,0.0395982064201339,0.0395982064201339,0.8736696070850096,0.015859294360940593,0.845789155521103,0.898442146519878,0.05265299099877496,111.0,165.0,109.0,134.0,139.04761904761904,0.002305728765451069,0.023057287654510688,0.00019768251535484695,1.9514140471269214e-31,0.0019182781549822825,0.002693179375919855,HAC/Newey-West,3,ok,balanced_2001_2021,2.927121070690382e-30,0.023057287654510688,False,True,True,False
Australia,AUS,36,Exports,21,2001,2021,0.9140369125975508,0.947477295496673,0.03344038289912221,0.03344038289912221,0.9294659392649327,0.012866310186834238,0.9110798312322108,0.947477295496673,0.03639746426446222,218.0,213.0,211.0,213.0,213.47619047619048,0.001970448635966458,0.01970448635966458,0.0001251916900887692,8.114293807083686e-56,0.0017250774322287703,0.0022158198397041456,HAC/Newey-West,3,ok,balanced_2001_2021,4.787433346179375e-54,0.01970448635966458,True,True,True,False
Australia,AUS,36,Imports,21,2001,2021,0.9086777705028076,0.911686284808559,0.003008514305751331,0.003008514305751331,0.9095682132187777,0.003815495278371186,0.9041520020257204,0.9176448620828696,0.013492860057149114,203.0,215.0,203.0,212.0,211.76190476190476,0.0003488136681025992,0.003488136681025992,0.00011619193569552192,0.0026817064632621837,0.00012108165884538232,0.000576545677359816,HAC/Newey-West,3,ok,balanced_2001_2021,0.0059593476961381855,0.003488136681025992,True,True,True,False
Austria,AUT,40,Exports,21,2001,2021,0.9089595448246092,0.9078031522243264,-0.001156392600282774,0.001156392600282774,0.9036750466882304,0.005117523532813753,0.8955786389736178,0.9134009700517234,0.017822331078105602,203.0,221.0,203.0,218.0,217.14285714285714,-0.00028509070788365794,-0.0028509070788365794,0.00025339003531068616,0.2605440207555575,-0.0007817260511339354,0.00021154463536661948,HAC/Newey-West,3,ok,balanced_2001_2021,0.3474339926836951,0.0028509070788365794,True,True,True,False
Austria,AUT,40,Imports,21,2001,2021,0.9242512048929414,0.9181451533219452,-0.006106051570996196,0.006106051570996196,0.9226490497205908,0.0052489079350101645,0.91175072262865,0.929585962329978,0.017835239701328054,213.0,224.0,196.0,219.0,218.23809523809524,-0.0006685956274121631,-0.0066859562741216315,8.562159364926097e-05,5.776859661577907e-15,-0.0008364108672636381,-0.0005007803875606882,HAC/Newey-West,3,ok,balanced_2001_2021,4.951593995638206e-14,0.0066859562741216315,True,True,True,False
Armenia,ARM,51,Exports,21,2001,2021,0.8667227003890738,0.8921961988352998,0.02547349844622593,0.02547349844622593,0.8757702936271983,0.013324439731203137,0.8461293339161136,0.9018849123987132,0.0557555784825996,74.0,101.0,74.0,92.0,91.14285714285714,0.0010894508898684936,0.010894508898684936,0.00042323201298657764,0.010049479328378044,0.00025993138731041305,0.0019189703924265742,HAC/Newey-West,3,ok,balanced_2001_2021,0.02117568858479659,0.010894508898684936,True,True,True,False
Armenia,ARM,51,Imports,21,2001,2021,0.819623215297546,0.9160518077051454,0.09642859240759938,0.09642859240759938,0.8654546979394555,0.03007362603825011,0.8055376056734478,0.9160518077051454,0.1105142020316976,84.0,189.0,84.0,155.0,144.23809523809524,0.004538985211005731,0.045389852110057305,0.0003330926575053557,2.775039354925219e-42,0.003886135598780498,0.005191834823230964,HAC/Newey-West,3,ok,balanced_2001_2021,8.325118064775657e-41,0.045389852110057305,False,False,False,False
Belgium,BEL,56,Exports,21,2001,2021,0.919642201869804,0.9000852454497914,-0.01955695642001265,0.01955695642001265,0.9100259302821099,0.008168684886035444,0.9000852454497914,0.9218913796405256,0.021806134190734183,219.0,232.0,218.0,227.0,226.38095238095238,-0.0012156045874881817,-0.012156045874881817,0.00012606500064851685,5.2790863960624415e-22,-0.0014626874484702933,-0.0009685217265060701,HAC/Newey-West,3,ok,balanced_2001_2021,1.0382203245589469e-20,0.012156045874881817,True,True,True,False
Belgium,BEL,56,Imports,21,2001,2021,0.9067619909452288,0.9223962089281794,0.015634217982950616,0.015634217982950616,0.9160477268807706,0.0036111914395708395,0.9067619909452288,0.9223962089281794,0.015634217982950616,198.0,234.0,198.0,218.0,216.95238095238096,0.0003483491320961842,0.003483491320961842,0.0001078996575324577,0.0012446106778378958,0.00013686968938836117,0.0005598285748040073,HAC/Newey-West,3,ok,balanced_2001_2021,0.0031115266945947392,0.003483491320961842,True,True,True,False
