country,iso3,reporter_code,snapshot,year,rank,cmd_code,product_label,exercise_03_bin,trade_value,share_nonenergy_imports,total_nonenergy_imports,source_file
Armenia,ARM,51,start,1997,1,710231,Unworked non-industrial diamonds,intermediates,43669288.0,0.08130233079262976,537122215.0,COMTRADE-FINAL-CA0511997H1[2002-09-01].parquet
Armenia,ARM,51,start,1997,2,100110,Durum wheat,intermediates,39251192.0,0.0730768359673971,537122215.0,COMTRADE-FINAL-CA0511997H1[2002-09-01].parquet
Armenia,ARM,51,start,1997,3,110100,Wheat or meslin flour,intermediates,33958806.0,0.06322361103608422,537122215.0,COMTRADE-FINAL-CA0511997H1[2002-09-01].parquet
Armenia,ARM,51,start,1997,4,300490,Medicaments,intermediates,22461711.0,0.04181862222920718,537122215.0,COMTRADE-FINAL-CA0511997H1[2002-09-01].parquet
Armenia,ARM,51,start,1997,5,170199,"Sugars; sucrose, chemically pure, in solid form, not containing added...",final_consumption,21619847.0,0.040251261996303765,537122215.0,COMTRADE-FINAL-CA0511997H1[2002-09-01].parquet
Armenia,ARM,51,start,1997,6,300410,"Medicaments; containing penicillins, streptomycins or their derivativ...",intermediates,19952927.0,0.0371478342224218,537122215.0,COMTRADE-FINAL-CA0511997H1[2002-09-01].parquet
Armenia,ARM,51,start,1997,7,851790,Parts,intermediates,16356268.0,0.030451669179238843,537122215.0,COMTRADE-FINAL-CA0511997H1[2002-09-01].parquet
Armenia,ARM,51,start,1997,8,020713,"Meat and edible offal; of fowls of the species Gallus domesticus, cut...",final_consumption,15765351.0,0.02935151546468805,537122215.0,COMTRADE-FINAL-CA0511997H1[2002-09-01].parquet
Armenia,ARM,51,start,1997,9,240220,Cigarettes; containing tobacco,final_consumption,11824001.0,0.02201361379178852,537122215.0,COMTRADE-FINAL-CA0511997H1[2002-09-01].parquet
Armenia,ARM,51,start,1997,10,020230,"Meat; of bovine animals, boneless cuts, frozen",final_consumption,11778706.0,0.0219292847531916,537122215.0,COMTRADE-FINAL-CA0511997H1[2002-09-01].parquet
Armenia,ARM,51,mid,2011,1,710231,Unworked non-industrial diamonds,intermediates,80135589.0,0.025166141848931713,3184261993.0,COMTRADE-FINAL-CA0512011H3[2012-03-20].parquet
Armenia,ARM,51,mid,2011,2,300490,Medicaments,intermediates,77885403.0,0.024459483287247213,3184261993.0,COMTRADE-FINAL-CA0512011H3[2012-03-20].parquet
Armenia,ARM,51,mid,2011,3,100110,Durum wheat,intermediates,74379444.0,0.02335845610804299,3184261993.0,COMTRADE-FINAL-CA0512011H3[2012-03-20].parquet
Armenia,ARM,51,mid,2011,4,760110,"Aluminium; unwrought, (not alloyed)",intermediates,69972916.0,0.021974610177749907,3184261993.0,COMTRADE-FINAL-CA0512011H3[2012-03-20].parquet
Armenia,ARM,51,mid,2011,5,240220,Cigarettes; containing tobacco,final_consumption,55735883.0,0.017503548113354,3184261993.0,COMTRADE-FINAL-CA0512011H3[2012-03-20].parquet
Armenia,ARM,51,mid,2011,6,170111,Raw sugar not containing added flavouring or colouring matter :-- Cane sugar,intermediates,50296977.0,0.015795489539041835,3184261993.0,COMTRADE-FINAL-CA0512011H3[2012-03-20].parquet
Armenia,ARM,51,mid,2011,7,710812,Unwrought gold,intermediates,48023628.0,0.015081556764352588,3184261993.0,COMTRADE-FINAL-CA0512011H3[2012-03-20].parquet
Armenia,ARM,51,mid,2011,8,710239,Other non-industrial diamonds,intermediates,45226471.0,0.014203124962525657,3184261993.0,COMTRADE-FINAL-CA0512011H3[2012-03-20].parquet
Armenia,ARM,51,mid,2011,9,020714,"Meat and edible offal; of fowls of the species Gallus domesticus, cut...",final_consumption,36556928.0,0.011480502571824654,3184261993.0,COMTRADE-FINAL-CA0512011H3[2012-03-20].parquet
Armenia,ARM,51,mid,2011,10,721499,"Iron or non-alloy steel; bars and rods, hot-rolled, hot-drawn or hot-...",intermediates,34933252.0,0.010970596036630835,3184261993.0,COMTRADE-FINAL-CA0512011H3[2012-03-20].parquet
Armenia,ARM,51,end,2024,1,710812,Unwrought gold,intermediates,5942040819.080001,0.3772467815006342,15751070944.710001,COMTRADE-FINAL-CA0512024H6[2025-08-21].parquet
Armenia,ARM,51,end,2024,2,851713,Smartphones,final_consumption,759564872.94,0.048223062140108006,15751070944.710001,COMTRADE-FINAL-CA0512024H6[2025-08-21].parquet
Armenia,ARM,51,end,2024,3,710691,"Metals; silver, unwrought, (but not powder)",intermediates,388761063.40000004,0.02468156386093642,15751070944.710001,COMTRADE-FINAL-CA0512024H6[2025-08-21].parquet
Armenia,ARM,51,end,2024,4,710231,Unworked non-industrial diamonds,intermediates,352245179.60999995,0.02236325268589445,15751070944.710001,COMTRADE-FINAL-CA0512024H6[2025-08-21].parquet
Armenia,ARM,51,end,2024,5,711021,"Metals; palladium, unwrought or in powder form",intermediates,252933711.24,0.01605819135269325,15751070944.710001,COMTRADE-FINAL-CA0512024H6[2025-08-21].parquet
Armenia,ARM,51,end,2024,6,852872,Television receivers,final_consumption,180832267.43,0.011480633162326816,15751070944.710001,COMTRADE-FINAL-CA0512024H6[2025-08-21].parquet
Armenia,ARM,51,end,2024,7,711011,"Metals; platinum, unwrought or in powder form",intermediates,160108547.81,0.010164930903556909,15751070944.710001,COMTRADE-FINAL-CA0512024H6[2025-08-21].parquet
Armenia,ARM,51,end,2024,8,847130,Portable computers/laptops,capital_goods,152407952.72,0.009676037474212903,15751070944.710001,COMTRADE-FINAL-CA0512024H6[2025-08-21].parquet
Armenia,ARM,51,end,2024,9,710239,Other non-industrial diamonds,intermediates,147750627.12,0.009380354366927798,15751070944.710001,COMTRADE-FINAL-CA0512024H6[2025-08-21].parquet
Armenia,ARM,51,end,2024,10,300490,Medicaments,intermediates,131114552.51,0.008324167478531664,15751070944.710001,COMTRADE-FINAL-CA0512024H6[2025-08-21].parquet
Australia,AUS,36,start,1988,1,870323,"Petrol cars, 1500-3000cc",final_consumption,933951320.0,0.03007478034924072,31054302281.0,COMTRADE-FINAL-CA0361988H0[2005-12-14].parquet
Australia,AUS,36,start,1988,2,847330,"Machinery; parts and accessories (other than covers, carrying cases a...",intermediates,639556924.0,0.02059479289577538,31054302281.0,COMTRADE-FINAL-CA0361988H0[2005-12-14].parquet
Australia,AUS,36,start,1988,3,880240,Large aircraft,capital_goods,409558996.0,0.013188478436708626,31054302281.0,COMTRADE-FINAL-CA0361988H0[2005-12-14].parquet
Australia,AUS,36,start,1988,4,847120,Digital computers with cpu and input-output units,capital_goods,376610223.0,0.012127473339834847,31054302281.0,COMTRADE-FINAL-CA0361988H0[2005-12-14].parquet
Australia,AUS,36,start,1988,5,870899,Vehicle parts and accessories; n.e.c. in heading no. 8708,intermediates,340520569.0,0.010965326669353032,31054302281.0,COMTRADE-FINAL-CA0361988H0[2005-12-14].parquet
Australia,AUS,36,start,1988,6,490199,"Printed matter; books, brochures, leaflets and similar printed matter...",final_consumption,305795498.0,0.009847121833005899,31054302281.0,COMTRADE-FINAL-CA0361988H0[2005-12-14].parquet
Australia,AUS,36,start,1988,7,847191,Digital computer cpu with some of storage/input/outpu,capital_goods,296851122.0,0.009559098102217639,31054302281.0,COMTRADE-FINAL-CA0361988H0[2005-12-14].parquet
Australia,AUS,36,start,1988,8,847192,Computer input or output units,capital_goods,272910113.0,0.008788157934785577,31054302281.0,COMTRADE-FINAL-CA0361988H0[2005-12-14].parquet
Australia,AUS,36,start,1988,9,870421,Vehicles; with only compression-ignition internal combustion piston e...,capital_goods,260707486.0,0.008395213121871008,31054302281.0,COMTRADE-FINAL-CA0361988H0[2005-12-14].parquet
Australia,AUS,36,start,1988,10,440710,Coniferous,intermediates,256296617.0,0.008253175829901364,31054302281.0,COMTRADE-FINAL-CA0361988H0[2005-12-14].parquet
Australia,AUS,36,mid,2007,1,870323,"Petrol cars, 1500-3000cc",final_consumption,7304910131.0,0.051777967788961016,141081437587.0,COMTRADE-FINAL-CA0362007H3[2008-03-11].parquet
Australia,AUS,36,mid,2007,2,300490,Medicaments,intermediates,4762538855.0,0.03375737401359487,141081437587.0,COMTRADE-FINAL-CA0362007H3[2008-03-11].parquet
Australia,AUS,36,mid,2007,3,710813,"Metals; gold, semi-manufactured",intermediates,4681691485.0,0.03318431939079841,141081437587.0,COMTRADE-FINAL-CA0362007H3[2008-03-11].parquet
Australia,AUS,36,mid,2007,4,870421,Vehicles; with only compression-ignition internal combustion piston e...,capital_goods,2187130097.0,0.015502607106985802,141081437587.0,COMTRADE-FINAL-CA0362007H3[2008-03-11].parquet
Australia,AUS,36,mid,2007,5,851712,Telephones for cellular networks or for other wireless networks,final_consumption,1926461293.0,0.013654959333767907,141081437587.0,COMTRADE-FINAL-CA0362007H3[2008-03-11].parquet
Australia,AUS,36,mid,2007,6,870324,"Petrol cars, >3000cc",final_consumption,1825525118.0,0.012939513157953627,141081437587.0,COMTRADE-FINAL-CA0362007H3[2008-03-11].parquet
Australia,AUS,36,mid,2007,7,847130,Portable computers/laptops,capital_goods,1815383679.0,0.012867629576573574,141081437587.0,COMTRADE-FINAL-CA0362007H3[2008-03-11].parquet
Australia,AUS,36,mid,2007,8,852872,Television receivers,final_consumption,1603355562.0,0.011364752085200908,141081437587.0,COMTRADE-FINAL-CA0362007H3[2008-03-11].parquet
Australia,AUS,36,mid,2007,9,870333,Vehicles; with only compression-ignition internal combustion piston e...,final_consumption,1181479353.0,0.008374449347891163,141081437587.0,COMTRADE-FINAL-CA0362007H3[2008-03-11].parquet
Australia,AUS,36,mid,2007,10,880240,Large aircraft,capital_goods,1139283499.0,0.008075360717085433,141081437587.0,COMTRADE-FINAL-CA0362007H3[2008-03-11].parquet
Australia,AUS,36,end,2025,1,710812,Unwrought gold,intermediates,11975642897.763,0.04426925647635967,270518275005.548,COMTRADE-FINAL-CA0362025H6[2026-03-06].parquet
Australia,AUS,36,end,2025,2,870421,Vehicles; with only compression-ignition internal combustion piston e...,capital_goods,6159677997.955,0.022769914519929095,270518275005.548,COMTRADE-FINAL-CA0362025H6[2026-03-06].parquet
Australia,AUS,36,end,2025,3,870323,"Petrol cars, 1500-3000cc",final_consumption,5549684644.922,0.020515008255202655,270518275005.548,COMTRADE-FINAL-CA0362025H6[2026-03-06].parquet
Australia,AUS,36,end,2025,4,300490,Medicaments,intermediates,5318152636.491,0.019659125197297414,270518275005.548,COMTRADE-FINAL-CA0362025H6[2026-03-06].parquet
Australia,AUS,36,end,2025,5,870340,Hybrid petrol-electric cars,final_consumption,5150880098.275,0.019040784206425097,270518275005.548,COMTRADE-FINAL-CA0362025H6[2026-03-06].parquet
Australia,AUS,36,end,2025,6,850760,Lithium-ion batteries,intermediates,4886269129.898999,0.018062621202943822,270518275005.548,COMTRADE-FINAL-CA0362025H6[2026-03-06].parquet
Australia,AUS,36,end,2025,7,847150,Processing units/servers,capital_goods,4748848548.986,0.017554631194098096,270518275005.548,COMTRADE-FINAL-CA0362025H6[2026-03-06].parquet
Australia,AUS,36,end,2025,8,851713,Smartphones,final_consumption,4533088778.735001,0.016757051916888175,270518275005.548,COMTRADE-FINAL-CA0362025H6[2026-03-06].parquet
Australia,AUS,36,end,2025,9,847130,Portable computers/laptops,capital_goods,4245514958.138,0.015694004251841875,270518275005.548,COMTRADE-FINAL-CA0362025H6[2026-03-06].parquet
Australia,AUS,36,end,2025,10,851762,Network/communication apparatus,capital_goods,4128461250.089,0.01526130258668968,270518275005.548,COMTRADE-FINAL-CA0362025H6[2026-03-06].parquet
Austria,AUT,40,start,1994,1,870332,"Diesel cars, 1500-2500cc",final_consumption,1468435197.0,0.02835044212787402,51795848205.0,COMTRADE-FINAL-CA0401994H0[2002-09-01].parquet
Austria,AUT,40,start,1994,2,870323,"Petrol cars, 1500-3000cc",final_consumption,1326351964.0,0.025607302707941048,51795848205.0,COMTRADE-FINAL-CA0401994H0[2002-09-01].parquet
Austria,AUT,40,start,1994,3,300490,Medicaments,intermediates,674334063.0,0.013019075589438935,51795848205.0,COMTRADE-FINAL-CA0401994H0[2002-09-01].parquet
Austria,AUT,40,start,1994,4,847330,"Machinery; parts and accessories (other than covers, carrying cases a...",intermediates,622106801.0,0.012010746470215083,51795848205.0,COMTRADE-FINAL-CA0401994H0[2002-09-01].parquet
Austria,AUT,40,start,1994,5,870322,"Petrol cars, 1000-1500cc",final_consumption,607869594.0,0.011735874883140164,51795848205.0,COMTRADE-FINAL-CA0401994H0[2002-09-01].parquet
Austria,AUT,40,start,1994,6,840991,"Engines; parts, suitable for use solely or principally with spark-ign...",intermediates,434484857.0,0.00838841088730463,51795848205.0,COMTRADE-FINAL-CA0401994H0[2002-09-01].parquet
Austria,AUT,40,start,1994,7,271099,"Waste Oils; of petroleum or obtained from bituminous minerals, not cr...",unmapped_or_ambiguous,403522930.0,0.007790642377414466,51795848205.0,COMTRADE-FINAL-CA0401994H0[2002-09-01].parquet
Austria,AUT,40,start,1994,8,847191,Digital computer cpu with some of storage/input/outpu,capital_goods,390733731.0,0.007543726853425317,51795848205.0,COMTRADE-FINAL-CA0401994H0[2002-09-01].parquet
Austria,AUT,40,start,1994,9,847192,Computer input or output units,capital_goods,387413842.0,0.00747963119489183,51795848205.0,COMTRADE-FINAL-CA0401994H0[2002-09-01].parquet
Austria,AUT,40,start,1994,10,760110,"Aluminium; unwrought, (not alloyed)",intermediates,333648988.0,0.0064416164531077595,51795848205.0,COMTRADE-FINAL-CA0401994H0[2002-09-01].parquet
Austria,AUT,40,mid,2009,1,870332,"Diesel cars, 1500-2500cc",final_consumption,3201006068.0,0.027348262741210615,117046047798.0,COMTRADE-FINAL-CA0402009H3[2010-04-28].parquet
Austria,AUT,40,mid,2009,2,300490,Medicaments,intermediates,2853657793.0,0.024380642035217538,117046047798.0,COMTRADE-FINAL-CA0402009H3[2010-04-28].parquet
Austria,AUT,40,mid,2009,3,710812,Unwrought gold,intermediates,2735112543.0,0.023367833382296702,117046047798.0,COMTRADE-FINAL-CA0402009H3[2010-04-28].parquet
Austria,AUT,40,mid,2009,4,870322,"Petrol cars, 1000-1500cc",final_consumption,1457295957.0,0.012450620797679777,117046047798.0,COMTRADE-FINAL-CA0402009H3[2010-04-28].parquet
Austria,AUT,40,mid,2009,5,870323,"Petrol cars, 1500-3000cc",final_consumption,1391709758.0,0.011890275529865268,117046047798.0,COMTRADE-FINAL-CA0402009H3[2010-04-28].parquet
Austria,AUT,40,mid,2009,6,293719,"Polypeptide hormones, protein hormones and glycoprotein hormones, the...",intermediates,1205424276.0,0.01029871831367037,117046047798.0,COMTRADE-FINAL-CA0402009H3[2010-04-28].parquet
Austria,AUT,40,mid,2009,7,851712,Telephones for cellular networks or for other wireless networks,final_consumption,1158738672.0,0.009899853039034436,117046047798.0,COMTRADE-FINAL-CA0402009H3[2010-04-28].parquet
Austria,AUT,40,mid,2009,8,300210,"Antisera and other blood fractions and modified immunological products, whether or not obtained by means of biotechnological processes",intermediates,1136010670.0,0.009705673035287325,117046047798.0,COMTRADE-FINAL-CA0402009H3[2010-04-28].parquet
Austria,AUT,40,mid,2009,9,840991,"Engines; parts, suitable for use solely or principally with spark-ign...",intermediates,1127875440.0,0.009636168509905658,117046047798.0,COMTRADE-FINAL-CA0402009H3[2010-04-28].parquet
