model_label,sample,flow,dimension,metric,outcome,term,coefficient,std_error,t_stat,p_value,ci_low,ci_high,nobs,clusters,r_squared,status,candidate_rows,dropped_rows,dropped_regressors,fixed_effects,se_method,cluster_col,p_value_reference,variant,benchmark_policy
main_year_fe,cadot_broad_156,Exports,product,market_component_theil,market_component_theil,log_population,0.1646149342256223,0.04412660951946349,3.7305139918582113,0.0002681765247065254,0.07744334406992785,0.2517865243813167,3638,155,0.12647549802795577,ok,3638,0,,year,clustered by reporter_code,reporter_code,"Student t, df=154",baseline,double_leave_out
main_year_fe,cadot_broad_156,Exports,product,market_component_theil,market_component_theil,log_gdp_per_capita,0.26787280237223415,0.05865439449732463,4.566969016864585,1.0071054130901297e-05,0.1520017464803024,0.3837438582641659,3638,155,0.12647549802795577,ok,3638,0,,year,clustered by reporter_code,reporter_code,"Student t, df=154",baseline,double_leave_out
main_year_fe,cadot_broad_156,Exports,product,specialization_kl,specialization_kl,log_population,-0.5453104956066481,0.04054195246919487,-13.450523775858928,9.074814258855032e-28,-0.6254006385667019,-0.4652203526465944,3638,155,0.6443793890945362,ok,3638,0,,year,clustered by reporter_code,reporter_code,"Student t, df=154",baseline,double_leave_out
main_year_fe,cadot_broad_156,Exports,product,specialization_kl,specialization_kl,log_gdp_per_capita,-0.7762678835647393,0.05201942199309664,-14.922654920459435,1.0195813541588787e-31,-0.8790316305079119,-0.6735041366215667,3638,155,0.6443793890945362,ok,3638,0,,year,clustered by reporter_code,reporter_code,"Student t, df=154",baseline,double_leave_out
main_year_fe,cadot_broad_156,Exports,product,market_component_share,market_component_share,log_population,0.0616302143594451,0.006249803639226685,9.8611441122126,4.377852345100954e-18,0.04928380190389644,0.07397662681499376,3638,155,0.49898965498222847,ok,3638,0,,year,clustered by reporter_code,reporter_code,"Student t, df=154",baseline,double_leave_out
main_year_fe,cadot_broad_156,Exports,product,market_component_share,market_component_share,log_gdp_per_capita,0.09907163966148903,0.008273591780404864,11.974441366098075,9.040970958603602e-24,0.08272725790066382,0.11541602142231425,3638,155,0.49898965498222847,ok,3638,0,,year,clustered by reporter_code,reporter_code,"Student t, df=154",baseline,double_leave_out
main_two_way_clustered,cadot_broad_156,Exports,product,market_component_theil,market_component_theil,log_population,0.1646149342256223,0.04327466106476876,3.8039566382563863,0.0008634236856436687,0.07530042349910593,0.25392944495213865,3638,25,0.12647549802795577,ok,3638,0,,year,two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=24",baseline,double_leave_out
main_two_way_clustered,cadot_broad_156,Exports,product,market_component_theil,market_component_theil,log_gdp_per_capita,0.26787280237223415,0.05834135932530504,4.591473449883207,0.00011735561414196454,0.14746215477731356,0.38828344996715475,3638,25,0.12647549802795577,ok,3638,0,,year,two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=24",baseline,double_leave_out
main_two_way_clustered,cadot_broad_156,Exports,product,specialization_kl,specialization_kl,log_population,-0.5453104956066481,0.0405707651063062,-13.440971452665226,1.1543839511913085e-12,-0.6290444393537018,-0.46157655185959445,3638,25,0.6443793890945362,ok,3638,0,,year,two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=24",baseline,double_leave_out
main_two_way_clustered,cadot_broad_156,Exports,product,specialization_kl,specialization_kl,log_gdp_per_capita,-0.7762678835647393,0.05116210104367671,-15.172713155428177,8.458989726483827e-14,-0.8818612703186511,-0.6706744968108275,3638,25,0.6443793890945362,ok,3638,0,,year,two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=24",baseline,double_leave_out
main_two_way_clustered,cadot_broad_156,Exports,product,market_component_share,market_component_share,log_population,0.0616302143594451,0.006123176311090379,10.06507264012954,4.330001427095933e-10,0.048992599578390895,0.07426782914049931,3638,25,0.49898965498222847,ok,3638,0,,year,two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=24",baseline,double_leave_out
main_two_way_clustered,cadot_broad_156,Exports,product,market_component_share,market_component_share,log_gdp_per_capita,0.09907163966148903,0.008180036988130078,12.111392626372023,1.0320175394348304e-11,0.08218887308762335,0.11595440623535472,3638,25,0.49898965498222847,ok,3638,0,,year,two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=24",baseline,double_leave_out
country_year_fe_diagnostic,cadot_broad_156,Exports,product,market_component_theil,market_component_theil,log_population,0.18755385509099498,0.2593685730363716,0.7231171182203868,0.47070477279365663,-0.3248256636214316,0.6999333738034216,3638,155,0.8631282051447771,ok,3638,0,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=154",baseline,double_leave_out
country_year_fe_diagnostic,cadot_broad_156,Exports,product,market_component_theil,market_component_theil,log_gdp_per_capita,0.44322821185245903,0.11068999357013591,4.004230170739135,9.650417500183974e-05,0.22456145138956143,0.6618949723153567,3638,155,0.8631282051447771,ok,3638,0,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=154",baseline,double_leave_out
country_year_fe_diagnostic,cadot_broad_156,Exports,product,specialization_kl,specialization_kl,log_population,-0.4087827391828793,0.2871587149190951,-1.423542863040221,0.15660169955233957,-0.9760613513210277,0.15849587295526918,3638,155,0.9225432981794445,ok,3638,0,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=154",baseline,double_leave_out
country_year_fe_diagnostic,cadot_broad_156,Exports,product,specialization_kl,specialization_kl,log_gdp_per_capita,-0.31058917990033397,0.09172819372217184,-3.3859729195262758,0.0009001318854299871,-0.4917971312011101,-0.12938122859955778,3638,155,0.9225432981794445,ok,3638,0,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=154",baseline,double_leave_out
country_year_fe_diagnostic,cadot_broad_156,Exports,product,market_component_share,market_component_share,log_population,0.029555257008905177,0.03932283074105619,0.7516055292033469,0.4534354234367781,-0.04812652553568696,0.10723703955349731,3638,155,0.8975616214263008,ok,3638,0,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=154",baseline,double_leave_out
country_year_fe_diagnostic,cadot_broad_156,Exports,product,market_component_share,market_component_share,log_gdp_per_capita,0.07629039770599949,0.015510494106950927,4.918631036506468,2.2150749836109117e-06,0.0456496018205358,0.10693119359146319,3638,155,0.8975616214263008,ok,3638,0,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=154",baseline,double_leave_out
main_year_fe,cadot_broad_156,Exports,product,market_component_theil,market_component_theil,log_population,0.18124840452190782,0.04320238798032386,4.195333012713459,4.5857669811249574e-05,0.09590260297993883,0.26659420606387685,3638,155,0.14414651193923,ok,3638,0,,year,clustered by reporter_code,reporter_code,"Student t, df=154",baseline,exclude_importer
