year,outcome,outcome_label,size_variable,size_label,spearman_size_outcome,n_countries
2000,world_share_exposure,World-share percentile exposure,log_gdp_current_usd,"GDP, current USD",0.4084099787751085,58
2000,world_share_exposure,World-share percentile exposure,log_population,Population,0.1231966532344889,58
2000,spearman_product_alignment,Within-country product-rank alignment,log_gdp_current_usd,"GDP, current USD",0.8143283398443508,58
2000,spearman_product_alignment,Within-country product-rank alignment,log_population,Population,0.3133593774031807,58
2000,top_1pct_world_product_export_share,Export share in top 1% world products,log_gdp_current_usd,"GDP, current USD",0.49330954504906344,58
2000,top_1pct_world_product_export_share,Export share in top 1% world products,log_population,Population,0.26691070165185027,58
2000,top_5pct_world_product_export_share,Export share in top 5% world products,log_gdp_current_usd,"GDP, current USD",0.18342612814912795,58
2000,top_5pct_world_product_export_share,Export share in top 5% world products,log_population,Population,0.0781629702543911,58
2000,top_10pct_world_product_export_share,Export share in top 10% world products,log_gdp_current_usd,"GDP, current USD",0.23941062475006922,58
2000,top_10pct_world_product_export_share,Export share in top 10% world products,log_population,Population,0.08892921960072596,58
2000,top_20pct_world_product_export_share,Export share in top 20% world products,log_gdp_current_usd,"GDP, current USD",0.3342151404226522,58
2000,top_20pct_world_product_export_share,Export share in top 20% world products,log_population,Population,0.1484204374173306,58
2001,world_share_exposure,World-share percentile exposure,log_gdp_current_usd,"GDP, current USD",0.3459964932787844,59
2001,world_share_exposure,World-share percentile exposure,log_population,Population,0.14015195791934543,59
2001,spearman_product_alignment,Within-country product-rank alignment,log_gdp_current_usd,"GDP, current USD",0.7762127410870837,59
2001,spearman_product_alignment,Within-country product-rank alignment,log_population,Population,0.29853886616014036,59
2001,top_1pct_world_product_export_share,Export share in top 1% world products,log_gdp_current_usd,"GDP, current USD",0.47463471654003514,59
2001,top_1pct_world_product_export_share,Export share in top 1% world products,log_population,Population,0.28544710695499714,59
2001,top_5pct_world_product_export_share,Export share in top 5% world products,log_gdp_current_usd,"GDP, current USD",0.03956750438340153,59
2001,top_5pct_world_product_export_share,Export share in top 5% world products,log_population,Population,0.05692577440093513,59
2001,top_10pct_world_product_export_share,Export share in top 10% world products,log_gdp_current_usd,"GDP, current USD",0.17293980128579778,59
2001,top_10pct_world_product_export_share,Export share in top 10% world products,log_population,Population,0.1223261250730567,59
2001,top_20pct_world_product_export_share,Export share in top 20% world products,log_gdp_current_usd,"GDP, current USD",0.3436002337814144,59
2001,top_20pct_world_product_export_share,Export share in top 20% world products,log_population,Population,0.16890707188778492,59
2002,world_share_exposure,World-share percentile exposure,log_gdp_current_usd,"GDP, current USD",0.4362945645821158,59
2002,world_share_exposure,World-share percentile exposure,log_population,Population,0.15365283459964935,59
2002,spearman_product_alignment,Within-country product-rank alignment,log_gdp_current_usd,"GDP, current USD",0.835710111046172,59
2002,spearman_product_alignment,Within-country product-rank alignment,log_population,Population,0.35558153126826425,59
2002,top_1pct_world_product_export_share,Export share in top 1% world products,log_gdp_current_usd,"GDP, current USD",0.4943308007013443,59
2002,top_1pct_world_product_export_share,Export share in top 1% world products,log_population,Population,0.24108708357685568,59
2002,top_5pct_world_product_export_share,Export share in top 5% world products,log_gdp_current_usd,"GDP, current USD",0.15207481005260082,59
2002,top_5pct_world_product_export_share,Export share in top 5% world products,log_population,Population,0.0810637054354179,59
2002,top_10pct_world_product_export_share,Export share in top 10% world products,log_gdp_current_usd,"GDP, current USD",0.21618936294564586,59
2002,top_10pct_world_product_export_share,Export share in top 10% world products,log_population,Population,0.07030976037405026,59
2002,top_20pct_world_product_export_share,Export share in top 20% world products,log_gdp_current_usd,"GDP, current USD",0.37270601987142027,59
2002,top_20pct_world_product_export_share,Export share in top 20% world products,log_population,Population,0.14441846873173586,59
2003,world_share_exposure,World-share percentile exposure,log_gdp_current_usd,"GDP, current USD",0.41513734658094686,59
2003,world_share_exposure,World-share percentile exposure,log_population,Population,0.18363530099357103,59
2003,spearman_product_alignment,Within-country product-rank alignment,log_gdp_current_usd,"GDP, current USD",0.8261250730566921,59
2003,spearman_product_alignment,Within-country product-rank alignment,log_population,Population,0.3123904149620106,59
2003,top_1pct_world_product_export_share,Export share in top 1% world products,log_gdp_current_usd,"GDP, current USD",0.5110461718293396,59
2003,top_1pct_world_product_export_share,Export share in top 1% world products,log_population,Population,0.24155464640561078,59
2003,top_5pct_world_product_export_share,Export share in top 5% world products,log_gdp_current_usd,"GDP, current USD",0.1865575686732905,59
2003,top_5pct_world_product_export_share,Export share in top 5% world products,log_population,Population,0.1405026300409118,59
2003,top_10pct_world_product_export_share,Export share in top 10% world products,log_gdp_current_usd,"GDP, current USD",0.24541203974284048,59
2003,top_10pct_world_product_export_share,Export share in top 10% world products,log_population,Population,0.13033313851548806,59
2003,top_20pct_world_product_export_share,Export share in top 20% world products,log_gdp_current_usd,"GDP, current USD",0.35271770894213916,59
2003,top_20pct_world_product_export_share,Export share in top 20% world products,log_population,Population,0.15324371712448862,59
2004,world_share_exposure,World-share percentile exposure,log_gdp_current_usd,"GDP, current USD",0.4053769725306839,59
2004,world_share_exposure,World-share percentile exposure,log_population,Population,0.17159555815312685,59
2004,spearman_product_alignment,Within-country product-rank alignment,log_gdp_current_usd,"GDP, current USD",0.8322033898305086,59
2004,spearman_product_alignment,Within-country product-rank alignment,log_population,Population,0.37013442431326715,59
2004,top_1pct_world_product_export_share,Export share in top 1% world products,log_gdp_current_usd,"GDP, current USD",0.5185856224430159,59
2004,top_1pct_world_product_export_share,Export share in top 1% world products,log_population,Population,0.2234365867913501,59
2004,top_5pct_world_product_export_share,Export share in top 5% world products,log_gdp_current_usd,"GDP, current USD",0.20309760374050267,59
2004,top_5pct_world_product_export_share,Export share in top 5% world products,log_population,Population,0.14880187025131505,59
2004,top_10pct_world_product_export_share,Export share in top 10% world products,log_gdp_current_usd,"GDP, current USD",0.324313267095266,59
2004,top_10pct_world_product_export_share,Export share in top 10% world products,log_population,Population,0.1855639976621859,59
2004,top_20pct_world_product_export_share,Export share in top 20% world products,log_gdp_current_usd,"GDP, current USD",0.3174167153711281,59
2004,top_20pct_world_product_export_share,Export share in top 20% world products,log_population,Population,0.1310929281122151,59
2005,world_share_exposure,World-share percentile exposure,log_gdp_current_usd,"GDP, current USD",0.37115865518199503,60
2005,world_share_exposure,World-share percentile exposure,log_population,Population,0.15437621561544876,60
