excluded_reporter_code,excluded_country,excluded_iso3,outcome,outcome_label,full_sample_coefficient,leave_one_out_coefficient,coefficient_change,sign_matches_full,nobs,clusters,status
8,Albania,ALB,observed_theil,Observed fixed-universe Theil,-0.3768385879528048,-0.3781146761817532,-0.0012760882289484243,True,3564,154,ok
8,Albania,ALB,market_component_theil,Global-market component,0.1767137054779433,0.1758443145717261,-0.0008693909062171823,True,3564,154,ok
8,Albania,ALB,specialization_kl,Country-specific specialization (KL),-0.5535522934307469,-0.5539589907534794,-0.0004066973227325743,True,3564,154,ok
8,Albania,ALB,market_component_share,Global-market share of observed Theil,0.06323716482751104,0.0630906167520197,-0.00014654807549134563,True,3564,154,ok
8,Albania,ALB,gini_gap,Observed minus benchmark Gini,-0.008420857284979436,-0.008489061602890167,-6.820431791073125e-05,True,3564,154,ok
12,Algeria,DZA,observed_theil,Observed fixed-universe Theil,-0.3768385879528048,-0.38284770154856385,-0.0060091135957590636,True,3570,154,ok
12,Algeria,DZA,market_component_theil,Global-market component,0.1767137054779433,0.17056423782379565,-0.0061494676541476445,True,3570,154,ok
12,Algeria,DZA,specialization_kl,Country-specific specialization (KL),-0.5535522934307469,-0.5534119393723592,0.00014035405838763726,True,3570,154,ok
12,Algeria,DZA,market_component_share,Global-market share of observed Theil,0.06323716482751104,0.06270466095321359,-0.0005325038742974575,True,3570,154,ok
12,Algeria,DZA,gini_gap,Observed minus benchmark Gini,-0.008420857284979436,-0.008530387380763711,-0.00010953009578427465,True,3570,154,ok
20,Andorra,AND,observed_theil,Observed fixed-universe Theil,-0.3768385879528048,-0.3836855840542488,-0.006846996101444014,True,3565,154,ok
20,Andorra,AND,market_component_theil,Global-market component,0.1767137054779433,0.1778406078446787,0.001126902366735405,True,3565,154,ok
20,Andorra,AND,specialization_kl,Country-specific specialization (KL),-0.5535522934307469,-0.5615261918989285,-0.00797389846818164,True,3565,154,ok
20,Andorra,AND,market_component_share,Global-market share of observed Theil,0.06323716482751104,0.06371561298254175,0.0004784481550307029,True,3565,154,ok
20,Andorra,AND,gini_gap,Observed minus benchmark Gini,-0.008420857284979436,-0.008566223880057754,-0.00014536659507831742,True,3565,154,ok
24,Angola,AGO,observed_theil,Observed fixed-universe Theil,-0.3768385879528048,-0.3832547052390167,-0.006416117286211942,True,3568,154,ok
24,Angola,AGO,market_component_theil,Global-market component,0.1767137054779433,0.1701723472085353,-0.006541358269407993,True,3568,154,ok
