variant,variant_label,benchmark_policy,benchmark_policy_label,size_quintile,size_group,observations,countries,years,mean_population,mean_observed_theil,mean_market_component_theil,mean_specialization_kl,mean_market_component_share,mean_observed_gini,mean_market_benchmark_gini,mean_gini_gap,mean_observed_hhi,mean_market_benchmark_hhi,mean_hhi_gap,mean_active_products,mean_active_set_world_share,median_observed_theil,median_market_component_theil,median_specialization_kl,median_market_component_share,median_observed_gini,median_market_benchmark_gini,median_gini_gap,median_observed_hhi,median_market_benchmark_hhi,median_hhi_gap,median_active_products,median_active_set_world_share,ratio_of_means_market_share
baseline,All non-missing products,inclusive,Inclusive world exports sensitivity,1,Smallest,753,38,25,432718.7065073041,5.611952278024221,0.9608416019251854,4.6511106760990355,0.17927251476278927,0.9604996658570375,0.7844393475082149,0.17606031834882255,0.19398648388441259,0.03329070965046048,0.16069577423395212,1207.5166002656042,0.47420074771000337,5.4870589211930785,0.9211961950345113,4.442289774055151,0.19377064236064892,0.9680751951594062,0.7850992601606728,0.18207099608135824,0.127878509465473,0.01575727720150792,0.09990984760941432,1016.0,0.492861913179658,0.17121343060733676
baseline,All non-missing products,inclusive,Inclusive world exports sensitivity,2,Smaller,735,37,25,3009716.3714285716,4.84477262223782,1.602125083051661,3.2426475391861587,0.3302000252638916,0.9538729704642697,0.7940539890454174,0.1598189814188522,0.1507796536213233,0.030993348019269833,0.11978630560205347,2471.0544217687075,0.6837020081681586,4.656846673841992,1.2983945931471481,3.0605175276417236,0.3017071375704142,0.9624424213085536,0.7908791261807442,0.1726044443424617,0.06379853081064829,0.009507222618212083,0.04659344369531781,2712.0,0.7723408359045685,0.330691491216286
baseline,All non-missing products,inclusive,Inclusive world exports sensitivity,3,Middle,714,38,25,7988699.158263305,3.9593827716747207,1.5682711403429077,2.391111631331813,0.41850869479511593,0.9382922383435937,0.7933796278140209,0.1449126105295726,0.08343501443096439,0.011719610397030967,0.07171540403393342,3158.8851540616247,0.781130793615014,3.6913422948780763,1.4283115412886707,2.0104190497899355,0.44331813761490635,0.9436293325760516,0.7955183864534223,0.14748049232754712,0.033326309106349525,0.007755371793455056,0.02348290851484565,3347.0,0.8454757002290565,0.3960898025728308
baseline,All non-missing products,inclusive,Inclusive world exports sensitivity,4,Larger,735,40,25,20784803.70340136,4.9645653227513025,1.6805456690302407,3.2840196537210615,0.34345739004691506,0.9620730605932635,0.7957017404291737,0.1663713201640898,0.1707954259901778,0.020913001319445592,0.14988242467073223,2603.190476190476,0.7291216333721798,5.055053201691274,1.4452772070085258,3.222592439306262,0.3163032190475589,0.9747823457095304,0.7963347669116896,0.17608096304344034,0.09930510394814357,0.009871452507272789,0.08461330164070538,2469.0,0.7592865038653311,0.33850811899457545
baseline,All non-missing products,inclusive,Inclusive world exports sensitivity,5,Largest,705,34,25,183798571.9319149,3.5867152612858177,1.7589107924694831,1.8278044688163353,0.510566188439433,0.9257418809787384,0.8014592103703675,0.1242826706083709,0.07555572602645373,0.010419209178048394,0.06513651684840534,3833.5730496453903,0.8753946728053132,3.2273539303756906,1.5612182109956416,1.6671995627003677,0.559778146764807,0.9340912303406712,0.8023607072786683,0.13718582410547553,0.022145326951932748,0.00804948325233603,0.014157844502603385,4374.0,0.9474533295462134,0.49039599308447007
baseline,All non-missing products,loo_smoothed,Leave-one-country-out world exports,1,Smallest,753,38,25,432718.7065073041,5.611952278024221,0.9310664111602951,4.680885866863926,0.174049824376011,0.9604996658570375,0.7844635420883604,0.1760361237686771,0.19398648388441259,0.033289936664585205,0.16069654721982737,1207.5166002656042,0.47415114520649415,5.4870589211930785,0.9029741435258376,4.4786088945654035,0.18759133247218018,0.9680751951594062,0.7850979031929441,0.18206514231072513,0.127878509465473,0.015728098749405235,0.09990953267833838,1016.0,0.4928590325910983,0.16590775634465876
baseline,All non-missing products,loo_smoothed,Leave-one-country-out world exports,2,Smaller,721,37,25,2986528.027739251,4.8400435605825916,1.5562279092284594,3.2838156513541317,0.32154473796347643,0.9538721966218265,0.7940119795160806,0.1598602171057458,0.15094661972473503,0.03104575056366212,0.11990086916107291,2475.001386962552,0.685520721464349,4.656846673841992,1.2863788317844347,3.0712416588842806,0.29703819991232716,0.9626178071582747,0.7903936285974578,0.17327990491898881,0.06379853081064829,0.009438300028603349,0.04658306564739821,2712.0,0.7721355647679551,0.3215317981644648
baseline,All non-missing products,loo_smoothed,Leave-one-country-out world exports,3,Middle,714,38,25,7988699.158263305,3.9593827716747207,1.5095043853839047,2.4498783862908162,0.4018583709654151,0.9382922383435937,0.7933538388404963,0.14493839950309736,0.08343501443096439,0.011717012428741725,0.07171800200222267,3158.8851540616247,0.780759432695547,3.6913422948780763,1.3739749504032521,2.0522761660286966,0.4266908026131476,0.9436293325760516,0.7955194479122731,0.14815791168689652,0.033326309106349525,0.0077497223339418,0.02346216204686428,3347.0,0.8451419366635631,0.38124739951460207
baseline,All non-missing products,loo_smoothed,Leave-one-country-out world exports,4,Larger,723,40,25,20848478.71922545,5.011381118776711,1.5728075235358028,3.4385735952409084,0.3141765800006998,0.9636968208460299,0.795415057398756,0.16828176344727394,0.17348587730954004,0.021075537160486286,0.15241034014905377,2565.488243430152,0.7245370799430362,5.078369672993691,1.342905930230697,3.3529601273674268,0.28558396229298216,0.9755110862517355,0.7961141381113284,0.17658427117979114,0.10139684742954919,0.009871069266227068,0.08670972905308995,2452.0,0.7521538330929534,0.3138471184406203
baseline,All non-missing products,loo_smoothed,Leave-one-country-out world exports,5,Largest,678,34,25,178855354.33333334,3.6408219567371454,1.6448043202174716,1.9960176365196736,0.4636671058658273,0.9280126537292368,0.801948362537011,0.12606429119222592,0.0782482566368464,0.010532215587727099,0.0677160410491193,3794.1961651917404,0.8706040999705624,3.2674283880827577,1.4447566201190554,1.861834524392917,0.5072299937594231,0.9359236944458753,0.8024824424200262,0.13961865765076176,0.023560371839549746,0.008130984396140713,0.015068204962057779,4326.0,0.9448444067165986,0.4517673041313788
noncommodity_broad,Broad primary commodities excluded,inclusive,Inclusive world exports sensitivity,1,Smallest,752,38,25,431744.40026595746,5.250755323004457,0.7345147135367441,4.5162406094677126,0.15361848624113048,0.9435726347481398,0.7499507647361275,0.1936218700120122,0.19982379318831775,0.028287573147686502,0.17153622004063127,1041.0212765957447,0.5181957411631268,5.058629901448715,0.7672483450857179,4.330355214546314,0.15195173471399415,0.9536956721548243,0.7576871267422502,0.19825981107879853,0.11162746975587329,0.011330047597420706,0.08498789149172728,920.0,0.549466864710584,0.13988743873071166
noncommodity_broad,Broad primary commodities excluded,inclusive,Inclusive world exports sensitivity,2,Smaller,734,37,25,3001988.598092643,4.2482859657831025,0.9100506657207331,3.3382353000623692,0.25190051752475423,0.9275889744957942,0.7527176342561737,0.1748713402396204,0.10708868729486723,0.024414485081670538,0.0826742022131967,2088.877384196185,0.7151054351323842,4.167802724294601,0.9432278937543295,3.0477147171330268,0.24128395936674363,0.9407015217934235,0.7594827754179272,0.18531844401905628,0.05129177772416601,0.005663223815656477,0.039318897676045905,2295.5,0.8214015819269715,0.21421596216698657
noncommodity_broad,Broad primary commodities excluded,inclusive,Inclusive world exports sensitivity,3,Middle,713,38,25,7967878.472650771,3.337115047248087,1.080270152631053,2.256844894617034,0.36604160995822427,0.918161159624919,0.7674078829588645,0.15075327666605454,0.03620990238616313,0.008581686175162232,0.027628216211000898,2665.647966339411,0.8216673997598448,3.2001147850828366,1.0336366120069667,1.9068448816336137,0.34985062974916187,0.9207390357670788,0.7667155188833159,0.15384939684342958,0.024498558630272955,0.004983199891912092,0.01837605850468946,2928.0,0.9121578615806605,0.32371378790847655
noncommodity_broad,Broad primary commodities excluded,inclusive,Inclusive world exports sensitivity,4,Larger,734,40,25,20770809.58583106,3.7707132801196463,0.6721346938531787,3.098578586266468,0.21473591912472556,0.931723315350519,0.7665961738023056,0.16512714154821326,0.05392601684493605,0.007768792946077934,0.04615722389885812,2196.7711171662127,0.7705722343217299,3.831080452651938,0.5687260924209,3.2710924987321195,0.14073886659486606,0.9364691485566381,0.765665863266746,0.17100885373591668,0.03235968161492035,0.006065281474216653,0.025074670454909694,2145.0,0.7957563280582141,0.17825133971253618
noncommodity_broad,Broad primary commodities excluded,inclusive,Inclusive world exports sensitivity,5,Largest,702,34,25,184433789.95868945,2.8754487465373884,1.0297771191486285,1.84567162738876,0.4212920924219345,0.9014967462170952,0.771325351616316,0.13017139460077928,0.026744479578312903,0.006167779271735351,0.02057670030657755,3193.078347578348,0.8942687761274812,2.606969991787606,1.0887954567750247,1.4359318105550356,0.46100306600709684,0.9064473695652008,0.7707335965091056,0.1377380149106332,0.012465273068235238,0.004553574381430971,0.007770479578695798,3685.0,0.9779009482799246,0.358127447198871
noncommodity_broad,Broad primary commodities excluded,loo_smoothed,Leave-one-country-out world exports,1,Smallest,752,38,25,431744.40026595746,5.250755323004457,0.717441862065588,4.533313460938868,0.15033556539990386,0.9435726347481398,0.7499757713184111,0.1935968634297287,0.19982379318831775,0.028290856170580223,0.17153293701773753,1041.0212765957447,0.5181769937115738,5.058629901448715,0.7413825727789893,4.349990408226007,0.1477886565775869,0.9536956721548243,0.7577166752167066,0.19824909729011253,0.11162746975587329,0.011333838351561435,0.08498672472269789,920.0,0.5494652284918956,0.1366359348191969
noncommodity_broad,Broad primary commodities excluded,loo_smoothed,Leave-one-country-out world exports,2,Smaller,734,37,25,3001988.598092643,4.2482859657831025,0.8721477722304081,3.376138193552694,0.24318322831668276,0.9275889744957942,0.7527032074440914,0.17488576705170278,0.10708868729486723,0.024415798645155674,0.08267288864971156,2088.877384196185,0.7150454288544537,4.167802724294601,0.920860662531316,3.065816611203835,0.23679053429751895,0.9407015217934235,0.7595406646578821,0.185299693960026,0.05129177772416601,0.00566424933226725,0.039393728968236875,2295.5,0.8213880343309512,0.2052940360547602
noncommodity_broad,Broad primary commodities excluded,loo_smoothed,Leave-one-country-out world exports,3,Middle,713,38,25,7967878.472650771,3.337115047248087,1.03186883316608,2.305246214082007,0.35014956793467195,0.918161159624919,0.7673886305553869,0.1507725290695322,0.03620990238616313,0.008578222871154968,0.02763167951500816,2665.647966339411,0.821522856744175,3.2001147850828366,1.0050433915244639,1.931428077462405,0.3369914353177407,0.9207390357670788,0.7668971599410683,0.15459927271197604,0.024498558630272955,0.004998936656722118,0.01837727335882314,2928.0,0.9121273599623587,0.3092098469955354
noncommodity_broad,Broad primary commodities excluded,loo_smoothed,Leave-one-country-out world exports,4,Larger,734,40,25,20770809.58583106,3.7707132801196463,0.6112220557285793,3.1594912243910667,0.1982954130751032,0.931723315350519,0.7666741213192969,0.1650491940312221,0.05392601684493605,0.0077730100837200885,0.04615300676121597,2196.7711171662127,0.7704881167561628,3.831080452651938,0.5153299666296534,3.2852072277315285,0.13071154345211533,0.9364691485566381,0.7657459941014487,0.17082240550081207,0.03235968161492035,0.0060655684588756245,0.02507132859853993,2145.0,0.7954688750998535,0.16209719761805516
