variant,year,outcome,outcome_label,spearman_log_population,countries
baseline,2000,observed_theil,Observed fixed-universe Theil,-0.3783542509058447,138
baseline,2000,market_component_theil,Global-market component,0.2702328140661066,138
baseline,2000,specialization_kl,Country-specific specialization (KL),-0.4786992367388222,138
baseline,2000,market_component_share,Global-market share of observed Theil,0.40454668952873235,138
baseline,2000,observed_gini,Observed active-product Gini,-0.22434581690407746,138
baseline,2000,market_benchmark_gini,World-market benchmark Gini,0.20612618125112728,138
baseline,2000,gini_gap,Observed minus benchmark Gini,-0.33693768564963955,138
baseline,2001,observed_theil,Observed fixed-universe Theil,-0.41375871946819454,140
baseline,2001,market_component_theil,Global-market component,0.27807395421049186,140
baseline,2001,specialization_kl,Country-specific specialization (KL),-0.49059062780171003,140
baseline,2001,market_component_share,Global-market share of observed Theil,0.39285386280641144,140
baseline,2001,observed_gini,Observed active-product Gini,-0.1889965231462247,140
baseline,2001,market_benchmark_gini,World-market benchmark Gini,0.20156567754914614,140
baseline,2001,gini_gap,Observed minus benchmark Gini,-0.2690866152063152,140
baseline,2002,observed_theil,Observed fixed-universe Theil,-0.43011687144141436,141
baseline,2002,market_component_theil,Global-market component,0.25202277494755765,141
baseline,2002,specialization_kl,Country-specific specialization (KL),-0.4950425960015411,141
baseline,2002,market_component_share,Global-market share of observed Theil,0.39921657605205707,141
baseline,2002,observed_gini,Observed active-product Gini,-0.24087075645361528,141
baseline,2002,market_benchmark_gini,World-market benchmark Gini,0.38142043751872934,141
baseline,2002,gini_gap,Observed minus benchmark Gini,-0.3942506100432381,141
baseline,2003,observed_theil,Observed fixed-universe Theil,-0.3782953037373175,141
baseline,2003,market_component_theil,Global-market component,0.25927907872768524,141
baseline,2003,specialization_kl,Country-specific specialization (KL),-0.4691039856158225,141
baseline,2003,market_component_share,Global-market share of observed Theil,0.3892546769981591,141
baseline,2003,observed_gini,Observed active-product Gini,-0.1632133224881202,141
baseline,2003,market_benchmark_gini,World-market benchmark Gini,0.3248127060233742,141
baseline,2003,gini_gap,Observed minus benchmark Gini,-0.33896999015368806,141
baseline,2004,observed_theil,Observed fixed-universe Theil,-0.417952811003477,140
baseline,2004,market_component_theil,Global-market component,0.22883820603091998,140
baseline,2004,specialization_kl,Country-specific specialization (KL),-0.48482211191533103,140
baseline,2004,market_component_share,Global-market share of observed Theil,0.37590256062627114,140
baseline,2004,observed_gini,Observed active-product Gini,-0.2304257505849424,140
baseline,2004,market_benchmark_gini,World-market benchmark Gini,0.24242198946010368,140
baseline,2004,gini_gap,Observed minus benchmark Gini,-0.3282368633968206,140
baseline,2005,observed_theil,Observed fixed-universe Theil,-0.3865483108440855,143
baseline,2005,market_component_theil,Global-market component,0.20542778817426702,143
baseline,2005,specialization_kl,Country-specific specialization (KL),-0.4600077152894054,143
baseline,2005,market_component_share,Global-market share of observed Theil,0.35693062805738857,143
baseline,2005,observed_gini,Observed active-product Gini,-0.16548064611444893,143
baseline,2005,market_benchmark_gini,World-market benchmark Gini,0.23773761449817787,143
baseline,2005,gini_gap,Observed minus benchmark Gini,-0.2793591385140681,143
baseline,2006,observed_theil,Observed fixed-universe Theil,-0.34913286996423515,146
baseline,2006,market_component_theil,Global-market component,0.18905652010449905,146
baseline,2006,specialization_kl,Country-specific specialization (KL),-0.4550702283747699,146
baseline,2006,market_component_share,Global-market share of observed Theil,0.3576933087831259,146
baseline,2006,observed_gini,Observed active-product Gini,-0.17389066160238306,146
baseline,2006,market_benchmark_gini,World-market benchmark Gini,0.26756576981288505,146
baseline,2006,gini_gap,Observed minus benchmark Gini,-0.2622444159524934,146
baseline,2007,observed_theil,Observed fixed-universe Theil,-0.37963425332343614,146
baseline,2007,market_component_theil,Global-market component,0.1340306363452325,146
baseline,2007,specialization_kl,Country-specific specialization (KL),-0.43629510377604047,146
baseline,2007,market_component_share,Global-market share of observed Theil,0.3118641126738839,146
baseline,2007,observed_gini,Observed active-product Gini,-0.1874639699999036,146
baseline,2007,market_benchmark_gini,World-market benchmark Gini,0.30797721072368484,146
baseline,2007,gini_gap,Observed minus benchmark Gini,-0.29028949321816594,146
baseline,2008,observed_theil,Observed fixed-universe Theil,-0.3558534089119823,145
baseline,2008,market_component_theil,Global-market component,0.173082979058416,145
baseline,2008,specialization_kl,Country-specific specialization (KL),-0.42783813572665713,145
baseline,2008,market_component_share,Global-market share of observed Theil,0.3222760195244843,145
baseline,2008,observed_gini,Observed active-product Gini,-0.1711108486852464,145
baseline,2008,market_benchmark_gini,World-market benchmark Gini,0.23705715635333016,145
baseline,2008,gini_gap,Observed minus benchmark Gini,-0.2576838293182176,145
baseline,2009,observed_theil,Observed fixed-universe Theil,-0.3805227523224689,145
baseline,2009,market_component_theil,Global-market component,0.14170603054637063,145
baseline,2009,specialization_kl,Country-specific specialization (KL),-0.4354078097937332,145
baseline,2009,market_component_share,Global-market share of observed Theil,0.32193749015903006,145
baseline,2009,observed_gini,Observed active-product Gini,-0.2122067390962053,145
baseline,2009,market_benchmark_gini,World-market benchmark Gini,0.3221854826011652,145
baseline,2009,gini_gap,Observed minus benchmark Gini,-0.291769012753897,145
baseline,2010,observed_theil,Observed fixed-universe Theil,-0.34493978981035556,148
baseline,2010,market_component_theil,Global-market component,0.20984537475429135,148
baseline,2010,specialization_kl,Country-specific specialization (KL),-0.4552023602838561,148
baseline,2010,market_component_share,Global-market share of observed Theil,0.3743730033279411,148
baseline,2010,observed_gini,Observed active-product Gini,-0.18330328685074612,148
baseline,2010,market_benchmark_gini,World-market benchmark Gini,0.32561255955311574,148
baseline,2010,gini_gap,Observed minus benchmark Gini,-0.2804021663082066,148
baseline,2011,observed_theil,Observed fixed-universe Theil,-0.31132812123432274,146
baseline,2011,market_component_theil,Global-market component,0.13267716155900247,146
