exercise_family,model_label,sample,flow,dimension,metric,outcome,term,coefficient,std_error,t_stat,p_value,ci_low,ci_high,nobs,clusters,r_squared,status,candidate_rows,dropped_rows,dropped_regressors,fixed_effects,se_method,cluster_col,p_value_reference,significant_5pct,family_bh_q_value,family_bh_significant_5pct
country_size,country_size_year_fe,rd2_countries,Imports,product,standard_import_product_gini,product_gini,log_population,-0.0021663083330212022,0.0019490817084988538,-1.1114507532317115,0.2712985261499662,-0.006073981881376746,0.0017413652153343414,1375,55,0.4304723047328112,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",False,0.2712985261499662,False
country_size,country_size_two_way_cluster,rd2_countries,Imports,product,standard_import_product_gini,product_gini,log_population,-0.0021663083330212022,0.001904631159845904,-1.137389946511465,0.2666037048860675,-0.006097273844259073,0.0017646571782166682,1375,25,0.4304723047328112,ok,1375,0,,year,two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=24",False,0.2712985261499662,False
country_size,country_size_year_fe,rd2_countries,Imports,product,world_relative_import_product_gini,world_relative_import_product_gini,log_population,-0.03397172953240406,0.007030642438193799,-4.831952389991196,1.158635261143927e-05,-0.04806731893939478,-0.01987614012541333,1375,55,0.709813085853805,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",True,4.634541044575708e-05,True
country_size,country_size_two_way_cluster,rd2_countries,Imports,product,world_relative_import_product_gini,world_relative_import_product_gini,log_population,-0.03397172953240406,0.006896870357147491,-4.925673207297256,5.018999604448846e-05,-0.0482061703422557,-0.019737288722552416,1375,25,0.709813085853805,ok,1375,0,,year,two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=24",True,0.00010037999208897692,True
growth_effect,growth_prior_country_year_fe,rd2_countries,Imports,product,standard_import_product_gini,product_gini,prior_export_growth,-0.0007621886227811361,0.0029828260829519878,-0.25552566646018715,0.7993448822932331,-0.006750461856590303,0.005226084611028031,3759,52,0.9163006712902254,ok,4125,366,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=51",False,0.9592138587518797,False
growth_effect,growth_contemporaneous_country_year_fe,rd2_countries,Imports,product,standard_import_product_gini,product_gini,contemporaneous_export_growth,0.005307042434752992,0.004207074232413853,1.261456808597366,0.2128837740312183,-0.00313901151475501,0.013753096384260994,3780,52,0.9160961351799815,ok,4125,345,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=51",False,0.6386513220936549,False
growth_effect,growth_future_placebo_country_year_fe,rd2_countries,Imports,product,standard_import_product_gini,product_gini,future_export_growth,0.00014211913287550705,0.004268468748254033,0.03329510914977162,0.9735692224791191,-0.00842718945021964,0.008711427715970653,3624,52,0.9192878753493956,ok,4125,501,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=51",False,0.9735692224791191,False
growth_effect,growth_prior_country_year_fe,rd2_countries,Imports,product,world_relative_import_product_gini,world_relative_import_product_gini,prior_export_growth,0.004023503893370542,0.006916342985068237,0.5817386300906311,0.5633054363758472,-0.00986163403339023,0.017908641820131313,3759,52,0.9675091131217904,ok,4125,366,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=51",False,0.9592138587518797,False
growth_effect,growth_contemporaneous_country_year_fe,rd2_countries,Imports,product,world_relative_import_product_gini,world_relative_import_product_gini,contemporaneous_export_growth,0.0036983823557851236,0.013491023894710548,0.2741365210416057,0.7850870328704558,-0.023385978260178904,0.03078274297174915,3780,52,0.9674141706161095,ok,4125,345,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=51",False,0.9592138587518797,False
growth_effect,growth_future_placebo_country_year_fe,rd2_countries,Imports,product,world_relative_import_product_gini,world_relative_import_product_gini,future_export_growth,0.018254896083676503,0.011554604630775053,1.5798806334797117,0.12031710917371972,-0.00494194064548369,0.04145173281283669,3624,52,0.9682310708990908,ok,4125,501,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=51",False,0.6386513220936549,False
exercise_11_intermediate_imports,ex11_aggregate_import_structure_year_fe,rd2_countries,Imports,product,standard_import_product_gini,product_gini,total_import_product_gini,0.9959077638607815,0.002389281518864528,416.8231143955244,2.1251443542317304e-96,0.9911175428299595,1.0006979848916036,1375,55,0.9983145809062994,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",True,2.5501732250780767e-95,True
exercise_11_intermediate_imports,ex11_aggregate_import_structure_year_fe,rd2_countries,Imports,product,standard_import_product_gini,product_gini,intermediate_import_share,-0.00044321565867449494,0.0007528063859215341,-0.5887511941492641,0.5584830188981693,-0.0019525015898242837,0.0010660702724752938,1375,55,0.9983145809062994,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",False,0.6092542024343666,False
exercise_11_intermediate_imports,ex11_aggregate_import_structure_country_year_fe,rd2_countries,Imports,product,standard_import_product_gini,product_gini,total_import_product_gini,1.0044429360517948,0.004368260175761233,229.94118839928208,1.8590988145348257e-82,0.9956851016999944,1.0132007704035952,1375,55,0.9986751203036415,ok,1375,0,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=54",True,1.1154592887208954e-81,True
exercise_11_intermediate_imports,ex11_aggregate_import_structure_country_year_fe,rd2_countries,Imports,product,standard_import_product_gini,product_gini,intermediate_import_share,-0.0004581388499266259,0.0007235328894194905,-0.6331969930132724,0.5292776650306442,-0.001908734954246622,0.0009924572543933703,1375,55,0.9986751203036415,ok,1375,0,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=54",False,0.6092542024343666,False
exercise_11_intermediate_imports,ex11_aggregate_positive_loo_share_country_year_fe,rd2_countries,Imports,product,standard_import_product_gini,product_gini,intermediate_positive_loo_share,-9.942655351911217e-05,0.0008328942805306769,-0.11937475840963004,0.9054214647874734,-0.0017692790458053592,0.0015704259387671349,1375,55,0.998674902895026,ok,1375,0,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=54",False,0.9054214647874734,False
exercise_11_intermediate_imports,ex11_aggregate_positive_loo_share_country_year_fe,rd2_countries,Imports,product,standard_import_product_gini,product_gini,total_import_product_gini,1.004163939261037,0.004685524896393623,214.31194187740346,8.285675502322391e-81,0.9947700274419681,1.0135578510801062,1375,55,0.998674902895026,ok,1375,0,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=54",True,3.3142702009289565e-80,True
exercise_11_intermediate_imports,ex11_aggregate_import_structure_year_fe,rd2_countries,Imports,product,world_relative_import_product_gini,world_relative_import_product_gini,total_import_product_gini,2.569466196554565,0.16658946011769044,15.423942155399955,1.948950952775102e-21,2.235474438334177,2.903457954774953,1375,55,0.913928050778181,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",True,5.846852858325306e-21,True
exercise_11_intermediate_imports,ex11_aggregate_import_structure_year_fe,rd2_countries,Imports,product,world_relative_import_product_gini,world_relative_import_product_gini,intermediate_import_share,0.2457204537531217,0.051815209632388656,4.742245674511886,1.584956908173354e-05,0.1418372131480234,0.34960369435822003,1375,55,0.913928050778181,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",True,2.377435362260031e-05,True
exercise_11_intermediate_imports,ex11_aggregate_import_structure_country_year_fe,rd2_countries,Imports,product,world_relative_import_product_gini,world_relative_import_product_gini,total_import_product_gini,1.5224881613847236,0.17037297523467487,8.936206926524704,3.134913452760503e-12,1.1809109120697472,1.8640654106997,1375,55,0.9825821044572978,ok,1375,0,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=54",True,7.523792286625207e-12,True
exercise_11_intermediate_imports,ex11_aggregate_import_structure_country_year_fe,rd2_countries,Imports,product,world_relative_import_product_gini,world_relative_import_product_gini,intermediate_import_share,0.2070877109785696,0.042508530337424986,4.871674210675951,1.0079247272987748e-05,0.12186323893375257,0.29231218302338663,1375,55,0.9825821044572978,ok,1375,0,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=54",True,1.7278709610836142e-05,True
exercise_11_intermediate_imports,ex11_aggregate_positive_loo_share_country_year_fe,rd2_countries,Imports,product,world_relative_import_product_gini,world_relative_import_product_gini,intermediate_positive_loo_share,0.15216577484855026,0.043653516648479565,3.485762122531087,0.000982658723971861,0.06464574346344107,0.23968580623365945,1375,55,0.9819174724909792,ok,1375,0,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=54",True,0.0013102116319624814,True
exercise_11_intermediate_imports,ex11_aggregate_positive_loo_share_country_year_fe,rd2_countries,Imports,product,world_relative_import_product_gini,world_relative_import_product_gini,total_import_product_gini,1.5337764216378589,0.18656064371057807,8.221328953052348,4.3411872496932084e-11,1.1597448510714894,1.9078079922042284,1375,55,0.9819174724909792,ok,1375,0,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=54",True,8.682374499386417e-11,True
