country,iso3,reporter_code,year,population,log_population,population_quartile,is_bottom_population_quartile,world_relative_product_gini,active_product_gini,world_weighted_product_coverage,country_total_imports,country_active_products,world_benchmark_products,sample_window,world_relative_import_product_gini,total_positive_loo_contribution,total_raw_loo_contribution,positive_driver_product_count,main_positive_driver_bucket,top_positive_driver_product_id,top_positive_driver_contribution,overweight_niche_product_positive_share,overweight_large_world_product_positive_share,overweight_mid_world_product_positive_share,missing_large_world_product_positive_share,underweight_large_world_product_positive_share,underweight_other_product_positive_share,near_world_share_positive_share,overweight_niche_product_positive_contribution,overweight_large_world_product_positive_contribution,overweight_mid_world_product_positive_contribution,missing_large_world_product_positive_contribution,underweight_large_world_product_positive_contribution,underweight_other_product_positive_contribution,near_world_share_positive_contribution
Azerbaijan,AZE,31,2000,8048600.0,15.90100872122664,2,False,0.8663345656081294,0.8998107720995752,0.8456662979188354,1172038394.0,3045,5037,balanced_2000_2024,0.8663345656081294,0.09902729830141155,0.002412636254426892,3363,underweight_large_world_product,HS1992:270900,0.008895163356696156,0.05457603198980619,0.1839645317253074,0.1819217983678329,0.10223257823730868,0.2882663173074298,0.189038742372315,0.0,0.005404516999961917,0.018217510560041505,0.018015224194500634,0.01012381602122836,0.028546234594252207,0.018719995931426925,0.0
Australia,AUS,36,2000,19028802.0,16.761464284058956,3,False,0.4481662828416728,0.8482172737253861,0.9909706230284424,71285228290.0,4810,5037,balanced_2000_2024,0.4481662828416728,0.13423736245208245,0.0005797682696882522,2703,underweight_large_world_product,HS1992:854219,0.005249561136727643,0.02999103182096893,0.1179941942027784,0.10845752105741355,0.008698968966510482,0.47277416755193363,0.26208411640039503,0.0,0.0040259170088633445,0.01583922941443977,0.014559051564838388,0.0011677266501168848,0.06346395728765047,0.03518148052617359,0.0
Austria,AUT,40,2000,8011566.0,15.896396805553787,2,False,0.46795413505328215,0.8121249833498689,0.9814017347842625,66894655209.0,4916,5037,balanced_2000_2024,0.46795413505328215,0.11861971804214,0.002498396593414387,2237,underweight_large_world_product,HS1992:870332,0.007832445594162296,0.0419817931717352,0.16887439497316706,0.12490959308963878,0.06196126641670288,0.40510496785674494,0.19716798449201114,0.0,0.004979868468934667,0.02003183311625406,0.01481674071305139,0.007349827951883214,0.04805343706463727,0.023388010727379394,0.0
Armenia,ARM,51,2000,3221100.0,14.985233474090336,1,True,0.8804693252116944,0.9296536414383548,0.8351352771689541,840227217.0,2850,5037,balanced_2000_2024,0.8804693252116944,0.08024861197395128,0.004156511038103994,3508,underweight_large_world_product,HS1992:710231,0.006770496915907254,0.01948984836607454,0.23048138579402871,0.08619532196439972,0.11222693768929397,0.3226276507784214,0.22897885540778162,0.0,0.001564033278960264,0.018495811295803577,0.0069170549462909126,0.00900605597565296,0.025890421159385002,0.018375235317858563,0.0
Belgium,BEL,56,2000,10251250.0,16.142910207332758,2,False,0.48249662906231805,0.8373950488326263,0.9718688770157632,168793067408.0,4652,5037,balanced_2000_2024,0.48249662906231805,0.13593844199516025,0.0024532478863534823,2333,overweight_large_world_product,HS1992:710231,0.018269695547833975,0.04142063004116811,0.32825134425540586,0.1536272902582003,0.04368235489239395,0.25106137880507456,0.18195700174775717,0.0,0.005630655914254323,0.04462197632089687,0.02088385448563801,0.0059381112667517,0.03412889267991859,0.02473495132770076,0.0
Brazil,BRA,76,2000,174018282.0,18.974670920624963,4,False,0.5659776885045723,0.8737349785083051,0.9833009016014077,60045621239.0,4725,5037,balanced_2000_2024,0.5659776885045723,0.1504607722227158,0.0010073900183086293,2945,underweight_large_world_product,HS1992:271600,0.005864118271631913,0.034399338996902416,0.18785673834905284,0.09935649593042233,0.024111353881406273,0.38998638637243493,0.26428968646978124,0.0,0.00517575110942492,0.02826506991923916,0.014949255103034464,0.0036278129243315638,0.058677652849942974,0.03976523031674273,0.0
Cambodia,KHM,116,2000,12462336.0,16.338221533687207,3,False,0.9359582160992571,0.9434277014040536,0.7910974468615813,1429028878.0,3001,5037,balanced_2000_2024,0.9359582160992571,0.06268704397781966,0.0036267049700438037,3285,underweight_large_world_product,HS1992:551529,0.009633979057773523,0.2239309939339366,0.0477043318228938,0.20560539866271954,0.11807279123180653,0.2511717460109808,0.15351473833766274,0.0,0.01403757206473355,0.0029904435469142454,0.012888794668047043,0.007401634256532175,0.0157452142881761,0.009623385153416542,0.0
Canada,CAN,124,2000,30685730.0,17.239308283647823,3,False,0.46071404996435156,0.8436852994490933,0.9991850439654536,235411244695.0,4993,5037,balanced_2000_2024,0.46071404996435156,0.12258680731375338,0.0017431003248652432,2328,underweight_large_world_product,HS1992:870829,0.008564002425562323,0.026071844479349075,0.2833407717257709,0.11103262774875038,0.0021630554362035413,0.38048566803650175,0.1969060325734244,0.0,0.0031960641755041097,0.034733840587677256,0.013611135343375769,0.00026516205996685027,0.04664252327323537,0.02413808187399402,0.0
China,CHN,156,2000,1262645000.0,20.95647456400401,4,False,0.6535511392375313,0.8705559430353838,0.9841416176951099,223370602605.0,4909,5037,balanced_2000_2024,0.6535511392375313,0.13774946637405117,0.0009525473071770874,2818,underweight_large_world_product,HS1992:870323,0.005070762337041512,0.058570702195424706,0.09828246354026109,0.15277854479283132,0.030953292470299165,0.426323789617741,0.23309120738344277,0.0,0.00806808297257322,0.013538356906598104,0.021045163018616586,0.004263799520303646,0.05872587452240707,0.032108189433552536,0.0
Costa Rica,CRI,188,2000,3937739.0,15.18611725868665,1,True,0.6869577056184104,0.8702790917042018,0.9510550685869921,6028858675.0,4406,5037,balanced_2000_2024,0.6869577056184104,0.13509577208905543,0.003015170814580137,2647,underweight_large_world_product,HS1992:270900,0.018646947303883832,0.06403613671795191,0.12768226382828116,0.12241329793657066,0.06314249053398842,0.42180294017677183,0.200922870806436,0.0,0.008651011331512026,0.017249334013960116,0.01653751899870859,0.00853028351031504,0.05698379387261465,0.02714383036194501,0.0
