country,iso3,reporter_code,year,population,log_population,population_quartile,is_bottom_population_quartile,world_relative_product_gini,active_product_gini,world_weighted_product_coverage,country_total_imports,country_active_products,world_benchmark_products,sample_window,world_relative_import_product_gini,total_positive_loo_contribution,total_raw_loo_contribution,positive_driver_product_count,main_positive_driver_bucket,top_positive_driver_product_id,top_positive_driver_contribution,overweight_niche_product_positive_share,overweight_large_world_product_positive_share,overweight_mid_world_product_positive_share,missing_large_world_product_positive_share,underweight_large_world_product_positive_share,underweight_other_product_positive_share,near_world_share_positive_share,overweight_niche_product_positive_contribution,overweight_large_world_product_positive_contribution,overweight_mid_world_product_positive_contribution,missing_large_world_product_positive_contribution,underweight_large_world_product_positive_contribution,underweight_other_product_positive_contribution,near_world_share_positive_contribution
Guyana,GUY,328,2024,831087.0,13.630489761498435,1,True,0.8448339370705408,0.9215309795667984,0.8972914128594385,7210493332.705,3782,4988,balanced_2000_2024,0.8448339370705408,0.1083768791438382,0.003189250798907861,2989,underweight_large_world_product,HS1992:270900,0.010019139998333815,0.036071843397759304,0.10069899827174722,0.22204304373038636,0.09946764168342886,0.4008958149932107,0.14082265792346754,0.0,0.003909353812414418,0.010913443165602721,0.024064332115098064,0.010779992581447573,0.043447837290789715,0.01526192017848571,0.0
Armenia,ARM,51,2024,3033500.0,14.925227626364489,1,True,0.7922783628330996,0.929585994764656,0.9629143027095306,16795026899.242,4387,4988,balanced_2000_2024,0.7922783628330996,0.15297622840966052,0.03299885573518535,2551,overweight_large_world_product,HS1992:710812,0.06907493175698476,0.008919504888846604,0.5168929403520356,0.012873770214498485,0.02946931800428211,0.3337558520632733,0.09808861447706388,0.0,0.0013644722171772816,0.07907233250663404,0.0019693808128266044,0.004508105122099981,0.05105671145829216,0.015005226292630458,0.0
Slovenia,SVN,705,2024,2127400.0,14.570411134799702,1,True,0.7205571696394248,0.9119349754486212,0.9876467542050762,74893348302.43701,4799,4988,balanced_2000_2024,0.7205571696394248,0.17460919806786668,0.012667321242377017,1909,overweight_large_world_product,HS1992:293390,0.03705890898771236,0.0029579710233119407,0.46158804453316193,0.10704519913327917,0.013485638819782167,0.352852576757266,0.06207056973319879,0.0,0.0005164889482884849,0.08059751829365014,0.018691076377676974,0.002354716579755056,0.061611305463766586,0.010838092404729438,0.0
North Macedonia,MKD,807,2024,1824359.0,14.416739250425303,1,True,0.717648625554989,0.8852419112386525,0.9006452591862256,11949268396.84,4412,4988,balanced_2000_2024,0.717648625554989,0.14533323797234277,0.003576370059166778,2495,underweight_large_world_product,HS1992:270900,0.018238985222715387,0.02524847307569248,0.23143140836240564,0.182888451138002,0.16852838291854733,0.27516027041084123,0.11674301409451134,0.0,0.003669442345947904,0.033634675945807935,0.02657977079163243,0.024492775579795345,0.03998993306015297,0.016966640249006182,0.0
Iceland,ISL,352,2024,386506.0,12.864902670821849,1,True,0.7124881069968566,0.899833573784752,0.9803826843492057,9835443738.776001,4616,4988,balanced_2000_2024,0.7124881069968566,0.16623122706709337,0.004986139681124269,2525,underweight_large_world_product,HS1992:281820,0.022031811990069206,0.046943191033717,0.20035102621322468,0.131366732804943,0.016288535806927365,0.4852114023641748,0.11983911177701315,0.0,0.007803424247979751,0.033304596931575725,0.02183725318996066,0.002707663294311824,0.08065728680194195,0.019921002601323456,0.0
Georgia,GEO,268,2024,3699557.0,15.123723640716547,1,True,0.7078462388353577,0.897574297605616,0.9442480294994954,16489789708.664001,4335,4988,balanced_2000_2024,0.7078462388353577,0.14718079443350518,0.005061775628995346,2767,underweight_large_world_product,HS1992:270900,0.0183398176611288,0.017802885942557863,0.18124220821182696,0.06574213381505754,0.07539472539338261,0.5085629562661325,0.1512550903710426,0.0,0.002620242896234748,0.026675372189499447,0.009675979482653974,0.01109665557949402,0.07485069992270132,0.022261844362921668,0.0
Panama,PAN,591,2024,4515577.0,15.323043532902753,1,True,0.7052436232568966,0.8868691276823801,0.8708946489766463,13981644259.0,4141,4988,balanced_2000_2024,0.7052436232568966,0.12946047531607108,0.004401140787743341,2786,underweight_large_world_product,HS1992:270900,0.019042227607714346,0.02138947521102616,0.023268489052417508,0.08733480887053068,0.249501136850031,0.43681445782724365,0.18169163218875098,0.0,0.0027690916275807664,0.003012349652612767,0.011306405868017122,0.03230053576850511,0.05655020733524685,0.02352188506410846,0.0
Luxembourg,LUX,442,2024,677012.0,13.425444276995815,1,True,0.6893178401297116,0.8891869905337433,0.9800003432628263,23509235821.186996,4728,4988,balanced_2000_2024,0.6893178401297116,0.1491421449626812,0.0025850082185616685,2476,underweight_large_world_product,HS1992:270900,0.020079590368737077,0.021812723803965543,0.14126551004311835,0.14283647257119034,0.03134207740062705,0.5397471836845688,0.12299603249653,0.0,0.0032531964156019555,0.02106864117707785,0.021302937898170504,0.004674424651115894,0.08049905271228286,0.018343892108432125,0.0
Costa Rica,CRI,188,2024,5129910.0,15.450598673133408,1,True,0.6425081475967562,0.8723113136015783,0.9452933002657499,23674945696.575,4435,4988,balanced_2000_2024,0.6425081475967562,0.154682340851099,0.002682575238908691,2570,underweight_large_world_product,HS1992:270900,0.023103048491033173,0.021136981823161448,0.06045527207822058,0.15145588306429056,0.09355568265304122,0.5316844868023193,0.1417116935789669,0.0,0.0032695178269337433,0.009351363001849244,0.023427550528054786,0.014471411992694971,0.082242201012798,0.021920296488768254,0.0
Norway,NOR,579,2024,5572279.0,15.533314684415792,1,True,0.6224527838407317,0.8659328508921111,0.9718258048404639,97802065418.63899,4798,4988,balanced_2000_2024,0.6224527838407317,0.1668843097500099,0.0032074732181686105,2313,underweight_large_world_product,HS1992:270900,0.014732157940275825,0.028623719843853406,0.1456476523593847,0.20564021484077685,0.05378186533010146,0.46156302207606176,0.10474352554982182,0.0,0.004776849728619137,0.024306307930705318,0.03431812531054679,0.00897534947268197,0.07702762634529214,0.01748005096216454,0.0
