year,classification_code,reporters_with_imports,reporter_year_class_product_rows,hs6_products,trade_value
2000,H0,18,49653,4995,48252884321.90698
2000,H1,134,541206,5121,5953433186893.744
2001,H0,15,38495,4954,34872425356.38302
2001,H1,141,569126,5126,5806732744620.273
2002,H0,10,20956,4789,19693957937.187004
2002,H1,63,219014,5124,310229330351.99603
2002,H2,83,371833,5222,5806070157445.614
2003,H0,10,19265,4691,20517206890.378002
2003,H1,43,148812,5121,225082773103.304
2003,H2,106,461550,5222,6904568341335.357
2004,H0,8,17756,4750,20841007265.999027
2004,H1,32,100314,5117,204071351110.58405
2004,H2,121,520025,5222,8465123717048.353
2005,H0,6,13233,4637,20159102613.034935
2005,H1,22,73338,5120,191525497144.46503
2005,H2,135,565299,5222,9676071203254.594
2006,H0,5,11996,4618,20689634499.410004
2006,H1,16,53727,5108,168972156646.196
2006,H2,143,600658,5221,11159020411204.082
2007,H0,6,12585,4612,26376345183.059074
2007,H1,14,45583,5097,144861068306.3
2007,H2,70,267487,5221,1363323335416.295
2007,H3,78,341453,5050,11602925240670.586
2008,H0,1,1686,1686,981378153.0
2008,H1,11,33246,5066,139100218262.53302
2008,H2,43,153577,5219,937503894331.688
2008,H3,110,467872,5050,14223458747346.555
2009,H0,1,682,682,46927150.0
2009,H1,9,26734,5047,102036235826.78601
2009,H2,24,77438,5199,212841538029.57297
2009,H3,132,549764,5049,11243952637844.469
2010,H0,1,688,688,52436587.0
2010,H1,6,19350,4848,7443633040.451998
2010,H2,20,67410,5187,303472079239.298
2010,H3,143,589143,5050,13793391554060.719
2011,H0,1,689,689,60172562.0
2011,H1,2,6430,3678,979109276.0
2011,H2,19,61599,5179,210074273924.90405
2011,H3,148,605836,5050,16742376288769.572
2012,H1,1,3113,3113,531885345.0
2012,H2,17,54291,5169,200517611127.7
2012,H3,51,182490,5045,1109462167620.8735
2012,H4,101,446671,5203,15829528844463.645
2013,H1,1,3733,3733,1639117011.8359995
2013,H2,13,38683,5136,173774046577.316
2013,H3,39,130087,5035,344818646472.3059
2013,H4,118,517514,5203,16934499394768.7
2014,H1,1,3675,3675,1402260065.783
2014,H2,5,14331,5022,118750079998.866
2014,H3,26,81659,4961,137533681493.4631
2014,H4,135,576620,5203,17136447360272.658
2015,H2,3,8802,4923,76182113399.0
2015,H3,15,43405,4786,36076034861.732956
2015,H4,150,630886,5203,15208266344559.531
2016,H2,3,8804,4938,91715701600.0
2016,H3,13,39259,4710,20293883274.669018
2016,H4,154,643257,5203,14875019515562.93
2017,H2,3,7587,4366,8177545443.8899975
2017,H3,10,30553,4522,11694054961.656
2017,H4,55,206057,5198,1866362001597.666
2017,H5,103,461807,5385,14875756828805.514
2018,H2,2,7110,4233,2113634918.7400005
2018,H3,8,23559,4439,8586268420.428988
2018,H4,33,117606,5185,994548287263.3702
2018,H5,126,550079,5385,17422884169335.402
2019,H2,1,3331,3331,535613748.47999996
2019,H3,7,20195,4304,6676391655.056
2019,H4,21,73311,5174,810223179822.876
2019,H5,137,595701,5385,17031649822956.959
2020,H3,5,13961,3986,2490432074.6710014
2020,H4,13,46471,5126,623660543494.8087
2020,H5,145,618014,5385,15962551638878.766
2021,H3,5,14380,4021,2666920539.375001
2021,H4,9,32297,5046,152354808439.19684
2021,H5,149,638549,5385,20657624204423.934
2022,H3,5,15286,4307,12143272769.675003
2022,H4,5,18717,4751,18543604464.16699
2022,H5,37,141091,5358,563515583554.0283
2022,H6,113,519849,5610,22777595315577.527
2023,H3,2,6175,3736,2362246653.932
2023,H4,6,21030,4758,25431076149.045986
2023,H5,20,69012,5274,294419859231.4487
2023,H6,130,594753,5609,21700353449724.797
2024,H3,2,6147,3692,2409133850.966997
2024,H4,3,11636,4699,55603295055.76386
2024,H5,8,24567,4840,33345391415.76105
2024,H6,121,558124,5610,21386405987884.746
