year,harmonization_status,reporters_with_imports,reporter_year_hs6_rows,harmonized_products,native_hs6_products,trade_value,trade_value_share
2000,lt_hgl_weighted_hs1992,152,590859,5037,10116,6001686071215.637,1.0
2001,lt_hgl_weighted_hs1992,156,607621,5037,10080,5841605169976.659,1.0
2002,lt_hgl_weighted_hs1992,156,611803,5035,15135,6135993445734.797,1.0
2003,lt_hgl_weighted_hs1992,159,629627,5037,15034,7150168321329.026,1.0
2004,lt_hgl_weighted_hs1992,161,638095,5034,15089,8690036075424.937,1.0
2005,lt_hgl_weighted_hs1992,163,651870,5037,14979,9887755803012.088,1.0
2006,lt_hgl_weighted_hs1992,164,666381,5035,14947,11348682202349.691,1.0
2007,lt_hgl_weighted_hs1992,168,667108,5022,19980,13137485989576.223,1.0
2008,lt_hgl_weighted_hs1992,165,656381,5017,17021,15301044238093.777,1.0
2009,lt_hgl_weighted_hs1992,166,654618,5015,15977,11558877338850.814,1.0
2010,lt_hgl_weighted_hs1992,170,676591,5017,15773,14104359702927.457,1.0
2011,lt_hgl_weighted_hs1992,170,674554,5014,14596,16953489844532.486,1.0
2012,lt_hgl_weighted_hs1992,170,686565,5012,18530,17140040508557.223,1.0
2013,lt_hgl_weighted_hs1992,171,690017,5012,19107,17454731204830.16,1.0
2014,lt_hgl_weighted_hs1992,167,676285,5011,18861,17394133381830.76,1.0
2015,lt_hgl_weighted_hs1992,168,683093,5010,14912,15320524492820.281,1.0
2016,lt_hgl_weighted_hs1992,170,691320,5010,14851,14987029100437.604,1.0
2017,lt_hgl_weighted_hs1992,171,706004,5010,19471,16761990430808.697,1.0
2018,lt_hgl_weighted_hs1992,169,698354,5009,19242,18428132359937.938,1.0
2019,lt_hgl_weighted_hs1992,166,692538,5003,18194,17849085008183.332,1.0
2020,lt_hgl_weighted_hs1992,163,678446,4988,14497,16588702614448.275,1.0
2021,lt_hgl_weighted_hs1992,163,685226,4988,14452,20812645933402.457,1.0
2022,lt_hgl_weighted_hs1992,160,694943,4988,20026,23371797776365.22,1.0
2023,lt_hgl_weighted_hs1992,158,690970,4987,19377,22022566631758.414,1.0
2024,lt_hgl_weighted_hs1992,134,600474,4988,18841,21477763808206.723,1.0
