country,iso3,reporter_code,year,population,log_population,population_quartile,is_bottom_population_quartile,world_relative_product_gini,active_product_gini,world_weighted_product_coverage,country_total_exports,country_active_products,world_benchmark_products,sample_window,total_positive_loo_contribution,total_raw_loo_contribution,positive_driver_product_count,main_positive_driver_bucket,top_positive_driver_product_id,top_positive_driver_contribution,overweight_niche_product_positive_share,overweight_large_world_product_positive_share,overweight_mid_world_product_positive_share,missing_large_world_product_positive_share,underweight_large_world_product_positive_share,underweight_other_product_positive_share,near_world_share_positive_share,overweight_niche_product_positive_contribution,overweight_large_world_product_positive_contribution,overweight_mid_world_product_positive_contribution,missing_large_world_product_positive_contribution,underweight_large_world_product_positive_contribution,underweight_other_product_positive_contribution,near_world_share_positive_contribution
Azerbaijan,AZE,31,2000,8048600.0,15.90100872122664,2,False,0.915531124226638,0.989967272941044,0.5627359366613454,1745251969.0,1142,5035,balanced_2000_2024,0.07559235155291788,-0.0004148649531134918,4869,underweight_large_world_product,HS1992:847330,0.0020625968084375668,0.022577290907042386,0.0,0.023309870959500628,0.2561182864688661,0.3920625580857863,0.30593199357880463,0.0,0.0017066705113576441,0.0,0.0017620479602237227,0.019360583549885457,0.029636930721557042,0.023126118809894014,0.0
Australia,AUS,36,2000,19028802.0,16.761464284058956,3,False,0.8388118090200221,0.9442757406910944,0.9825248885665087,60320486768.0,4658,5035,balanced_2000_2024,0.11129363782615764,0.0041426242199983365,2867,overweight_large_world_product,HS1992:270112,0.012766321677187387,0.042725431437899634,0.41821717031218053,0.106472640899982,0.009820289648259378,0.2767133097989307,0.14605115790274778,0.0,0.004755068692415931,0.046544910285404306,0.011849727534717136,0.0010929357594613442,0.03079643088243955,0.016254564671719374,0.0
Austria,AUT,40,2000,8011566.0,15.896396805553787,2,False,0.7021535611926066,0.8693647084191058,0.9336300424525195,57166925270.0,4487,5035,balanced_2000_2024,0.12691476712579652,0.0020921101631242722,2829,underweight_large_world_product,HS1992:270900,0.016378756897822533,0.043489301456943436,0.11908672062507297,0.17515347383577487,0.10554288022988381,0.35089350937571423,0.20583411447661068,0.0,0.0055194345668715394,0.015113863415905926,0.022229562343141662,0.013394950066161537,0.04453356802837227,0.026123388705343586,0.0
Armenia,ARM,51,2000,3221100.0,14.985233474090336,1,True,0.9789622162367781,0.9529700772848746,0.42839845782499697,294102956.0,924,5035,balanced_2000_2024,0.019894774143738303,0.002470710333538406,4409,missing_large_world_product,HS1992:270900,0.0011684224608160543,0.03170615005919158,0.03834266784641951,0.12218861962683529,0.3727901132840014,0.18335004810588748,0.2516224010776647,0.0,0.0006307866943950913,0.0007628187168728928,0.002430914990411037,0.007416575106803824,0.0036477077963101845,0.005005970838945273,0.0
Belgium,BEL,56,2000,10251250.0,16.142910207332758,2,False,0.644952059386359,0.8565949429795434,0.9693880429910757,180110550187.0,4862,5035,balanced_2000_2024,0.12916349912292902,0.0029162420925408217,2567,underweight_large_world_product,HS1992:270900,0.018290997141470755,0.0485506752948111,0.1875652763057868,0.13411615215254793,0.06945494281878825,0.392095578691193,0.16821737473687293,0.0,0.006270975105858945,0.02422658740161443,0.01732291150092624,0.00897104344585764,0.05064443693438425,0.021727544734287507,0.0
Brazil,BRA,76,2000,174018282.0,18.974670920624963,4,False,0.8258664803218303,0.9261647272919752,0.9683454672902974,53919704538.0,4312,5035,balanced_2000_2024,0.11332362259161122,0.0027400932281863577,3113,overweight_large_world_product,HS1992:880230,0.006363544177085623,0.024157316343396594,0.3477769551077998,0.0974665316536687,0.019043942073319865,0.3420156819476048,0.1695395728742102,0.0,0.002737594600125237,0.039411344406696025,0.01104526044843368,0.0021581285041734066,0.0387584560614429,0.019212838570739965,0.0
Cambodia,KHM,116,2000,12462336.0,16.338221533687207,3,False,0.9934971554888055,0.9506407030278994,0.32141152835970727,1388252075.0,710,5035,balanced_2000_2024,0.008227173872885185,0.0006233447867906028,4580,missing_large_world_product,HS1992:490700,0.0012664040295792267,0.07446534431716931,0.026545274787824508,0.20070580814198366,0.34293962356446234,0.14863183212682313,0.20671211706173706,0.0,0.0006126393352016146,0.00021839259118294763,0.0016512415808820347,0.002821423910966625,0.001222819925952856,0.001700656528699107,0.0
Canada,CAN,124,2000,30685730.0,17.239308283647823,3,False,0.7040116845186679,0.9220728445476548,0.9927505631482516,261607675173.0,4725,5035,balanced_2000_2024,0.14200932684084888,0.005195405084121307,3196,overweight_large_world_product,HS1992:870324,0.02236578205788975,0.033739867291196574,0.3949572245237004,0.053032433242602796,0.003999098937956873,0.2916932684945346,0.22257810751000875,0.0,0.004791375841722401,0.05608760958554071,0.00753110014551428,0.0005679093481492092,0.04142316470291585,0.03160816721700643,0.0
China,CHN,156,2000,1262645000.0,20.95647456400401,4,False,0.7504153479424578,0.8494464240035691,0.9880994729389032,248689015456.0,4867,5035,balanced_2000_2024,0.1168763036842203,0.001567036732954219,2484,underweight_large_world_product,HS1992:870323,0.006339813363852809,0.10263000914176275,0.0521245710224998,0.20406167991596655,0.012732896602021454,0.4659798443173857,0.16247099900036374,0.0,0.01199501611556697,0.006092127192235397,0.023849974872170665,0.0014881738900376362,0.05446200179516447,0.018989009819045166,0.0
Costa Rica,CRI,188,2000,3937739.0,15.18611725868665,1,True,0.9360505387235056,0.9644054674442416,0.774399032242732,5486807674.0,2604,5035,balanced_2000_2024,0.05596379597027412,0.004945454887726353,4065,underweight_large_world_product,HS1992:080300,0.005977238806732843,0.05380265435411674,0.14371647783948852,0.05663401227968844,0.1375300255582627,0.38132928692509865,0.22698754304334495,0.0,0.00301100077093297,0.008042919643375557,0.0031694543081984827,0.007696702290129198,0.02134063441096634,0.012703084546671572,0.0
