country,iso3,reporter_code,year,population,log_population,population_quartile,is_bottom_population_quartile,world_relative_product_gini,active_product_gini,world_weighted_product_coverage,country_total_exports,country_active_products,world_benchmark_products,sample_window,total_positive_loo_contribution,total_raw_loo_contribution,positive_driver_product_count,main_positive_driver_bucket,top_positive_driver_product_id,top_positive_driver_contribution,overweight_niche_product_positive_share,overweight_large_world_product_positive_share,overweight_mid_world_product_positive_share,missing_large_world_product_positive_share,underweight_large_world_product_positive_share,underweight_other_product_positive_share,near_world_share_positive_share,overweight_niche_product_positive_contribution,overweight_large_world_product_positive_contribution,overweight_mid_world_product_positive_contribution,missing_large_world_product_positive_contribution,underweight_large_world_product_positive_contribution,underweight_other_product_positive_contribution,near_world_share_positive_contribution
Iceland,ISL,352,2024,386506.0,12.864902670821849,1,True,0.9804386305669842,0.9798721024068636,0.7381307257255822,6872368527.740999,2555,4982,balanced_2000_2024,0.02007794466948598,0.0022852486201604405,4216,overweight_large_world_product,HS1992:760110,0.0039191843591023234,0.07008170082868331,0.278114150241405,0.06764774708741547,0.16757137821151744,0.22749102403703028,0.18909399959394846,0.0,0.0014070965115817735,0.005583960520348041,0.0013582277230365092,0.003364488859920356,0.004567552193420199,0.003796618861179102,0.0
Guyana,GUY,328,2024,831087.0,13.630489761498435,1,True,0.9544528279532788,0.9976181341471968,0.7147092047991365,22409479415.307995,2091,4982,balanced_2000_2024,0.041640828237775485,0.009418964116484907,4875,underweight_large_world_product,HS1992:860900,0.0014862682556711082,0.0,0.03941709390599557,0.0004111560494476954,0.18065852766755477,0.505829155215034,0.27368406716196797,0.0,0.0,0.0016413604369718282,1.7120878433973807e-05,0.007522770720294059,0.021063144969968306,0.011396431232107318,0.0
Panama,PAN,591,2024,4515577.0,15.323043532902753,1,True,0.9521377534746843,0.9456669483703496,0.7079474183154715,1158357714.0,2171,4982,balanced_2000_2024,0.04867886872040694,0.0026239137417248815,3727,overweight_large_world_product,HS1992:080300,0.006393623688098926,0.043824840019933455,0.2601946327206806,0.1995638237498221,0.18383670502916116,0.16163651600135226,0.1509434824790504,0.0,0.002133343634023177,0.012665980367964513,0.009714541177660019,0.00894896283010671,0.007868282742853783,0.00734775796779874,0.0
Costa Rica,CRI,188,2024,5129910.0,15.450598673133408,1,True,0.9486639622077613,0.9701108938594324,0.8504203663810065,19880341333.983,3446,4982,balanced_2000_2024,0.045472329676709444,0.0036705037162848564,3678,overweight_large_world_product,HS1992:901839,0.006349714055449263,0.016244947647813625,0.31882922562795546,0.0891084902841311,0.11875318301423883,0.296905732061344,0.16015842136451694,0.0,0.0007386956150222668,0.014497907658324372,0.00405197064719387,0.0053999838881820805,0.013500995331198196,0.00728277653678866,0.0
Armenia,ARM,51,2024,3033500.0,14.925227626364489,1,True,0.9350305964763382,0.9780411865320212,0.8244048876982422,13070809687.664001,3202,4982,balanced_2000_2024,0.0469278605199972,0.011565089910439252,3783,underweight_large_world_product,HS1992:710812,0.008372894291442168,0.0017460005419454782,0.2042795861119498,0.05833863038733495,0.16365941820613716,0.37106360971035085,0.20091275504228176,0.0,8.193606990025692e-05,0.009586403924144338,0.002737707109744525,0.007680186350361495,0.017413221320534022,0.009428405745312562,0.0
North Macedonia,MKD,807,2024,1824359.0,14.416739250425303,1,True,0.9295679443027659,0.9604970088793208,0.8305272555976914,8413033233.21,3568,4982,balanced_2000_2024,0.06346144110901053,0.0044720648064043855,3652,overweight_large_world_product,HS1992:381512,0.015056128213398745,0.005228570952390635,0.3007877341950025,0.11112325384953073,0.14150586138877153,0.28682026816445705,0.1545343114498476,0.0,0.0003318126475794214,0.019088423079928862,0.007052041830013622,0.008980165889103331,0.018202027556989298,0.009806970105395996,0.0
New Zealand,NZL,554,2024,5287500.0,15.48085610233667,1,True,0.9220216770576831,0.9598519541791152,0.9471302718490613,42045166653.341,4252,4982,balanced_2000_2024,0.0667423259882638,0.00290467220815005,2844,overweight_mid_world_product,HS1992:040221,0.009311488973377857,0.046518886933262414,0.2155479026639359,0.3716076049773446,0.04034935119045824,0.22444142002182835,0.10153483421317053,0.0,0.0031047787163109852,0.014386168385682963,0.02480195591111589,0.0026930095505685037,0.014979742420365705,0.0067766710042197476,0.0
Georgia,GEO,268,2024,3699557.0,15.123723640716547,1,True,0.9076286591727015,0.9623885052771036,0.8077537614123863,6404012465.124,2911,4982,balanced_2000_2024,0.069161396931959,0.0048807816174539775,3755,underweight_large_world_product,HS1992:720230,0.00446092272477705,0.01599539086002821,0.1385555300118225,0.2020261716694638,0.16792172528601015,0.2868049411724028,0.18869624100027257,0.0,0.00110626357635224,0.009582694008265613,0.013972412249475874,0.011613701096005125,0.019835830378471697,0.013050495623388447,0.0
Norway,NOR,579,2024,5572279.0,15.533314684415792,1,True,0.903867248366376,0.97862643793464,0.9528070985975019,163003956947.217,4216,4982,balanced_2000_2024,0.07769900991148138,0.020582254905437414,3565,overweight_large_world_product,HS1992:271121,0.033471648898145356,0.014324250136521952,0.4962587159444629,0.018842854010795048,0.03229348033508141,0.27425038144703484,0.16403031812610383,0.0,0.0011129800533321577,0.038558810888827844,0.001464071100545361,0.0025091714486317196,0.02130898310628071,0.012744993313863584,0.0
Ireland,IRL,372,2024,5395790.0,15.501129577835643,1,True,0.8962546104653676,0.9772356879793368,0.9807635654173221,241995087870.668,4504,4982,balanced_2000_2024,0.07036381765796806,0.005132204712996136,3687,underweight_large_world_product,HS1992:270900,0.004500642612958905,0.0004412218727365448,0.3002918840125106,0.07330207123970117,0.012647900095970601,0.43364925359822865,0.17966766918085242,0.0,3.104605539994143e-05,0.021129683370823993,0.005157813574661718,0.0008899545361090722,0.03051321700769971,0.012642103113273628,0.0
