year,harmonization_status,reporters_with_exports,reporter_year_hs6_rows,harmonized_products,native_hs6_products,trade_value,trade_value_share
2000,lt_hgl_weighted_hs1992,151,343092,5035,9420,5817244525651.066,1.0
2001,lt_hgl_weighted_hs1992,155,346785,5033,8644,5632048942793.868,1.0
2002,lt_hgl_weighted_hs1992,156,360428,5032,13158,5923913705348.556,1.0
2003,lt_hgl_weighted_hs1992,159,372966,5035,13210,6921292266523.205,1.0
2004,lt_hgl_weighted_hs1992,160,379983,5027,13335,8351471838101.768,1.0
2005,lt_hgl_weighted_hs1992,164,388404,5034,12741,9463776609781.365,1.0
2006,lt_hgl_weighted_hs1992,161,397433,5031,12633,11029272427409.56,1.0
2007,lt_hgl_weighted_hs1992,165,392512,5019,17718,12696329386535.973,1.0
2008,lt_hgl_weighted_hs1992,164,393733,5015,15605,14679230251059.182,1.0
2009,lt_hgl_weighted_hs1992,166,395146,5011,14350,11155952807789.135,1.0
2010,lt_hgl_weighted_hs1992,169,400186,5010,13198,13603195025663.617,1.0
2011,lt_hgl_weighted_hs1992,168,400217,5011,11339,16465456215640.977,1.0
2012,lt_hgl_weighted_hs1992,170,409035,5007,15659,16687135437611.074,1.0
2013,lt_hgl_weighted_hs1992,170,416254,5006,15595,17314426629846.057,1.0
2014,lt_hgl_weighted_hs1992,167,411901,5003,14699,17180778292593.332,1.0
2015,lt_hgl_weighted_hs1992,168,419363,5002,11790,14886724041640.438,1.0
2016,lt_hgl_weighted_hs1992,170,420616,5003,11201,14463153245876.992,1.0
2017,lt_hgl_weighted_hs1992,171,432715,4994,15013,15912744634800.104,1.0
2018,lt_hgl_weighted_hs1992,169,428850,4990,14455,17639705152037.984,1.0
2019,lt_hgl_weighted_hs1992,166,431176,4987,12274,17270046559346.408,1.0
2020,lt_hgl_weighted_hs1992,163,417448,4982,11243,16099571053208.234,1.0
2021,lt_hgl_weighted_hs1992,163,426911,4982,11261,20230697024887.195,1.0
2022,lt_hgl_weighted_hs1992,160,433466,4988,16055,22120815369208.168,1.0
2023,lt_hgl_weighted_hs1992,158,433657,4982,14627,21325007050203.824,1.0
2024,lt_hgl_weighted_hs1992,134,398033,4982,13736,20562489519168.68,1.0
