country,iso3,reporter_code,year,flow,variant,world_relative_product_gini,world_weighted_share_gini,world_weighted_product_coverage,weighted_mean_relative_trade_intensity,weighted_mean_relative_export_intensity,world_weighted_mean_country_share,country_total_trade_value,world_total_trade_value,country_total_exports,world_total_exports,leave_one_out_world_total_exports,country_active_products,world_benchmark_products,zero_weight_country_trade_share,zero_weight_country_export_share,missing_benchmark_product_count,negative_leave_one_out_product_count,metric_valid,invalid_reason,active_product_gini,active_product_count,active_product_total_exports,world_relative_minus_active_product_gini,sample_window
Zimbabwe,ZWE,716,2024,Exports,world_relative,0.9909493814500187,0.9903310088202948,0.7132404156397361,0.9999999999999998,0.9999999999999998,0.002627186960597082,7422001438.788,20562489519169.53,7422001438.788,20562489519169.53,20555067517730.742,2019,4982,0.0,0.0,0,0,True,,0.9890305718525154,1335.0,7422001438.788001,0.0019188095975032349,balanced_2000_2024
Burkina Faso,BFA,854,2024,Exports,world_relative,0.9882308041018788,0.9905428611376809,0.6812671329256444,1.0,1.0,0.0060072413562506435,5642107004.336,20562489519169.53,5642107004.336,20562489519169.53,20556847412165.195,1780,4982,0.0,0.0,0,0,True,,0.9928313556346332,986.0,5642107004.336,-0.004600551532754404,balanced_2000_2024
Mozambique,MOZ,508,2024,Exports,world_relative,0.9809441527461396,0.9602558146266262,0.7969537738687371,1.0,1.0,0.002890323914667331,8191933249.899999,20562489519169.53,8191933249.899999,20562489519169.53,20554297585919.633,2344,4982,0.0,0.0,0,0,True,,0.9887944490229256,1693.0,8191933249.900001,-0.007850296276786017,balanced_2000_2024
Iceland,ISL,352,2024,Exports,world_relative,0.9804386305669844,0.9457081862204753,0.7381307257255822,1.0000000000000002,1.0000000000000002,0.0013317251220167801,6872368527.740999,20562489519169.53,6872368527.740999,20562489519169.53,20555617150641.79,2555,4982,0.0,0.0,0,0,True,,0.9798721024068636,2107.0,6872368527.741001,0.0005665281601208161,balanced_2000_2024
Uganda,UGA,800,2024,Exports,world_relative,0.969894697131779,0.9760832588786392,0.8306507933916758,1.0,1.0,0.0037574025288016257,8039344375.93,20562489519169.53,8039344375.93,20562489519169.53,20554450174793.598,2741,4982,0.0,0.0,0,0,True,,0.9787712957855736,2636.0,8039344375.93,-0.008876598653794643,balanced_2000_2024
Guyana,GUY,328,2024,Exports,world_relative,0.9544528279532788,0.9582105336274643,0.7147092047991365,1.0,1.0,0.03348739582671366,22409479415.307995,20562489519169.53,22409479415.307995,20562489519169.53,20540080039754.223,2091,4982,0.0,0.0,0,0,True,,0.9976181341471968,1944.0,22409479415.308,-0.04316530619391801,balanced_2000_2024
Cambodia,KHM,116,2024,Exports,world_relative,0.9542925351701277,0.9304914381581906,0.7033913032372254,1.0,1.0,0.001004061351856039,26662107525.473,20562489519169.53,26662107525.473,20562489519169.53,20535827411644.055,2344,4982,0.0,0.0,0,0,True,,0.9408193729763707,2013.0,26662107525.473003,0.013473162193756938,balanced_2000_2024
Panama,PAN,591,2024,Exports,world_relative,0.9521377534746843,0.9227854994955806,0.7079474183154715,1.0,1.0,0.0014165647716009283,1158357714.0,20562489519169.53,1158357714.0,20562489519169.53,20561331161455.527,2171,4982,0.0,0.0,0,0,True,,0.9456669483703496,1859.0,1158357714.0,0.0064708051043347314,balanced_2000_2024
Peru,PER,604,2024,Exports,world_relative,0.9515751367578754,0.9542570197019492,0.9245432192956003,0.9999999999999999,0.9999999999999999,0.00517118241334125,74053783276.54001,20562489519169.53,74053783276.54001,20562489519169.53,20488435735892.992,3878,4982,0.0,0.0,0,0,True,,0.982860848891633,3681.0,74053783276.54001,-0.03128571213375764,balanced_2000_2024
Azerbaijan,AZE,31,2024,Exports,world_relative,0.9489233495099394,0.9533894443602866,0.8120378584232877,0.9999999999999999,0.9999999999999999,0.024442071192130283,26404676883.300003,20562489519169.53,26404676883.300003,20562489519169.53,20536084842286.227,2472,4982,0.0,0.0,0,0,True,,0.993710369902614,1964.0,26404676883.300003,-0.04478702039267457,balanced_2000_2024
